frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1651.2,685.4,hold,0.30,1591.3,540.0,1262.5,0.0,657.5,1168.9,1,244.1,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1650.2,684.1,hold,0.30,1591.3,540.0,1262.5,0.0,657.5,1168.8,1,245.1,0,0,flight_commit=0.92|edge_zoom=0.914|bounds
2,1649.1,682.6,hold,0.30,1591.3,540.0,1262.6,0.0,657.4,1168.8,1,246.2,0,0,flight_commit=0.46|edge_zoom=0.913|bounds
3,1647.8,680.9,hold,0.30,1591.3,540.0,1262.6,0.0,657.4,1168.7,1,247.5,0,0,flight_commit=0.15|conf_zoom=0.95|conf_speed=0.97|edge_zoom=0.913|bounds
4,1646.4,678.9,hold,0.30,1591.4,540.0,1262.7,0.0,657.3,1168.6,1,249.0,0,1,conf_zoom=0.73|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.85|edge_zoom=0.962|bounds
5,1644.7,676.7,hold,0.30,1591.4,540.0,1262.8,0.0,657.2,1168.3,1,250.7,0,1,conf_zoom=0.73|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.85|edge_zoom=0.986|bounds
6,1642.8,674.2,yolo,0.30,1591.5,540.0,1263.0,0.0,657.0,1167.9,1,252.7,0,1,conf_zoom=0.73|keepin_prop=0.01|keepin_zoom=1.350|conf_speed=0.85|edge_zoom=0.998|bounds
7,1639.2,671.1,interp,0.38,1591.6,540.0,1263.3,0.0,656.6,1167.3,1,256.4,0,0,conf_zoom=0.74|conf_speed=0.86|edge_zoom=0.969|bounds
8,1635.7,667.7,interp,0.38,1591.7,540.0,1263.7,0.0,656.0,1166.2,1,260.0,0,0,conf_zoom=0.75|conf_speed=0.86|edge_zoom=0.959|bounds
9,1632.6,664.0,interp,0.38,1591.9,540.0,1264.4,0.0,655.0,1164.4,1,263.3,0,0,conf_zoom=0.76|conf_speed=0.87|edge_zoom=0.957|bounds
10,1630.2,659.9,yolo,0.28,1592.1,540.0,1265.4,0.0,653.6,1161.9,1,265.9,0,0,conf_zoom=0.75|conf_speed=0.86|edge_zoom=0.967|bounds
11,1631.1,654.3,yolo,0.28,1592.4,540.0,1266.7,0.0,651.5,1158.2,1,265.3,0,0,conf_zoom=0.74|conf_speed=0.86|edge_zoom=0.972|bounds
12,1634.5,649.3,blended,0.79,1592.8,540.0,1268.5,0.0,648.6,1153.0,1,262.3,0,0,flight_commit=0.05|conf_zoom=0.92|conf_speed=0.96|edge_zoom=0.929|bounds
13,1638.1,644.2,blended,0.78,1593.2,540.0,1270.9,0.0,644.6,1146.0,1,259.1,0,0,flight_commit=0.11|conf_zoom=0.94|conf_speed=0.97|edge_zoom=0.931|bounds
14,1640.4,638.8,interp,0.38,1593.7,540.0,1274.0,0.0,639.5,1137.0,1,257.3,0,0,flight_commit=0.13|conf_zoom=0.94|conf_speed=0.97|edge_zoom=0.938|bounds
15,1643.9,636.4,blended,0.76,1594.3,540.0,1277.7,0.0,633.2,1125.7,1,254.4,0,0,flight_commit=0.04|conf_zoom=0.92|conf_speed=0.96|edge_zoom=0.933|bounds
16,1646.3,630.9,blended,0.78,1594.9,540.0,1282.2,0.0,625.6,1112.1,1,252.6,0,0,conf_zoom=0.97|conf_speed=0.98|edge_zoom=0.947|bounds
17,1648.8,628.0,blended,0.75,1595.6,540.0,1287.2,0.0,616.8,1096.5,1,250.8,0,0,conf_zoom=1.00|conf_speed=1.00|edge_zoom=0.952|bounds
18,1649.0,621.9,interp,0.38,1596.3,540.0,1292.7,0.3,607.1,1079.4,1,251.3,0,0,conf_zoom=0.96|conf_speed=0.98|edge_zoom=0.970|bounds
19,1649.5,618.3,interp,0.38,1596.9,540.0,1298.4,9.4,596.9,1061.2,1,251.4,0,0,conf_zoom=0.93|conf_speed=0.96|edge_zoom=0.987|bounds
20,1649.6,615.1,interp,0.38,1597.4,540.0,1304.1,18.6,586.5,1042.7,1,251.8,0,0,conf_zoom=0.91|conf_speed=0.95|bounds
21,1649.3,612.2,interp,0.38,1597.7,540.0,1309.4,27.6,576.5,1024.8,1,252.4,0,0,conf_zoom=0.89|conf_speed=0.94|bounds
22,1648.4,609.7,interp,0.38,1597.7,540.0,1314.2,35.9,567.1,1008.1,1,253.3,0,0,conf_zoom=0.87|conf_speed=0.93|bounds
23,1647.1,607.3,interp,0.38,1597.3,540.0,1317.9,43.3,558.8,993.4,1,254.2,0,0,conf_zoom=0.86|conf_speed=0.92|bounds
24,1645.3,605.2,interp,0.38,1596.4,540.0,1320.5,49.4,551.9,981.2,1,255.1,0,0,conf_zoom=0.85|conf_speed=0.92|bounds
25,1642.8,603.3,interp,0.38,1594.9,540.0,1321.5,54.0,546.7,972.0,1,256.1,0,0,conf_zoom=0.84|conf_speed=0.91|bounds
26,1640.5,604.9,blended,0.73,1592.4,540.0,1320.7,57.0,543.4,966.0,1,255.9,0,0,conf_zoom=0.89|conf_speed=0.94|bounds
27,1636.1,599.1,interp,0.50,1588.8,540.0,1317.9,58.3,542.0,963.5,1,256.7,0,0,conf_zoom=0.89|conf_speed=0.94|edge_zoom=0.971|bounds
28,1631.5,596.7,interp,0.50,1584.0,540.0,1312.7,57.8,542.5,964.5,1,256.5,0,0,conf_zoom=0.90|conf_speed=0.94|edge_zoom=0.964|bounds
