frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1248.7,975.8,centroid,0.30,1239.8,540.0,911.1,0.0,657.5,1168.9,1,193.1,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1246.6,975.4,centroid,0.30,1238.1,540.0,909.3,0.0,657.5,1168.9,1,193.5,1,1,flight_commit=0.95|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
2,1244.2,974.9,centroid,0.30,1235.6,540.0,906.8,0.0,657.5,1168.9,1,194.0,1,1,flight_commit=0.51|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
3,1241.3,974.4,centroid,0.30,1232.5,540.0,903.7,0.0,657.5,1168.9,1,194.5,1,1,flight_commit=0.23|conf_zoom=0.97|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
4,1238.0,973.7,centroid,0.30,1228.6,540.0,899.8,0.0,657.5,1168.9,1,195.2,1,1,flight_commit=0.06|conf_zoom=0.93|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
5,1234.1,972.9,centroid,0.30,1224.0,540.0,895.2,0.0,657.5,1168.9,1,196.0,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
6,1229.6,972.0,centroid,0.30,1218.6,540.0,889.8,0.0,657.5,1168.9,1,196.9,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
7,1224.2,971.0,centroid,0.30,1212.5,540.0,883.7,0.0,657.5,1168.9,1,197.9,1,1,flight_commit=0.00|conf_zoom=0.91|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
8,1218.0,969.7,centroid,0.30,1205.5,540.0,876.8,0.0,657.5,1168.9,1,199.2,1,1,flight_commit=0.08|conf_zoom=0.93|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
9,1210.7,968.3,centroid,0.30,1197.9,540.0,869.1,0.0,657.5,1168.9,1,200.6,1,1,flight_commit=0.20|conf_zoom=0.96|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
10,1202.3,966.6,centroid,0.30,1189.4,540.0,860.6,0.0,657.5,1168.9,1,202.3,1,1,shot_pb=0.00|flight_commit=0.36|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
11,1192.5,964.7,centroid,0.30,1180.2,540.0,851.5,0.0,657.5,1168.9,1,204.2,1,1,flight_commit=0.55|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
12,1181.1,962.5,centroid,0.30,1170.4,540.0,841.7,0.0,657.5,1168.9,1,206.4,1,1,flight_commit=0.78|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
13,1168.0,959.9,centroid,0.30,1160.1,540.0,831.3,0.0,657.5,1168.9,1,209.0,1,1,flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
14,1153.0,956.9,centroid,0.30,1149.2,540.0,820.5,0.0,657.5,1168.9,1,212.0,1,1,shot_pb=0.20|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
15,1135.8,953.4,centroid,0.30,1138.1,540.0,809.4,0.0,657.5,1168.9,1,215.5,1,1,shot_pb=0.40|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
16,1098.9,950.2,yolo,0.46,1126.8,540.0,798.0,0.0,657.5,1168.9,1,218.7,1,1,accel_zoom=0.907|shot_pb=0.60|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
17,1080.5,944.7,interp,0.38,1115.5,540.0,786.7,0.0,657.5,1168.9,1,224.2,1,1,shot_pb=0.80|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
18,1063.5,938.6,interp,0.38,1104.2,540.0,775.4,0.0,657.5,1168.9,1,230.3,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
19,1047.8,931.8,interp,0.38,1093.1,540.0,764.4,0.0,657.5,1168.9,1,237.1,0,1,accel_zoom=0.924|shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
