frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1150.0,932.0,centroid,0.30,1143.6,540.0,814.8,0.0,657.5,1168.9,1,236.9,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1147.4,933.2,centroid,0.30,1142.7,540.0,813.9,0.0,657.5,1168.9,1,235.7,1,1,flight_commit=0.99|keepin_prop=0.40|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
2,1144.6,934.7,centroid,0.30,1141.5,540.0,812.7,0.0,657.5,1168.9,1,234.2,1,1,flight_commit=0.59|keepin_prop=0.41|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
3,1141.5,936.5,centroid,0.30,1140.2,540.0,811.4,0.0,657.5,1168.9,1,232.4,1,1,flight_commit=0.32|conf_zoom=1.00|keepin_prop=0.42|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
4,1138.1,938.7,centroid,0.30,1138.7,540.0,810.0,0.0,657.5,1168.9,1,230.2,1,1,flight_commit=0.17|conf_zoom=0.95|keepin_prop=0.43|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
5,1130.7,946.6,yolo,0.36,1137.3,540.0,808.5,0.0,657.5,1168.9,1,222.3,1,1,flight_commit=0.47|keepin_prop=0.47|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
6,1128.0,948.9,interp,0.38,1135.9,540.0,807.2,0.0,657.5,1168.9,1,220.0,1,1,flight_commit=0.24|conf_zoom=0.97|keepin_prop=0.48|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
7,1125.9,950.4,interp,0.38,1134.8,540.0,806.0,0.0,657.5,1168.9,1,218.5,1,1,flight_commit=0.02|conf_zoom=0.91|keepin_prop=0.54|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
8,1124.5,951.4,interp,0.38,1133.9,540.0,805.1,0.0,657.5,1168.9,1,217.5,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
9,1123.7,951.9,interp,0.38,1133.3,540.0,804.5,0.0,657.5,1168.9,1,217.0,1,1,conf_zoom=0.77|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
10,1123.5,951.8,interp,0.38,1133.1,540.0,804.4,0.0,657.5,1168.9,1,217.1,1,1,conf_zoom=0.78|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
11,1123.9,951.2,interp,0.38,1133.4,540.0,804.7,0.0,657.5,1168.9,1,217.7,1,1,conf_zoom=0.78|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
12,1124.9,950.1,interp,0.38,1134.2,540.0,805.5,0.0,657.5,1168.9,1,218.8,1,1,conf_zoom=0.78|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
13,1126.5,948.5,interp,0.38,1135.6,540.0,806.8,0.0,657.5,1168.9,1,220.4,1,1,conf_zoom=0.79|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
14,1128.7,946.4,interp,0.38,1137.5,540.0,808.8,0.0,657.5,1168.9,1,222.5,1,1,conf_zoom=0.79|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
15,1131.5,943.8,interp,0.38,1140.1,540.0,811.3,0.0,657.5,1168.9,1,225.1,1,1,conf_zoom=0.79|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
16,1135.1,940.7,yolo,0.32,1143.2,540.0,814.4,0.0,657.5,1168.9,1,228.2,1,1,conf_zoom=0.78|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
17,1139.7,936.8,interp,0.38,1146.9,540.0,818.2,0.0,657.5,1168.9,1,232.1,1,1,conf_zoom=0.78|keepin_prop=0.93|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
18,1145.1,932.3,interp,0.38,1151.3,540.0,822.5,0.0,657.5,1168.9,1,236.6,1,1,flight_commit=0.00|conf_zoom=0.91|keepin_prop=0.42|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
19,1151.3,927.3,interp,0.38,1156.2,540.0,827.5,0.0,657.5,1168.9,1,241.6,1,1,flight_commit=0.18|conf_zoom=0.96|keepin_prop=0.40|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
20,1158.3,921.7,interp,0.38,1161.8,540.0,833.0,0.0,657.5,1168.9,1,247.2,1,1,flight_commit=0.36|keepin_prop=0.38|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
21,1166.1,915.5,interp,0.38,1168.0,540.0,839.2,0.0,657.5,1168.9,1,253.4,1,1,flight_commit=0.56|keepin_prop=0.35|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
22,1174.9,908.7,interp,0.38,1174.7,540.0,846.0,0.0,657.5,1168.9,1,260.2,1,1,flight_commit=0.76|keepin_prop=0.32|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
23,1184.6,901.2,interp,0.38,1182.1,540.0,853.3,0.0,657.5,1168.9,1,267.7,1,1,flight_commit=0.97|keepin_prop=0.29|keepin_zoom=1.350|speed|edge_zoom=0.755|bounds
24,1195.5,893.0,interp,0.38,1190.0,540.0,861.2,0.0,657.5,1168.9,1,275.9,1,1,flight_commit=1.00|keepin_prop=0.26|keepin_zoom=1.350|speed|edge_zoom=0.768|bounds
25,1207.5,884.1,interp,0.38,1198.4,540.0,869.6,0.0,657.5,1168.9,1,284.8,1,1,shot_pb=0.40|flight_commit=1.00|keepin_prop=0.24|keepin_zoom=1.350|speed|edge_zoom=0.777|bounds
26,1220.8,874.3,interp,0.38,1207.3,540.0,878.6,0.0,657.5,1168.9,1,290.5,1,1,shot_pb=0.60|flight_commit=1.00|keepin_prop=0.22|keepin_zoom=1.350|speed|edge_zoom=0.786|bounds
27,1235.6,863.6,yolo,0.31,1216.7,540.0,887.9,0.0,657.5,1168.9,1,285.1,1,1,shot_pb=0.80|flight_commit=1.00|keepin_prop=0.20|keepin_zoom=1.350|speed|edge_zoom=0.794|bounds
28,1255.3,849.3,yolo,0.31,1226.5,540.0,897.7,0.0,657.5,1168.9,1,275.2,1,1,accel_zoom=0.930|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.18|keepin_zoom=1.350|speed|edge_zoom=0.803|bounds
29,1275.8,835.1,yolo,0.36,1236.6,540.0,907.8,0.0,657.5,1168.9,1,264.8,1,1,accel_zoom=0.918|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.15|keepin_zoom=1.350|speed|edge_zoom=0.814|bounds
30,1296.4,821.2,yolo,0.44,1246.9,540.0,918.1,0.0,657.5,1168.9,1,254.5,1,1,accel_zoom=0.918|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.13|keepin_zoom=1.350|speed|edge_zoom=0.824|bounds
31,1316.6,807.5,yolo,0.46,1257.4,540.0,928.6,0.0,657.5,1168.9,1,244.8,1,1,accel_zoom=0.918|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.10|keepin_zoom=1.350|speed|edge_zoom=0.836|bounds
32,1336.1,794.6,yolo,0.45,1267.9,540.0,939.1,0.0,657.5,1168.9,1,235.8,1,1,accel_zoom=0.918|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.08|keepin_zoom=1.350|speed|edge_zoom=0.846|bounds
33,1354.5,782.4,yolo,0.41,1278.3,540.0,949.5,0.0,657.5,1168.9,1,227.8,1,1,accel_zoom=0.918|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.06|keepin_zoom=1.350|speed|edge_zoom=0.854|bounds
34,1371.7,771.1,yolo,0.42,1288.4,540.0,959.6,0.0,657.5,1168.9,1,220.7,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.04|keepin_zoom=1.350|speed|edge_zoom=0.860|bounds
35,1387.6,760.7,yolo,0.45,1298.0,540.0,969.3,0.0,657.5,1168.9,1,214.4,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.03|keepin_zoom=1.350|speed|edge_zoom=0.865|bounds
36,1402.0,751.3,yolo,0.43,1307.1,540.0,978.3,0.0,657.5,1168.9,1,209.1,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|speed|edge_zoom=0.869|bounds
37,1414.7,742.8,yolo,0.43,1315.4,540.0,986.6,0.0,657.5,1168.9,1,204.7,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|speed|edge_zoom=0.872|bounds
38,1424.7,735.5,interp,0.38,1322.7,540.0,993.9,0.0,657.5,1168.9,1,202.0,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|speed|edge_zoom=0.873|bounds
39,1433.2,728.8,interp,0.38,1328.9,540.0,1000.1,0.0,657.5,1168.9,1,199.7,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|speed|edge_zoom=0.874|bounds
40,1440.2,722.8,interp,0.38,1333.8,540.0,1005.0,0.0,657.5,1168.9,1,197.6,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|speed|edge_zoom=0.875|bounds
41,1446.0,717.2,interp,0.38,1337.2,540.0,1008.5,0.0,657.5,1168.9,1,195.2,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|speed|edge_zoom=0.875|bounds
42,1450.4,712.1,interp,0.38,1339.2,540.0,1010.4,0.0,657.5,1168.9,1,192.8,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|speed|edge_zoom=0.875|bounds
43,1453.6,707.3,interp,0.38,1339.6,540.0,1010.8,0.0,657.5,1168.9,1,190.0,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|speed|edge_zoom=0.876|bounds
44,1455.5,702.9,interp,0.38,1338.5,540.0,1009.7,0.0,657.5,1168.9,1,187.0,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|speed|edge_zoom=0.876|bounds
45,1456.1,698.7,yolo,0.37,1335.9,540.0,1007.1,0.0,657.5,1168.9,1,183.8,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|speed|edge_zoom=0.876|bounds
46,1455.9,694.3,yolo,0.36,1331.9,540.0,1003.2,0.0,657.5,1168.9,1,180.0,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.878|bounds
47,1451.5,690.9,interp,0.38,1326.7,540.0,998.0,0.0,657.5,1168.9,1,179.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.900|bounds
48,1446.2,687.6,interp,0.38,1320.5,540.0,991.7,0.0,657.5,1168.9,1,178.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.898|bounds
49,1440.4,684.4,yolo,0.40,1313.2,540.0,984.5,0.0,657.5,1168.9,1,176.8,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.881|bounds
50,1435.5,680.9,yolo,0.38,1305.2,540.0,976.4,0.0,657.5,1168.9,1,173.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.903|bounds
51,1434.7,677.1,interp,0.38,1296.3,540.0,967.5,0.0,657.5,1168.9,1,165.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.918|bounds
52,1433.4,673.3,yolo,0.34,1286.6,540.0,957.9,0.0,657.5,1168.9,1,157.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.918|bounds
53,1429.4,670.1,interp,0.38,1276.1,540.0,947.3,0.0,657.5,1168.9,1,150.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.908|bounds
54,1423.8,667.2,interp,0.38,1264.5,540.0,935.7,0.0,657.5,1168.9,1,144.7,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|edge_zoom=0.884|bounds
55,1416.3,664.4,interp,0.38,1251.7,540.0,922.9,0.0,657.5,1168.9,1,139.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.901|bounds
56,1406.2,661.9,interp,0.38,1237.4,540.0,908.7,0.0,657.5,1168.9,1,135.2,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.04|keepin_zoom=1.350|edge_zoom=0.882|bounds
57,1393.3,659.8,yolo,0.35,1221.5,540.0,892.7,0.0,657.5,1168.9,1,132.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.897|bounds
58,1375.0,658.1,interp,0.38,1203.5,540.0,874.8,0.0,657.5,1168.9,1,132.5,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.03|keepin_zoom=1.350|edge_zoom=0.886|bounds
59,1353.1,656.8,interp,0.38,1183.4,540.0,854.7,0.0,657.5,1168.9,1,134.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.894|bounds
60,1327.6,655.8,interp,0.38,1161.0,540.0,832.2,0.0,657.5,1168.9,1,137.4,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.891|bounds
61,1298.1,655.0,interp,0.38,1136.1,540.0,807.4,0.0,657.5,1168.9,1,142.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.894|bounds
62,1264.3,654.5,interp,0.38,1108.9,540.0,780.1,0.0,657.5,1168.9,1,148.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.893|bounds
63,1225.9,654.3,yolo,0.32,1079.3,540.0,750.6,0.0,657.5,1168.9,1,157.4,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.892|bounds
64,1175.0,654.8,yolo,0.31,1047.8,540.0,719.0,0.0,657.5,1168.9,1,176.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.893|bounds
65,1120.9,655.3,yolo,0.40,1014.4,540.0,685.6,0.0,657.5,1168.9,1,197.5,0,0,shot_pb=1.00|flight_commit=1.00|flight_boost=1.03|edge_zoom=0.892|bounds
66,1066.3,655.1,interp,0.50,979.7,540.0,650.9,0.0,657.5,1168.9,1,217.4,0,0,accel_zoom=0.938|shot_pb=1.00|flight_commit=1.00|flight_boost=1.10|edge_zoom=0.893|bounds
67,1010.5,655.0,interp,0.50,944.1,540.0,615.3,0.0,657.5,1168.9,1,237.6,0,0,accel_zoom=0.922|shot_pb=1.00|flight_commit=1.00|flight_boost=1.17|edge_zoom=0.893|bounds
68,954.0,655.3,interp,0.50,908.0,540.0,579.3,0.0,657.5,1168.9,1,258.0,0,0,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|flight_boost=1.23|edge_zoom=0.892|bounds
69,891.3,659.4,interp,0.50,872.1,540.0,543.3,0.0,657.5,1168.9,1,284.8,0,0,accel_zoom=0.889|shot_pb=1.00|flight_commit=1.00|flight_boost=1.30|edge_zoom=0.889|bounds
70,835.7,660.6,interp,0.50,836.7,540.0,507.9,0.0,657.5,1168.9,1,303.0,0,0,accel_zoom=0.889|shot_pb=1.00|flight_commit=1.00|flight_boost=1.31|edge_zoom=0.890|bounds
71,782.8,661.5,interp,0.50,802.3,540.0,473.6,0.0,657.5,1168.9,1,284.5,0,0,accel_zoom=0.889|shot_pb=1.00|flight_commit=1.00|person_ctx=4|flight_boost=1.31|edge_zoom=0.890|bounds
72,732.8,662.0,interp,0.50,769.4,540.0,440.6,0.0,657.5,1168.9,1,267.4,0,0,accel_zoom=0.889|shot_pb=1.00|flight_commit=1.00|flight_boost=1.30|edge_zoom=0.890|bounds
73,686.0,662.1,interp,0.50,738.2,540.0,409.4,0.0,657.5,1168.9,1,251.8,0,0,accel_zoom=0.889|shot_pb=1.00|flight_commit=1.00|flight_boost=1.27|edge_zoom=0.890|bounds
74,642.8,661.7,interp,0.50,709.1,540.0,380.3,0.0,657.5,1168.9,1,237.7,0,1,accel_zoom=0.889|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|flight_boost=1.24|edge_zoom=0.890|bounds
75,603.3,660.8,interp,0.50,682.2,540.0,353.4,0.0,657.5,1168.9,1,225.1,0,0,accel_zoom=0.889|shot_pb=1.00|flight_commit=1.00|pb_zfit|flight_boost=1.18|edge_zoom=0.891|bounds
76,567.7,659.3,interp,0.50,657.7,540.0,328.9,0.0,657.5,1168.9,1,214.0,0,0,accel_zoom=0.889|shot_pb=1.00|flight_commit=1.00|pb_zfit|flight_boost=1.12|edge_zoom=0.893|bounds
77,536.2,657.1,interp,0.50,635.7,540.0,307.0,0.0,657.5,1168.9,1,204.5,0,1,accel_zoom=0.889|shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.00|keepin_zoom=1.350|flight_boost=1.06|edge_zoom=0.892|bounds
78,509.0,654.2,interp,0.50,616.3,540.0,287.6,0.0,657.5,1168.9,1,196.7,0,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|flight_boost=1.00|edge_zoom=0.897|bounds
79,486.2,650.6,interp,0.50,599.6,540.0,270.8,0.0,657.5,1168.9,1,190.6,0,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|edge_zoom=0.900|bounds
80,467.9,646.0,interp,0.50,585.5,540.0,256.7,0.0,657.5,1168.9,1,186.4,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.894|bounds
81,454.4,640.5,interp,0.50,574.1,540.0,245.3,0.0,657.5,1168.9,1,184.3,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.911|bounds
82,461.5,626.0,yolo,0.42,565.2,540.0,236.4,0.0,657.5,1168.9,1,200.3,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.935|bounds
83,455.4,620.1,yolo,0.38,558.9,540.0,230.1,0.0,657.5,1168.9,1,200.5,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.930|bounds
84,450.3,614.9,yolo,0.34,554.9,540.0,226.2,0.0,657.5,1168.9,1,199.4,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.933|bounds
85,446.3,610.3,yolo,0.34,553.2,540.0,224.4,0.0,657.5,1168.9,1,197.1,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.936|bounds
86,443.3,606.2,yolo,0.38,553.4,540.0,224.6,0.0,657.5,1168.9,1,193.9,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.941|bounds
87,441.2,602.5,yolo,0.35,555.0,540.0,226.3,0.0,657.5,1168.9,1,190.2,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.951|bounds
88,440.1,599.3,interp,0.38,557.9,540.0,229.1,0.0,657.5,1168.9,1,186.2,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.955|bounds
89,440.0,596.5,interp,0.38,561.3,540.0,232.5,0.0,657.5,1168.9,1,182.7,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.949|bounds
90,440.8,594.1,yolo,0.39,564.9,540.0,236.2,0.0,657.5,1168.9,1,179.9,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.948|bounds
91,448.0,592.2,yolo,0.40,568.4,540.0,239.6,0.0,657.5,1168.9,1,183.6,0,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|edge_zoom=0.925|bounds
92,452.1,590.4,yolo,0.37,571.3,540.0,242.6,0.0,657.5,1168.9,1,184.8,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.932|bounds
93,456.5,588.7,yolo,0.37,573.7,540.0,244.9,0.0,657.5,1168.9,1,186.8,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.888|bounds
94,456.4,586.8,yolo,0.37,575.5,540.0,246.7,0.0,657.5,1168.9,1,184.9,0,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|edge_zoom=0.953|bounds
95,450.8,584.8,yolo,0.35,577.0,540.0,248.3,0.0,657.5,1168.9,1,177.8,0,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|edge_zoom=0.932|bounds
96,444.7,582.8,yolo,0.38,578.6,540.0,249.8,0.0,657.5,1168.9,1,170.1,0,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|edge_zoom=0.931|bounds
97,437.2,581.2,yolo,0.37,580.7,540.0,251.9,0.0,657.5,1168.9,1,160.5,0,0,shot_pb=1.00|flight_commit=1.00|pb_zfit|edge_zoom=0.929|bounds
98,431.9,579.5,yolo,0.38,583.7,540.0,254.9,0.0,657.5,1168.9,1,152.2,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.920|bounds
99,429.5,577.9,yolo,0.43,588.0,540.0,259.2,0.0,657.5,1168.9,1,145.5,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.942|bounds
100,428.4,576.3,yolo,0.43,593.9,540.0,265.2,0.0,657.5,1168.9,1,138.5,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.967|bounds
101,428.4,574.8,yolo,0.47,601.6,540.0,272.8,0.0,657.5,1168.9,1,130.8,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.958|bounds
102,429.4,573.5,yolo,0.51,610.9,540.0,282.2,0.0,657.5,1168.9,1,122.5,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.951|bounds
103,431.5,572.2,yolo,0.48,621.8,540.0,293.0,0.0,657.5,1168.9,1,113.7,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.942|bounds
104,434.6,571.1,yolo,0.46,633.9,540.0,305.1,0.0,657.5,1168.9,1,104.7,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.937|bounds
105,438.7,570.1,yolo,0.47,647.0,540.0,318.2,0.0,657.5,1168.9,1,95.7,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.867|bounds
106,443.8,569.2,yolo,0.50,660.8,540.0,332.0,0.0,657.5,1168.9,1,87.0,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.867|bounds
107,450.1,568.5,yolo,0.54,674.9,540.0,346.2,0.0,657.5,1168.9,1,79.2,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|pb_zfit|edge_zoom=0.870|bounds
