frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1612.4,660.6,yolo,0.39,1498.7,584.5,1169.9,0.0,657.5,1168.9,1,190.3,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.766|bounds|final_speed
1,1572.5,656.1,yolo,0.40,1492.8,584.5,1164.1,0.0,657.5,1168.9,1,224.3,0,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.923|bounds
2,1532.5,651.7,interp,0.38,1485.5,584.5,1156.8,0.0,657.5,1168.9,1,257.0,0,0,accel_zoom=0.856|shot_pb=0.00|flight_commit=1.00|edge_zoom=0.926|bounds
3,1493.1,647.3,yolo,0.46,1477.2,584.5,1148.4,0.0,657.5,1168.9,1,288.1,0,0,shot_pb=0.20|flight_commit=1.00|edge_zoom=0.928|bounds
4,1460.9,643.5,interp,0.38,1468.5,584.5,1139.7,0.0,657.5,1168.9,1,296.4,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.930|bounds
5,1432.0,639.9,interp,0.38,1460.1,584.5,1131.3,0.0,657.5,1168.9,1,275.9,0,0,shot_pb=0.60|flight_commit=1.00|flight_boost=1.10|edge_zoom=0.932|bounds
6,1407.0,636.6,yolo,0.40,1452.6,584.5,1123.8,0.0,657.5,1168.9,1,258.4,0,1,shot_pb=0.80|flight_commit=1.00|person_ctx=4|keepin_prop=0.05|keepin_zoom=1.350|edge_zoom=0.924|bounds
7,1394.7,634.3,yolo,0.48,1446.5,584.5,1117.7,0.0,657.5,1168.9,1,252.2,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.979|bounds
8,1394.0,632.8,yolo,0.44,1442.0,584.4,1113.2,0.0,657.5,1168.9,1,256.0,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.980|bounds
9,1382.3,630.3,yolo,0.39,1439.3,584.4,1110.5,0.0,657.5,1168.8,1,247.0,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.930|bounds
10,1364.5,627.3,yolo,0.43,1438.2,584.4,1109.5,0.0,657.4,1168.8,1,230.3,0,0,accel_zoom=0.931|shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.937|bounds
11,1351.0,624.8,yolo,0.40,1438.5,584.3,1109.8,0.0,657.4,1168.7,1,216.5,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.02|keepin_zoom=1.350|edge_zoom=0.931|bounds
12,1353.4,623.6,yolo,0.46,1439.8,584.3,1111.2,0.0,657.3,1168.5,1,217.6,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.949|bounds
13,1357.0,622.7,interp,0.38,1441.8,584.2,1113.2,0.0,657.2,1168.3,1,219.2,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.941|bounds
14,1362.9,622.2,interp,0.38,1443.9,584.0,1115.4,0.0,657.0,1168.0,1,223.0,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.933|bounds
15,1370.4,621.8,interp,0.38,1445.7,583.8,1117.3,0.0,656.8,1167.6,1,228.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.935|bounds
16,1378.8,621.6,interp,0.38,1446.7,583.6,1118.5,0.0,656.5,1167.1,1,236.1,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.09|keepin_zoom=1.350|edge_zoom=0.926|bounds
17,1387.3,621.5,interp,0.38,1446.8,583.2,1118.7,0.0,656.1,1166.5,1,244.5,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.934|bounds
18,1395.3,621.4,interp,0.38,1445.6,582.8,1117.8,0.0,655.7,1165.7,1,253.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.935|bounds
19,1402.2,621.2,interp,0.38,1443.2,582.4,1115.6,0.0,655.2,1164.7,1,263.0,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.06|keepin_zoom=1.350|edge_zoom=0.928|bounds
20,1407.1,621.0,yolo,0.41,1439.4,581.8,1112.1,0.0,654.5,1163.6,1,271.7,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.934|bounds
21,1407.4,620.6,yolo,0.39,1434.4,581.2,1107.5,0.0,653.8,1162.4,1,277.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.962|bounds
22,1398.1,619.5,yolo,0.42,1428.6,580.5,1102.0,0.0,653.0,1160.9,1,273.5,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.939|bounds
23,1386.3,618.1,yolo,0.39,1422.0,579.7,1095.9,0.0,652.2,1159.4,1,268.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.939|bounds
24,1375.3,616.6,yolo,0.39,1415.2,579.0,1089.5,0.0,651.3,1157.9,1,264.1,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.936|bounds
25,1371.4,615.1,interp,0.38,1408.3,578.2,1083.1,0.0,650.5,1156.4,1,267.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.949|bounds
26,1368.6,613.5,interp,0.38,1401.8,577.6,1076.9,0.0,649.8,1155.1,1,270.8,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.03|keepin_zoom=1.350|edge_zoom=0.934|bounds
27,1366.7,611.8,yolo,0.36,1396.0,577.0,1071.4,0.0,649.1,1154.0,1,274.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.960|bounds
28,1368.3,609.6,yolo,0.39,1391.0,576.6,1066.7,0.0,648.7,1153.2,1,281.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.966|bounds
29,1369.3,607.7,yolo,0.36,1387.2,576.3,1063.0,0.0,648.4,1152.6,1,286.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.969|bounds
30,1366.3,606.6,interp,0.38,1384.6,576.2,1060.5,0.0,648.2,1152.4,1,285.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.951|bounds
31,1362.6,605.7,interp,0.38,1383.5,576.1,1059.4,0.0,648.2,1152.3,1,283.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.949|bounds
32,1358.6,604.9,yolo,0.35,1383.9,576.2,1059.8,0.0,648.2,1152.3,1,278.7,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.11|keepin_zoom=1.350|edge_zoom=0.931|bounds
33,1353.0,604.5,interp,0.38,1385.8,576.2,1061.7,0.0,648.3,1152.5,1,271.2,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.940|bounds
34,1347.7,604.1,yolo,0.34,1389.2,576.3,1065.1,0.0,648.4,1152.6,1,262.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.943|bounds
35,1343.6,603.8,interp,0.38,1394.0,576.4,1069.8,0.0,648.4,1152.7,1,253.6,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.09|keepin_zoom=1.350|edge_zoom=0.933|bounds
36,1340.7,603.5,yolo,0.31,1400.1,576.4,1075.9,0.0,648.4,1152.8,1,244.6,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.940|bounds
37,1338.9,603.1,yolo,0.38,1407.1,576.4,1082.9,0.0,648.4,1152.7,1,235.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.947|bounds
38,1339.9,602.5,yolo,0.41,1414.9,576.3,1090.8,0.0,648.3,1152.6,1,229.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.960|bounds
39,1347.6,600.9,yolo,0.40,1423.2,576.2,1099.0,0.0,648.2,1152.4,1,228.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.949|bounds
40,1358.9,598.8,yolo,0.43,1431.5,576.1,1107.4,0.0,648.1,1152.2,1,231.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.949|bounds
41,1369.3,596.8,yolo,0.46,1439.6,576.0,1115.6,0.0,648.0,1151.9,1,233.7,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.05|keepin_zoom=1.350|edge_zoom=0.939|bounds
42,1377.8,595.2,yolo,0.51,1447.1,575.8,1123.2,0.0,647.8,1151.7,1,234.7,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.944|bounds
43,1384.4,593.9,yolo,0.50,1453.8,575.7,1130.0,0.0,647.6,1151.4,1,234.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.951|bounds
44,1386.0,593.6,yolo,0.49,1459.3,575.5,1135.6,0.0,647.4,1151.0,1,230.7,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.939|bounds
45,1385.2,593.9,yolo,0.51,1463.5,575.3,1139.9,0.0,647.2,1150.5,1,225.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.935|bounds
46,1388.6,593.0,yolo,0.47,1466.1,575.0,1142.7,0.0,646.9,1150.0,1,226.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.953|bounds
47,1394.6,591.5,yolo,0.45,1467.1,574.8,1143.8,0.0,646.6,1149.5,1,231.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.954|bounds
48,1399.9,589.9,yolo,0.46,1466.4,574.5,1143.2,0.0,646.4,1149.1,1,237.5,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.940|bounds
49,1404.0,588.6,yolo,0.48,1464.0,574.4,1140.9,0.0,646.2,1148.7,1,244.0,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.946|bounds
50,1406.6,587.5,yolo,0.50,1460.0,574.3,1137.0,0.0,646.0,1148.5,1,250.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.961|bounds
51,1407.8,586.6,yolo,0.48,1454.5,574.3,1131.5,0.0,646.1,1148.5,1,257.3,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.03|keepin_zoom=1.350|edge_zoom=0.945|bounds
52,1408.7,585.5,yolo,0.49,1447.9,574.4,1124.8,0.0,646.2,1148.8,1,264.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.980|bounds
53,1405.6,585.8,yolo,0.53,1440.2,574.7,1116.9,0.0,646.5,1149.3,1,269.4,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.945|bounds
54,1402.9,585.7,yolo,0.46,1431.7,575.0,1108.2,0.0,646.9,1150.1,1,275.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.949|bounds
55,1398.5,586.1,yolo,0.48,1422.7,575.5,1099.0,0.0,647.5,1151.0,1,279.8,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.947|bounds
56,1393.9,586.2,yolo,0.51,1413.5,576.1,1089.5,0.0,648.1,1152.1,1,284.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.946|bounds
57,1390.3,585.6,yolo,0.49,1404.3,576.6,1079.9,0.0,648.7,1153.3,1,290.0,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.942|bounds
58,1386.3,585.0,yolo,0.43,1395.2,577.2,1070.5,0.0,649.4,1154.4,1,295.1,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.948|bounds
59,1381.7,584.5,yolo,0.38,1386.4,577.8,1061.4,0.0,650.0,1155.6,1,299.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.951|bounds
60,1377.0,584.4,interp,0.38,1377.9,578.3,1052.6,0.0,650.6,1156.6,1,303.1,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.09|keepin_zoom=1.350|edge_zoom=0.942|bounds
61,1372.1,584.3,interp,0.38,1369.7,578.8,1044.1,0.0,651.1,1157.6,1,301.6,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.948|bounds
62,1366.8,584.5,interp,0.38,1361.9,579.2,1036.0,0.0,651.6,1158.4,1,299.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.947|bounds
63,1361.0,584.8,interp,0.38,1354.2,579.6,1028.2,0.0,652.0,1159.2,1,297.2,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.942|bounds
64,1354.9,585.3,interp,0.38,1346.7,579.9,1020.5,0.0,652.4,1159.8,1,295.8,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.948|bounds
65,1348.2,586.0,interp,0.38,1339.3,580.2,1012.9,0.0,652.7,1160.4,1,295.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.944|bounds
66,1341.0,587.0,interp,0.38,1331.7,580.5,1005.2,0.0,653.1,1161.0,1,294.7,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.06|keepin_zoom=1.350|edge_zoom=0.942|bounds
67,1333.1,588.3,yolo,0.35,1324.0,580.8,997.3,0.0,653.4,1161.6,1,294.9,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.947|bounds
68,1323.9,590.2,interp,0.38,1316.1,581.1,989.2,0.0,653.7,1162.2,1,296.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.939|bounds
69,1314.0,592.5,interp,0.38,1307.8,581.4,980.8,0.0,654.0,1162.7,1,297.8,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.04|keepin_zoom=1.350|edge_zoom=0.942|bounds
70,1303.5,595.0,interp,0.38,1299.1,581.7,972.0,0.0,654.4,1163.3,1,299.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.936|bounds
71,1292.4,597.8,interp,0.38,1290.1,581.9,962.8,0.0,654.7,1163.9,1,301.7,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.937|bounds
72,1280.7,600.9,yolo,0.35,1280.7,582.2,953.2,0.0,655.0,1164.5,1,304.0,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.942|bounds
73,1268.3,604.4,interp,0.38,1271.0,582.5,943.3,0.0,655.3,1165.0,1,301.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.931|bounds
74,1255.4,608.1,interp,0.38,1260.8,582.8,933.0,0.0,655.6,1165.6,1,298.6,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|edge_zoom=0.937|bounds
