frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1647.0,586.9,hold,0.30,1590.1,540.0,1267.1,0.0,646.0,1148.5,1,247.1,0,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.879|bounds
1,1625.7,589.8,blended,0.68,1590.6,540.0,1270.0,0.0,641.3,1140.0,1,268.9,0,0,flight_commit=1.00|edge_zoom=0.961|bounds
2,1634.3,590.1,interp,0.38,1591.4,540.0,1273.8,0.0,635.2,1129.2,1,261.1,0,0,flight_commit=1.00|edge_zoom=0.928|bounds
3,1615.1,593.1,blended,0.69,1592.4,540.0,1278.5,0.0,627.8,1116.0,1,281.3,0,0,flight_commit=1.00|edge_zoom=0.955|bounds
4,1613.0,594.7,blended,0.71,1593.6,540.0,1284.1,0.0,619.0,1100.5,1,284.6,0,0,flight_commit=1.00|edge_zoom=0.955|bounds
5,1608.1,597.5,blended,0.70,1595.1,540.0,1290.6,0.0,609.0,1082.6,1,291.0,0,0,shot_pb=0.60|flight_commit=0.94|edge_zoom=0.943|bounds
6,1612.3,600.0,blended,0.76,1596.7,540.0,1297.8,8.5,597.9,1063.0,1,288.4,0,0,flight_commit=0.60|edge_zoom=0.943|bounds
7,1617.3,601.3,interp,0.38,1598.5,540.0,1305.5,19.0,586.1,1042.0,1,285.2,0,0,flight_commit=0.43|edge_zoom=0.947|bounds
8,1617.7,602.5,interp,0.38,1600.4,540.0,1313.4,29.7,574.0,1020.5,1,286.7,0,0,flight_commit=0.08|conf_zoom=0.93|conf_speed=0.96|edge_zoom=0.976|bounds
9,1617.9,603.6,interp,0.38,1602.3,540.0,1321.2,40.4,562.0,999.2,1,288.4,0,0,conf_zoom=0.89|conf_speed=0.94|bounds
10,1618.1,604.3,interp,0.38,1604.1,540.0,1328.8,50.6,550.6,978.8,1,290.0,0,0,conf_zoom=0.87|conf_speed=0.93|bounds
11,1618.1,604.7,interp,0.38,1605.8,540.0,1335.8,60.0,540.0,960.1,1,291.7,0,0,conf_zoom=0.86|conf_speed=0.92|bounds
12,1618.1,604.8,interp,0.38,1607.4,540.0,1342.0,68.2,530.8,943.6,1,293.3,0,0,conf_zoom=0.85|conf_speed=0.92|bounds
13,1612.7,604.8,blended,0.75,1608.8,540.0,1347.2,75.0,523.1,930.0,1,300.1,0,0,conf_zoom=0.90|conf_speed=0.95|bounds
14,1613.5,603.7,blended,0.74,1610.0,540.0,1351.4,80.3,517.2,919.5,1,300.5,0,0,conf_zoom=0.94|conf_speed=0.97|bounds
15,1616.8,602.0,blended,0.74,1611.1,540.0,1354.5,83.9,513.1,912.2,1,298.3,0,0,conf_zoom=0.98|conf_speed=0.99|bounds
16,1625.5,599.8,blended,0.78,1612.0,540.0,1356.6,85.9,510.9,908.2,1,290.5,0,0,edge_zoom=0.958|bounds
17,1629.4,597.9,blended,0.78,1612.7,540.0,1357.5,86.3,510.5,907.5,1,287.3,0,0,edge_zoom=0.962|bounds
18,1636.8,595.9,interp,0.38,1613.3,540.0,1357.4,85.1,511.8,909.9,1,280.5,0,0,conf_zoom=1.00|conf_speed=1.00|edge_zoom=0.958|bounds
19,1641.3,594.2,interp,0.38,1613.8,540.0,1356.4,82.4,514.8,915.1,1,276.5,0,0,conf_zoom=0.96|conf_speed=0.98|edge_zoom=0.960|bounds
20,1644.1,592.7,blended,0.79,1614.1,540.0,1354.5,78.5,519.2,923.0,1,274.0,0,0,conf_zoom=1.00|conf_speed=1.00|edge_zoom=0.965|bounds
21,1648.3,590.9,blended,0.78,1614.3,540.0,1351.9,73.5,524.8,933.0,1,270.0,0,0,edge_zoom=0.963|bounds
22,1651.9,589.2,blended,0.77,1614.4,540.0,1348.7,67.6,531.5,944.9,1,266.5,0,0,edge_zoom=0.968|bounds
23,1661.3,587.3,interp,0.38,1614.4,540.0,1345.0,61.0,538.9,958.1,1,257.1,0,0,edge_zoom=0.930|bounds
24,1666.1,585.9,blended,0.79,1614.3,540.0,1340.9,53.9,546.8,972.1,1,252.2,0,0,edge_zoom=0.931|bounds
25,1674.0,584.3,yolo,0.28,1614.1,540.0,1336.7,46.8,554.8,986.4,1,244.1,0,0,flight_commit=0.28|conf_zoom=0.99|conf_speed=0.99|edge_zoom=0.916|bounds
26,1680.0,582.9,yolo,0.31,1613.7,540.0,1332.4,39.9,562.6,1000.2,1,237.7,0,0,flight_commit=0.26|conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.911|bounds
27,1684.7,581.6,yolo,0.35,1613.2,540.0,1328.3,33.5,569.8,1012.9,1,232.5,0,0,flight_commit=0.18|conf_zoom=0.96|conf_speed=0.98|edge_zoom=0.911|bounds
28,1688.2,580.4,yolo,0.40,1612.4,540.0,1324.4,28.0,576.0,1024.1,1,228.2,0,0,shot_pb=0.00|flight_commit=0.04|conf_zoom=0.92|conf_speed=0.96|edge_zoom=0.917|bounds
29,1690.3,579.3,yolo,0.43,1611.3,540.0,1320.7,23.4,581.2,1033.3,1,225.0,0,0,shot_pb=0.00|conf_zoom=0.88|conf_speed=0.93|edge_zoom=0.979|bounds
30,1691.1,578.3,yolo,0.42,1609.8,540.0,1317.2,19.8,585.2,1040.4,1,222.7,0,0,shot_pb=0.94|conf_zoom=0.87|conf_speed=0.93|edge_zoom=0.983|bounds
31,1690.4,577.4,yolo,0.41,1607.7,540.0,1313.6,17.2,588.2,1045.6,1,221.3,0,0,shot_pb=0.00|flight_commit=0.03|conf_zoom=0.92|conf_speed=0.95|edge_zoom=0.916|bounds
32,1688.2,576.6,yolo,0.43,1604.8,540.0,1309.7,15.4,590.2,1049.2,1,220.6,0,0,shot_pb=0.00|conf_zoom=0.86|conf_speed=0.92|edge_zoom=0.981|bounds
33,1684.4,575.7,yolo,0.42,1601.0,540.0,1305.1,14.0,591.7,1052.0,1,220.6,0,0,conf_zoom=0.85|conf_speed=0.92|edge_zoom=0.976|bounds
34,1679.0,574.9,yolo,0.44,1596.1,540.0,1299.5,12.7,593.2,1054.5,1,221.1,0,0,conf_zoom=0.85|conf_speed=0.92|edge_zoom=0.972|bounds
35,1671.9,574.2,yolo,0.45,1589.9,540.0,1292.4,11.2,594.9,1057.5,1,222.0,0,0,flight_commit=0.07|conf_zoom=0.93|conf_speed=0.96|edge_zoom=0.979|bounds
36,1662.9,573.4,yolo,0.46,1582.3,540.0,1283.7,9.2,597.2,1061.6,1,223.4,0,0,flight_commit=0.29|conf_zoom=0.99|conf_speed=0.99|edge_zoom=0.983|bounds
37,1651.7,572.6,yolo,0.47,1573.3,540.0,1273.1,6.4,600.3,1067.2,1,225.6,0,0,flight_commit=0.58|edge_zoom=0.983|bounds
38,1638.2,571.8,yolo,0.46,1563.0,540.0,1260.8,2.8,604.4,1074.5,1,228.8,0,0,flight_commit=0.92|edge_zoom=0.981|bounds
39,1622.2,570.9,yolo,0.44,1551.5,540.0,1246.8,0.0,609.3,1083.3,1,233.3,0,0,flight_commit=1.00|edge_zoom=0.976|bounds
