frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1746.8,426.0,hold,0.30,1591.5,583.9,1263.1,0.0,656.9,1167.9,1,148.7,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1745.0,426.0,hold,0.30,1591.7,583.6,1263.5,0.0,656.5,1167.1,1,150.7,0,1,flight_commit=0.94|keepin_prop=0.12|keepin_zoom=1.350|edge_zoom=0.858|bounds
2,1742.9,426.0,hold,0.30,1592.1,583.0,1264.1,0.0,655.9,1166.0,1,153.2,0,1,flight_commit=0.48|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.863|bounds
3,1740.4,426.0,hold,0.30,1592.5,582.2,1265.0,0.0,655.0,1164.5,1,156.1,0,1,flight_commit=0.18|conf_zoom=0.96|keepin_prop=0.05|keepin_zoom=1.350|edge_zoom=0.869|bounds
4,1737.7,426.0,hold,0.30,1593.1,581.2,1266.2,0.0,653.8,1162.3,1,159.4,0,1,conf_zoom=0.73|keepin_prop=0.02|keepin_zoom=1.350|conf_speed=0.85|edge_zoom=0.878|bounds
5,1734.6,426.0,hold,0.30,1593.8,579.7,1267.7,0.0,652.2,1159.5,1,163.2,0,1,conf_zoom=0.73|keepin_prop=0.06|keepin_zoom=1.350|edge_zoom=0.919|bounds
6,1731.1,426.0,hold,0.30,1594.3,578.0,1269.1,0.0,650.2,1155.9,1,167.2,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.935|bounds
7,1727.0,426.0,hold,0.30,1594.7,575.8,1270.8,0.0,647.8,1151.7,1,171.7,0,1,conf_zoom=0.73|keepin_prop=0.05|keepin_zoom=1.350|edge_zoom=0.940|bounds
8,1722.5,426.0,hold,0.30,1595.1,573.4,1272.5,0.0,645.1,1146.8,1,176.6,0,1,conf_zoom=0.73|keepin_prop=0.02|keepin_zoom=1.350|edge_zoom=0.934|bounds
9,1717.3,426.0,hold,0.30,1595.3,570.8,1274.2,0.0,642.1,1141.6,1,182.0,0,1,conf_zoom=0.73|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.85|edge_zoom=0.914|bounds
10,1711.4,426.0,hold,0.30,1595.3,568.1,1275.7,0.0,639.1,1136.2,1,187.9,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.922|bounds
11,1704.7,426.0,yolo,0.30,1594.9,565.5,1276.9,0.0,636.1,1130.9,1,194.2,0,0,flight_commit=0.09|conf_zoom=0.93|conf_speed=0.96|edge_zoom=0.969|bounds
12,1697.0,426.0,interp,0.38,1594.3,563.1,1277.5,0.0,633.5,1126.2,1,201.3,0,0,flight_commit=0.23|conf_zoom=0.97|conf_speed=0.98|edge_zoom=0.976|bounds
13,1688.3,426.0,interp,0.38,1593.2,561.1,1277.6,0.0,631.2,1122.2,1,208.9,0,0,flight_commit=0.38|person_ctx=4|edge_zoom=0.982|bounds
14,1678.5,426.0,yolo,0.29,1591.7,559.6,1276.9,0.0,629.6,1119.3,1,217.2,0,0,flight_commit=0.56|person_ctx=4|edge_zoom=0.985|bounds
15,1664.3,426.1,interp,0.38,1589.8,558.7,1275.5,0.0,628.6,1117.5,1,229.5,0,0,flight_commit=0.95|person_ctx=4|edge_zoom=0.986|bounds
