frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,647.5,670.5,hold,0.30,638.0,360.0,418.8,0.0,438.4,779.3,1,108.8,1,0,accel_zoom=0.901|conf_zoom=0.82|edge_zoom=0.750|bounds|final_speed
1,643.9,667.8,hold,0.30,636.2,360.0,417.0,0.0,438.4,779.3,1,111.5,1,1,conf_zoom=0.82|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.800|bounds
2,639.8,664.7,hold,0.30,633.7,360.0,414.5,0.0,438.4,779.3,1,114.6,1,1,conf_zoom=0.82|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.800|bounds
3,635.1,661.2,hold,0.30,630.5,360.0,411.3,0.0,438.4,779.3,1,118.1,1,1,conf_zoom=0.82|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.800|bounds
4,629.8,657.2,hold,0.30,626.7,360.0,407.5,0.0,438.4,779.3,1,122.1,1,1,conf_zoom=0.82|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.800|bounds
5,623.8,652.7,hold,0.30,622.3,360.0,403.1,0.0,438.4,779.3,1,126.6,1,1,conf_zoom=0.82|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.800|bounds
6,616.9,647.5,hold,0.30,617.3,360.0,398.1,0.0,438.4,779.3,1,131.8,1,1,conf_zoom=0.82|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.800|bounds
7,607.7,640.7,blended,0.69,611.8,360.0,392.6,0.0,438.4,779.3,1,138.6,1,1,shot_pb=1.00|flight_commit=0.63|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.800|bounds
8,600.7,635.2,interp,0.28,605.7,360.0,386.6,0.0,438.4,779.3,1,144.1,1,1,shot_pb=1.00|conf_zoom=0.85|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.800|bounds
9,591.0,627.8,interp,0.28,599.2,360.0,380.0,0.0,438.4,779.3,1,151.5,1,1,shot_pb=1.00|conf_zoom=0.84|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.800|bounds
10,580.0,619.5,interp,0.28,592.2,360.0,373.0,0.0,438.4,779.3,1,159.8,1,1,shot_pb=1.00|conf_zoom=0.84|keepin_prop=0.99|keepin_zoom=1.300|speed|edge_zoom=0.801|bounds
11,567.4,610.1,interp,0.28,584.9,360.0,365.7,0.0,438.4,779.3,1,169.2,1,1,accel_zoom=0.944|shot_pb=1.00|conf_zoom=0.83|keepin_prop=0.91|keepin_zoom=1.300|speed|edge_zoom=0.813|bounds
12,551.7,598.7,blended,0.70,577.2,360.0,358.1,0.0,438.4,779.3,1,177.0,1,1,accel_zoom=0.933|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.80|keepin_zoom=1.300|speed|edge_zoom=0.827|bounds
13,520.3,576.7,interp,0.28,569.4,360.0,350.2,0.0,438.4,779.3,1,153.4,1,1,accel_zoom=0.870|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.61|keepin_zoom=1.300|speed|edge_zoom=0.852|bounds
14,506.1,566.6,interp,0.28,561.5,360.0,342.3,0.0,438.4,779.3,1,147.1,1,1,accel_zoom=0.870|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.53|keepin_zoom=1.300|speed|edge_zoom=0.862|bounds
15,493.7,557.6,interp,0.28,553.6,360.0,334.4,0.0,438.4,779.3,1,142.6,1,1,shot_pb=1.00|conf_zoom=0.85|keepin_prop=0.47|keepin_zoom=1.300|speed|edge_zoom=0.871|bounds
16,482.7,549.8,interp,0.28,545.8,360.0,326.6,0.0,438.4,779.3,1,139.4,1,1,shot_pb=1.00|conf_zoom=0.84|keepin_prop=0.42|keepin_zoom=1.300|speed|edge_zoom=0.878|bounds
17,473.0,542.9,interp,0.28,538.2,360.0,319.0,0.0,438.4,779.3,1,137.3,1,1,shot_pb=1.00|conf_zoom=0.84|keepin_prop=0.37|keepin_zoom=1.300|speed|edge_zoom=0.883|bounds
18,464.5,536.8,interp,0.28,531.0,360.0,311.8,0.0,438.4,779.3,1,136.0,1,1,shot_pb=1.00|conf_zoom=0.83|keepin_prop=0.34|keepin_zoom=1.300|speed|edge_zoom=0.888|bounds
19,457.0,531.4,interp,0.28,524.1,360.0,304.9,0.0,438.4,779.3,1,135.4,1,1,shot_pb=1.00|conf_zoom=0.83|keepin_prop=0.31|keepin_zoom=1.300|speed|edge_zoom=0.892|bounds
20,450.4,526.7,interp,0.28,517.6,360.0,298.5,0.0,438.4,779.3,1,135.3,1,1,shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.28|keepin_zoom=1.300|speed|edge_zoom=0.896|bounds
21,444.6,522.5,interp,0.28,511.7,360.0,292.5,0.0,438.4,779.3,1,135.4,1,1,shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.26|keepin_zoom=1.300|speed|edge_zoom=0.899|bounds
22,439.6,518.8,interp,0.28,506.1,360.0,287.0,0.0,438.4,779.3,1,136.0,1,1,shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.24|keepin_zoom=1.300|speed|edge_zoom=0.901|bounds
23,435.1,515.6,interp,0.28,501.1,360.0,281.9,0.0,438.4,779.3,1,136.5,1,1,shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.23|keepin_zoom=1.300|speed|edge_zoom=0.903|bounds
24,431.2,512.8,interp,0.28,496.5,360.0,277.3,0.0,438.4,779.3,1,137.2,1,1,shot_pb=1.00|conf_zoom=0.81|keepin_prop=0.21|keepin_zoom=1.300|speed|edge_zoom=0.905|bounds
25,427.7,510.3,interp,0.28,492.3,360.0,273.2,0.0,438.4,779.3,1,137.9,1,1,shot_pb=1.00|conf_zoom=0.81|keepin_prop=0.20|keepin_zoom=1.300|speed|edge_zoom=0.907|bounds
26,424.7,508.1,interp,0.28,488.6,360.0,269.4,0.0,438.4,779.3,1,138.6,1,1,shot_pb=1.00|conf_zoom=0.81|keepin_prop=0.19|keepin_zoom=1.300|speed|edge_zoom=0.908|bounds
27,422.0,506.1,interp,0.28,485.2,360.0,266.1,0.0,438.4,779.3,1,139.3,1,1,shot_pb=1.00|conf_zoom=0.81|keepin_prop=0.18|keepin_zoom=1.300|speed|edge_zoom=0.909|bounds
28,419.7,504.4,interp,0.28,482.2,360.0,263.0,0.0,438.4,779.3,1,140.0,1,1,shot_pb=1.00|conf_zoom=0.81|keepin_prop=0.18|keepin_zoom=1.300|speed|edge_zoom=0.910|bounds
29,417.7,502.9,interp,0.28,479.5,360.0,260.3,0.0,438.4,779.3,1,140.7,1,1,shot_pb=1.00|conf_zoom=0.81|keepin_prop=0.17|keepin_zoom=1.300|speed|edge_zoom=0.911|bounds
30,415.9,501.5,interp,0.28,477.1,360.0,257.9,0.0,438.4,779.3,1,141.3,1,1,shot_pb=1.00|conf_zoom=0.81|keepin_prop=0.16|keepin_zoom=1.300|speed|edge_zoom=0.911|bounds
31,414.3,500.3,interp,0.28,475.0,360.0,255.8,0.0,438.4,779.3,1,141.8,1,1,shot_pb=1.00|conf_zoom=0.81|keepin_prop=0.16|keepin_zoom=1.300|speed|edge_zoom=0.912|bounds
32,413.0,499.3,interp,0.28,473.1,360.0,253.9,0.0,438.4,779.3,1,142.4,1,1,shot_pb=1.00|conf_zoom=0.81|keepin_prop=0.16|keepin_zoom=1.300|speed|edge_zoom=0.913|bounds
33,411.8,498.3,interp,0.28,471.4,360.0,252.2,0.0,438.4,779.3,1,142.9,1,1,shot_pb=1.00|conf_zoom=0.81|keepin_prop=0.15|keepin_zoom=1.300|speed|edge_zoom=0.913|bounds
34,410.8,497.5,interp,0.28,469.9,360.0,250.7,0.0,438.4,779.3,1,143.4,1,1,shot_pb=1.00|conf_zoom=0.81|keepin_prop=0.15|keepin_zoom=1.300|speed|edge_zoom=0.913|bounds
35,410.0,496.7,interp,0.28,468.6,360.0,249.4,0.0,438.4,779.3,1,143.9,1,1,shot_pb=1.00|conf_zoom=0.81|keepin_prop=0.15|keepin_zoom=1.300|speed|edge_zoom=0.913|bounds
36,409.3,496.0,interp,0.28,467.5,360.0,248.3,0.0,438.4,779.3,1,144.3,1,1,shot_pb=1.00|conf_zoom=0.80|keepin_prop=0.15|keepin_zoom=1.300|speed|edge_zoom=0.914|bounds
37,408.7,495.4,interp,0.28,466.5,360.0,247.3,0.0,438.4,779.3,1,144.7,1,1,shot_pb=1.00|conf_zoom=0.80|keepin_prop=0.15|keepin_zoom=1.300|speed|edge_zoom=0.914|bounds
38,408.2,494.9,interp,0.28,465.6,360.0,246.5,0.0,438.4,779.3,1,145.1,1,1,shot_pb=1.00|conf_zoom=0.80|keepin_prop=0.15|keepin_zoom=1.300|speed|edge_zoom=0.914|bounds
39,407.8,494.3,interp,0.28,464.9,360.0,245.7,0.0,438.4,779.3,1,145.4,1,1,shot_pb=1.00|conf_zoom=0.80|keepin_prop=0.15|keepin_zoom=1.300|speed|edge_zoom=0.914|bounds
40,407.5,493.9,interp,0.28,464.3,360.0,245.1,0.0,438.4,779.3,1,145.7,1,1,shot_pb=1.00|conf_zoom=0.80|keepin_prop=0.15|keepin_zoom=1.300|speed|edge_zoom=0.913|bounds
41,407.3,493.4,interp,0.28,463.8,360.0,244.6,0.0,438.4,779.3,1,146.0,1,1,shot_pb=1.00|conf_zoom=0.80|keepin_prop=0.15|keepin_zoom=1.300|speed|edge_zoom=0.913|bounds
42,407.1,493.0,interp,0.28,463.4,360.0,244.2,0.0,438.4,779.3,1,146.2,1,1,shot_pb=1.00|conf_zoom=0.80|keepin_prop=0.15|keepin_zoom=1.300|speed|edge_zoom=0.913|bounds
43,407.1,492.6,interp,0.28,463.1,360.0,243.9,0.0,438.4,779.3,1,146.5,1,1,shot_pb=1.00|conf_zoom=0.80|keepin_prop=0.15|keepin_zoom=1.300|speed|edge_zoom=0.913|bounds
44,407.2,492.1,interp,0.28,462.9,360.0,243.7,0.0,438.4,779.3,1,146.8,1,1,shot_pb=1.00|conf_zoom=0.80|keepin_prop=0.15|keepin_zoom=1.300|speed|edge_zoom=0.913|bounds
45,407.3,491.7,interp,0.28,462.8,360.0,243.6,0.0,438.4,779.3,1,147.0,1,1,shot_pb=1.00|conf_zoom=0.80|keepin_prop=0.15|keepin_zoom=1.300|speed|edge_zoom=0.914|bounds
