frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,84.7,479.9,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,68.0,1,0,accel_zoom=0.901|flight_commit=0.44|edge_zoom=0.750|bounds|final_speed
1,85.0,479.8,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,68.3,0,1,flight_commit=0.09|conf_zoom=0.93|keepin_prop=0.03|keepin_zoom=1.350|edge_zoom=0.858|bounds
2,85.3,479.8,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,68.6,0,1,conf_zoom=0.73|keepin_prop=0.03|keepin_zoom=1.350|edge_zoom=0.882|bounds
3,85.7,479.7,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,69.0,0,1,conf_zoom=0.73|keepin_prop=0.15|keepin_zoom=1.350|edge_zoom=0.940|bounds
4,86.1,479.6,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,69.4,0,1,conf_zoom=0.73|keepin_prop=0.15|keepin_zoom=1.350|edge_zoom=0.941|bounds
5,86.5,479.5,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,69.8,0,1,conf_zoom=0.73|keepin_prop=0.15|keepin_zoom=1.350|edge_zoom=0.943|bounds
6,87.0,479.4,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,70.3,0,1,conf_zoom=0.73|keepin_prop=0.14|keepin_zoom=1.350|edge_zoom=0.944|bounds
7,87.6,479.3,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,70.9,0,1,conf_zoom=0.73|keepin_prop=0.14|keepin_zoom=1.350|edge_zoom=0.946|bounds
8,88.2,479.2,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,71.5,0,1,conf_zoom=0.73|keepin_prop=0.14|keepin_zoom=1.350|edge_zoom=0.947|bounds
9,89.0,479.1,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,72.3,0,1,conf_zoom=0.73|keepin_prop=0.14|keepin_zoom=1.350|edge_zoom=0.947|bounds
10,89.8,478.9,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,73.1,0,1,conf_zoom=0.73|keepin_prop=0.14|keepin_zoom=1.350|edge_zoom=0.948|bounds
11,90.8,478.7,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,74.1,0,1,conf_zoom=0.73|keepin_prop=0.13|keepin_zoom=1.350|edge_zoom=0.949|bounds
12,91.9,478.5,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,75.2,0,1,conf_zoom=0.73|keepin_prop=0.13|keepin_zoom=1.350|edge_zoom=0.950|bounds
13,93.1,478.3,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,76.4,0,1,conf_zoom=0.73|keepin_prop=0.13|keepin_zoom=1.350|edge_zoom=0.951|bounds
14,94.6,478.0,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,77.9,0,1,conf_zoom=0.73|keepin_prop=0.13|keepin_zoom=1.350|edge_zoom=0.952|bounds
15,96.2,477.7,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,79.5,0,1,conf_zoom=0.73|keepin_prop=0.13|keepin_zoom=1.350|edge_zoom=0.954|bounds
16,98.0,477.3,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,81.3,0,1,conf_zoom=0.73|keepin_prop=0.12|keepin_zoom=1.350|edge_zoom=0.955|bounds
17,100.1,477.0,yolo,0.27,219.2,360.0,0.0,0.0,438.4,779.3,1,83.4,0,1,conf_zoom=0.72|keepin_prop=0.12|keepin_zoom=1.350|edge_zoom=0.957|bounds
18,102.7,476.5,interp,0.38,219.2,360.0,0.0,0.0,438.4,779.3,1,86.0,0,1,conf_zoom=0.73|keepin_prop=0.12|keepin_zoom=1.350|edge_zoom=0.959|bounds
19,105.5,475.9,interp,0.38,219.2,360.0,0.0,0.0,438.4,779.3,1,88.8,0,1,conf_zoom=0.74|keepin_prop=0.12|keepin_zoom=1.350|edge_zoom=0.961|bounds
20,108.6,475.3,interp,0.38,219.2,360.0,0.0,0.0,438.4,779.3,1,91.9,0,1,conf_zoom=0.75|keepin_prop=0.11|keepin_zoom=1.350|edge_zoom=0.963|bounds
21,111.9,474.7,interp,0.38,219.2,360.0,0.0,0.0,438.4,779.3,1,95.2,0,1,conf_zoom=0.76|keepin_prop=0.11|keepin_zoom=1.350|edge_zoom=0.966|bounds
22,115.5,474.0,interp,0.38,219.2,360.0,0.0,0.0,438.4,779.3,1,98.8,0,1,conf_zoom=0.76|keepin_prop=0.10|keepin_zoom=1.350|edge_zoom=0.968|bounds
23,119.3,473.3,interp,0.38,219.2,360.0,0.0,0.0,438.4,779.3,1,102.6,0,1,conf_zoom=0.77|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.967|bounds
24,123.4,472.6,interp,0.38,219.2,360.0,0.0,0.0,438.4,779.3,1,106.7,0,1,conf_zoom=0.77|keepin_prop=0.04|keepin_zoom=1.350|edge_zoom=0.955|bounds
25,127.7,471.8,yolo,0.26,219.2,360.0,0.0,0.0,438.4,779.3,1,111.0,0,1,conf_zoom=0.76|keepin_prop=0.01|keepin_zoom=1.350|conf_speed=0.87|edge_zoom=0.938|bounds
26,134.1,470.6,yolo,0.25,219.2,360.0,0.0,0.0,438.4,779.3,1,117.4,0,1,conf_zoom=0.75|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.86|edge_zoom=0.915|bounds
27,138.4,469.8,interp,0.38,219.2,360.0,0.0,0.0,438.4,779.3,1,121.7,0,1,conf_zoom=0.76|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.87|edge_zoom=0.915|bounds
28,142.6,469.1,interp,0.38,219.2,360.0,0.0,0.0,438.4,779.3,1,125.9,0,0,conf_zoom=0.76|conf_speed=0.87|edge_zoom=0.916|bounds
29,146.7,468.5,interp,0.38,219.2,360.0,0.0,0.0,438.4,779.3,1,130.0,0,0,conf_zoom=0.77|conf_speed=0.87|edge_zoom=0.916|bounds
30,150.6,467.9,interp,0.38,219.2,360.0,0.0,0.0,438.4,779.3,1,133.9,0,0,conf_zoom=0.77|conf_speed=0.88|edge_zoom=0.917|bounds
31,154.6,467.3,interp,0.38,219.2,360.0,0.0,0.0,438.4,779.3,1,137.9,0,0,conf_zoom=0.78|conf_speed=0.88|edge_zoom=0.917|bounds
32,158.4,466.8,interp,0.38,219.2,360.0,0.0,0.0,438.4,779.3,1,141.7,0,0,conf_zoom=0.78|conf_speed=0.88|edge_zoom=0.917|bounds
33,162.3,466.3,interp,0.38,219.2,360.0,0.0,0.0,438.4,779.3,1,145.6,0,0,conf_zoom=0.78|conf_speed=0.88|edge_zoom=0.918|bounds
34,166.2,465.8,yolo,0.25,219.3,360.0,0.1,0.0,438.4,779.3,1,149.4,0,0,conf_zoom=0.77|conf_speed=0.87|edge_zoom=0.918|bounds
35,170.5,465.3,yolo,0.27,219.3,360.0,0.1,0.0,438.4,779.3,1,153.7,0,0,conf_zoom=0.76|conf_speed=0.87|edge_zoom=0.918|bounds
36,174.6,464.9,yolo,0.28,219.4,360.0,0.2,0.0,438.4,779.3,1,157.7,0,0,conf_zoom=0.75|conf_speed=0.86|edge_zoom=0.918|bounds
37,178.3,464.5,interp,0.38,219.6,360.0,0.4,0.0,438.4,779.3,1,161.2,0,0,conf_zoom=0.76|conf_speed=0.87|edge_zoom=0.919|bounds
38,181.9,464.2,interp,0.38,219.8,360.0,0.6,0.0,438.4,779.3,1,164.6,0,0,conf_zoom=0.76|conf_speed=0.87|edge_zoom=0.929|bounds
39,185.4,463.8,interp,0.38,220.1,360.0,1.0,0.0,438.4,779.3,1,167.8,0,1,conf_zoom=0.77|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.87|edge_zoom=0.938|bounds
40,188.9,463.4,interp,0.38,220.6,360.0,1.4,0.0,438.4,779.3,1,170.8,0,1,conf_zoom=0.77|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.88|edge_zoom=0.944|bounds
41,192.5,463.1,interp,0.38,221.3,360.0,2.1,0.0,438.4,779.3,1,173.7,0,1,conf_zoom=0.78|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.88|edge_zoom=0.948|bounds
42,196.1,462.7,interp,0.38,222.2,360.0,3.0,0.0,438.4,779.3,1,176.4,0,1,conf_zoom=0.78|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.88|edge_zoom=0.950|bounds
43,199.8,462.4,yolo,0.29,223.4,360.0,4.2,0.0,438.4,779.3,1,178.9,0,1,conf_zoom=0.77|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.87|edge_zoom=0.949|bounds
44,203.6,462.0,interp,0.38,224.9,360.0,5.7,0.0,438.3,779.3,1,181.2,0,1,conf_zoom=0.77|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.88|edge_zoom=0.943|bounds
45,207.6,461.6,interp,0.38,226.9,360.0,7.7,0.0,438.3,779.3,1,183.2,0,0,conf_zoom=0.78|conf_speed=0.88|edge_zoom=0.936|bounds
46,211.8,461.1,interp,0.38,229.3,360.0,10.1,0.0,438.3,779.3,1,185.0,0,0,conf_zoom=0.78|conf_speed=0.88|edge_zoom=0.925|bounds
47,216.2,460.7,interp,0.38,232.2,360.0,13.0,0.0,438.3,779.2,1,186.5,0,0,conf_zoom=0.78|conf_speed=0.88|edge_zoom=0.921|bounds
48,220.7,460.2,interp,0.38,235.6,360.0,16.5,0.0,438.3,779.1,1,187.6,0,0,conf_zoom=0.79|conf_speed=0.88|edge_zoom=0.921|bounds
49,225.6,459.7,interp,0.38,239.5,360.0,20.5,0.0,438.2,778.9,1,188.6,0,0,conf_zoom=0.79|conf_speed=0.88|edge_zoom=0.922|bounds
50,230.7,459.2,yolo,0.29,244.0,360.0,25.0,0.0,438.0,778.7,1,189.2,0,0,conf_zoom=0.78|conf_speed=0.88|edge_zoom=0.922|bounds
51,236.8,458.5,yolo,0.29,249.1,360.0,30.2,0.0,437.9,778.4,1,190.2,0,0,conf_zoom=0.77|conf_speed=0.87|edge_zoom=0.923|bounds
52,242.8,457.9,interp,0.38,254.6,360.0,35.8,0.0,437.6,778.0,1,190.7,0,0,flight_commit=0.04|conf_zoom=0.92|conf_speed=0.96|edge_zoom=0.923|bounds
53,248.9,457.2,interp,0.38,260.6,360.0,42.0,0.0,437.3,777.4,1,190.8,0,0,flight_commit=0.09|conf_zoom=0.93|conf_speed=0.96|edge_zoom=0.924|bounds
54,255.2,456.5,interp,0.38,267.1,360.0,48.6,0.0,436.8,776.6,1,190.6,0,0,flight_commit=0.13|conf_zoom=0.94|conf_speed=0.97|edge_zoom=0.924|bounds
55,261.5,455.8,interp,0.38,273.8,360.0,55.7,0.0,436.3,775.6,1,190.2,0,0,flight_commit=0.17|conf_zoom=0.96|conf_speed=0.98|edge_zoom=0.925|bounds
56,268.0,455.0,interp,0.38,281.0,360.0,63.2,0.0,435.6,774.4,1,189.5,0,0,flight_commit=0.20|conf_zoom=0.96|conf_speed=0.98|edge_zoom=0.925|bounds
57,274.5,454.3,interp,0.38,288.4,360.0,71.0,0.0,434.9,773.1,1,188.6,0,0,flight_commit=0.23|conf_zoom=0.97|conf_speed=0.98|edge_zoom=0.926|bounds
58,281.1,453.5,interp,0.38,296.1,360.0,79.1,0.0,434.1,771.7,1,187.5,0,0,flight_commit=0.26|conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.926|bounds
59,287.8,452.7,interp,0.38,304.1,360.0,87.5,0.0,433.3,770.3,1,186.2,0,0,flight_commit=0.28|conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.927|bounds
60,294.4,452.0,interp,0.38,312.4,360.0,96.1,0.0,432.6,769.0,1,184.5,0,0,flight_commit=0.29|conf_zoom=0.99|person_ctx=4|conf_speed=0.99|edge_zoom=0.927|bounds
61,301.1,451.2,interp,0.38,320.9,360.0,104.9,0.0,432.0,767.9,1,182.7,0,0,flight_commit=0.31|conf_zoom=0.99|person_ctx=4|conf_speed=1.00|edge_zoom=0.928|bounds
62,307.8,450.5,interp,0.38,329.6,360.0,113.9,0.0,431.5,767.1,1,180.7,0,0,shot_pb=0.80|flight_commit=0.31|conf_zoom=0.99|conf_speed=1.00|edge_zoom=0.925|bounds
63,314.4,449.7,interp,0.38,338.5,360.0,122.9,0.0,431.3,766.7,1,178.4,0,0,shot_pb=1.00|flight_commit=0.68|edge_zoom=0.928|bounds
64,321.0,449.0,interp,0.38,347.6,360.0,132.0,0.0,431.2,766.6,1,175.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.929|bounds
