frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,164.7,464.2,hold,0.30,219.0,360.0,0.0,0.0,438.1,778.8,1,148.2,1,0,accel_zoom=0.901|conf_zoom=0.82|edge_zoom=0.750|bounds|final_speed
1,164.7,464.2,hold,0.30,219.0,360.0,0.0,0.0,438.0,778.7,1,148.2,1,0,conf_zoom=0.82|speed|edge_zoom=0.928|bounds
2,164.7,464.2,hold,0.30,219.0,360.0,0.0,0.0,438.0,778.6,1,148.2,1,0,conf_zoom=0.82|speed|edge_zoom=0.929|bounds
3,164.8,464.2,hold,0.30,219.0,360.0,0.0,0.0,438.0,778.6,1,148.3,1,0,conf_zoom=0.82|speed|edge_zoom=0.929|bounds
4,164.8,464.2,hold,0.30,219.0,360.0,0.0,0.0,438.0,778.6,1,148.3,0,0,conf_zoom=0.82|edge_zoom=0.955|bounds
5,164.9,464.2,hold,0.30,219.0,360.0,0.0,0.0,438.0,778.6,1,148.4,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.988|bounds
6,164.9,464.2,hold,0.30,219.0,360.0,0.0,0.0,438.0,778.6,1,148.4,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
7,165.0,464.2,hold,0.30,219.0,360.0,0.0,0.0,438.0,778.7,1,148.5,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
8,165.0,464.2,hold,0.30,219.0,360.0,0.0,0.0,438.1,778.8,1,148.5,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
9,165.1,464.2,hold,0.30,219.1,360.0,0.0,0.0,438.1,778.9,1,148.5,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
10,165.2,464.2,hold,0.30,219.1,360.0,0.0,0.0,438.2,779.0,1,148.6,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
11,165.3,464.2,hold,0.30,219.1,360.0,0.0,0.0,438.2,779.0,1,148.7,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
12,165.4,464.2,hold,0.30,219.1,360.0,0.0,0.0,438.2,779.1,1,148.8,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
13,165.5,464.1,hold,0.30,219.1,360.0,0.0,0.0,438.3,779.2,1,148.9,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
14,165.7,464.1,hold,0.30,219.1,360.0,0.0,0.0,438.3,779.2,1,149.1,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
15,165.9,464.1,hold,0.30,219.2,360.0,0.0,0.0,438.3,779.2,1,149.2,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
16,166.0,464.1,hold,0.30,219.2,360.0,0.0,0.0,438.3,779.3,1,149.3,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
17,166.3,464.1,hold,0.30,219.2,360.0,0.0,0.0,438.3,779.3,1,149.6,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
18,166.5,464.1,hold,0.30,219.2,360.0,0.0,0.0,438.3,779.3,1,149.8,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
19,166.8,464.1,hold,0.30,219.2,360.0,0.0,0.0,438.3,779.3,1,150.1,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
20,167.1,464.0,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,150.4,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
21,167.4,464.0,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,150.7,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
22,167.8,464.0,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,151.1,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
23,168.3,463.9,hold,0.30,219.2,360.0,0.0,0.0,438.3,779.3,1,151.6,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
24,168.8,463.9,hold,0.30,219.2,360.0,0.0,0.0,438.3,779.3,1,152.1,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
25,169.4,463.9,hold,0.30,219.2,360.0,0.0,0.0,438.3,779.2,1,152.7,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
26,170.1,463.8,hold,0.30,219.1,360.0,0.0,0.0,438.3,779.2,1,153.5,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
27,170.8,463.8,hold,0.30,219.1,360.0,0.0,0.0,438.3,779.1,1,154.2,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
28,171.7,463.7,hold,0.30,219.1,360.0,0.0,0.0,438.2,779.1,1,155.1,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
29,172.7,463.6,hold,0.30,219.1,360.0,0.0,0.0,438.2,778.9,1,156.1,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
30,173.8,463.6,hold,0.30,219.1,360.0,0.0,0.0,438.1,778.8,1,157.2,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
31,175.1,463.5,hold,0.30,219.0,360.0,0.1,0.0,438.0,778.6,1,158.6,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
32,176.5,463.4,hold,0.30,219.0,360.0,0.1,0.0,437.8,778.4,1,160.0,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
33,178.2,463.2,hold,0.30,219.0,360.0,0.2,0.0,437.7,778.1,1,161.7,0,1,conf_zoom=0.82|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
34,180.3,463.0,blended,0.75,219.1,360.0,0.3,0.0,437.5,777.8,1,163.7,0,1,conf_zoom=0.87|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.998|bounds
35,182.8,462.9,blended,0.77,219.2,360.0,0.5,0.0,437.4,777.6,1,166.1,0,1,conf_zoom=0.91|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.996|bounds
36,185.3,462.8,blended,0.79,219.3,360.0,0.7,0.0,437.3,777.4,1,168.5,0,1,conf_zoom=0.95|person_ctx=4|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.980|bounds
37,187.6,462.7,interp,0.28,219.6,360.0,1.1,0.0,437.2,777.2,1,170.5,0,1,conf_zoom=0.93|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.971|bounds
38,190.0,462.5,interp,0.28,220.1,360.0,1.5,0.0,437.1,777.1,1,172.4,0,0,conf_zoom=0.91|edge_zoom=0.959|bounds
39,192.5,462.3,interp,0.28,220.7,360.0,2.1,0.0,437.1,777.1,1,174.3,0,0,conf_zoom=0.89|edge_zoom=0.946|bounds
40,195.1,462.1,interp,0.28,221.6,360.0,3.0,0.0,437.2,777.2,1,176.0,1,0,conf_zoom=0.88|speed|edge_zoom=0.933|bounds
41,197.8,461.9,interp,0.28,222.7,360.0,4.1,0.0,437.2,777.3,1,177.6,1,0,conf_zoom=0.87|speed|edge_zoom=0.933|bounds
42,200.7,461.7,interp,0.28,224.1,360.0,5.4,0.0,437.4,777.5,1,179.1,1,0,conf_zoom=0.86|speed|edge_zoom=0.933|bounds
43,203.7,461.4,yolo,0.29,225.9,360.0,7.1,0.0,437.5,777.8,1,180.3,1,0,conf_zoom=0.85|speed|edge_zoom=0.933|bounds
44,206.9,461.1,interp,0.28,228.0,360.0,9.2,0.0,437.6,778.0,1,181.4,1,0,conf_zoom=0.84|speed|edge_zoom=0.933|bounds
45,210.4,460.8,interp,0.28,230.6,360.0,11.7,0.0,437.8,778.3,1,182.3,1,0,conf_zoom=0.84|speed|edge_zoom=0.933|bounds
46,214.0,460.4,interp,0.28,233.6,360.0,14.6,0.0,437.9,778.5,1,182.9,1,0,conf_zoom=0.83|speed|edge_zoom=0.933|bounds
47,217.9,460.0,interp,0.28,237.0,360.0,17.9,0.0,438.0,778.7,1,183.4,1,0,conf_zoom=0.83|speed|edge_zoom=0.933|bounds
48,222.0,459.6,interp,0.28,240.8,360.0,21.7,0.0,438.1,778.9,1,183.7,1,0,conf_zoom=0.82|speed|edge_zoom=0.933|bounds
49,226.4,459.1,interp,0.28,245.0,360.0,25.9,0.0,438.2,779.0,1,183.9,1,0,conf_zoom=0.82|speed|edge_zoom=0.933|bounds
50,231.1,458.6,yolo,0.29,249.6,360.0,30.5,0.0,438.3,779.1,1,184.0,1,0,conf_zoom=0.82|speed|edge_zoom=0.933|bounds
51,236.9,458.0,yolo,0.29,254.6,360.0,35.5,0.0,438.3,779.2,1,184.8,1,0,conf_zoom=0.82|speed|edge_zoom=0.933|bounds
52,242.4,457.3,interp,0.28,259.9,360.0,40.8,0.0,438.3,779.2,1,185.0,1,0,conf_zoom=0.82|speed|edge_zoom=0.933|bounds
53,248.1,456.6,interp,0.28,265.5,360.0,46.3,0.0,438.3,779.3,1,185.1,1,0,conf_zoom=0.81|speed|edge_zoom=0.933|bounds
54,254.0,455.9,interp,0.28,271.3,360.0,52.1,0.0,438.3,779.3,1,185.2,1,0,conf_zoom=0.81|speed|edge_zoom=0.933|bounds
55,259.9,455.1,interp,0.28,277.3,360.0,58.1,0.0,438.4,779.3,1,185.1,1,0,conf_zoom=0.81|speed|edge_zoom=0.933|bounds
56,265.9,454.3,interp,0.28,283.4,360.0,64.2,0.0,438.4,779.3,1,185.0,1,0,conf_zoom=0.81|speed|edge_zoom=0.933|bounds
57,271.9,453.5,interp,0.28,289.6,360.0,70.4,0.0,438.4,779.3,1,184.8,1,0,conf_zoom=0.81|speed|edge_zoom=0.933|bounds
58,278.0,452.7,interp,0.28,295.8,360.0,76.7,0.0,438.4,779.3,1,184.7,1,0,conf_zoom=0.81|speed|edge_zoom=0.933|bounds
59,284.0,451.9,interp,0.28,302.0,360.0,82.8,0.0,438.4,779.3,1,184.5,1,0,conf_zoom=0.81|speed|edge_zoom=0.933|bounds
60,290.0,451.0,interp,0.28,308.1,360.0,89.0,0.0,438.4,779.3,1,184.4,1,0,conf_zoom=0.81|speed|edge_zoom=0.933|bounds
61,296.0,450.2,interp,0.28,314.1,360.0,94.9,0.0,438.4,779.3,1,184.4,1,0,conf_zoom=0.81|speed|edge_zoom=0.933|bounds
62,301.8,449.3,interp,0.28,319.9,360.0,100.7,0.0,438.3,779.3,1,184.4,1,0,conf_zoom=0.81|speed|edge_zoom=0.933|bounds
63,307.5,448.4,interp,0.28,325.5,360.0,106.3,0.0,438.3,779.2,1,184.5,1,0,conf_zoom=0.81|speed|edge_zoom=0.933|bounds
64,313.1,447.5,interp,0.28,330.7,360.0,111.6,0.0,438.2,779.1,1,184.9,1,0,conf_zoom=0.81|speed|edge_zoom=0.933|bounds
65,318.5,446.6,interp,0.28,335.7,360.0,116.6,0.0,438.1,778.8,1,185.3,1,0,conf_zoom=0.81|speed|edge_zoom=0.933|bounds
66,323.7,445.7,interp,0.28,340.2,360.0,121.3,0.0,437.8,778.3,1,186.0,1,0,conf_zoom=0.80|speed|edge_zoom=0.933|bounds
67,328.6,444.8,interp,0.28,344.4,360.0,125.7,0.0,437.4,777.6,1,186.7,1,0,conf_zoom=0.80|speed|edge_zoom=0.933|bounds
68,333.2,443.9,interp,0.28,348.0,360.0,129.7,0.0,436.7,776.4,1,187.7,1,0,conf_zoom=0.80|speed|edge_zoom=0.933|bounds
69,337.4,443.0,interp,0.28,351.2,360.0,133.3,0.0,435.7,774.7,1,188.7,1,0,conf_zoom=0.80|speed|edge_zoom=0.933|bounds
70,341.2,442.1,interp,0.28,353.9,360.0,136.7,0.0,434.3,772.2,1,189.8,0,0,conf_zoom=0.80|edge_zoom=0.934|bounds
71,344.6,441.2,interp,0.28,356.1,360.0,139.9,0.0,432.4,768.7,1,191.0,0,0,conf_zoom=0.80|edge_zoom=0.934|bounds
72,347.4,440.4,interp,0.28,357.8,360.0,142.8,0.0,429.9,764.2,1,192.1,0,0,conf_zoom=0.80|edge_zoom=0.935|bounds
73,349.6,439.5,interp,0.28,359.0,360.0,145.7,0.0,426.7,758.5,1,193.1,0,0,conf_zoom=0.80|edge_zoom=0.936|bounds
74,351.0,438.6,yolo,0.30,359.9,360.0,148.5,0.0,422.7,751.5,1,193.6,0,0,conf_zoom=0.81|edge_zoom=0.937|bounds
75,347.0,437.4,centroid,0.30,360.4,360.0,151.3,0.0,418.2,743.4,1,189.1,0,0,conf_zoom=0.81|edge_zoom=0.936|bounds
76,347.6,436.7,centroid,0.30,360.6,360.0,154.1,0.0,413.1,734.4,1,189.5,0,0,conf_zoom=0.81|edge_zoom=0.939|bounds
77,348.4,436.1,centroid,0.30,360.7,360.0,156.9,0.0,407.6,724.6,1,190.2,0,0,conf_zoom=0.81|edge_zoom=0.965|bounds
78,349.5,435.5,centroid,0.30,360.6,360.0,159.6,2.7,401.9,714.5,1,191.4,0,0,conf_zoom=0.81|edge_zoom=0.984|bounds
79,350.6,435.0,centroid,0.30,360.4,360.0,162.2,7.8,396.3,704.5,1,192.7,0,0,conf_zoom=0.81|edge_zoom=0.997|bounds
80,351.9,434.6,centroid,0.30,360.1,360.0,164.7,12.6,390.8,694.8,1,194.3,0,0,conf_zoom=0.81|bounds
81,353.4,434.3,centroid,0.30,359.9,360.0,167.0,17.0,385.8,685.9,1,196.0,0,0,conf_zoom=0.81|bounds
82,354.9,433.9,centroid,0.30,359.7,360.0,169.0,21.0,381.4,678.0,1,197.7,0,0,conf_zoom=0.81|bounds
83,356.4,433.7,centroid,0.30,359.5,360.0,170.7,24.4,377.5,671.1,1,199.4,0,0,conf_zoom=0.82|bounds
84,358.0,433.4,centroid,0.30,359.3,360.0,172.2,27.3,374.3,665.4,1,201.2,0,0,conf_zoom=0.82|bounds
85,359.6,433.2,centroid,0.30,359.2,360.0,173.4,29.6,371.7,660.8,1,202.1,0,0,conf_zoom=0.82|bounds
86,361.3,433.0,centroid,0.30,359.1,360.0,174.3,31.4,369.6,657.2,1,200.3,0,0,conf_zoom=0.82|bounds
87,363.0,432.8,centroid,0.30,359.0,360.0,175.0,32.8,368.1,654.4,1,198.5,0,0,conf_zoom=0.82|bounds
88,364.6,432.6,centroid,0.30,359.0,360.0,175.5,33.8,367.0,652.4,1,196.9,0,0,conf_zoom=0.82|bounds
89,366.3,432.5,centroid,0.30,359.0,360.0,175.9,34.5,366.2,651.0,1,195.2,0,0,conf_zoom=0.82|bounds
90,367.9,432.3,centroid,0.30,359.0,360.0,176.2,35.0,365.6,650.0,1,193.6,0,0,conf_zoom=0.82|bounds
91,369.6,432.1,centroid,0.30,358.9,360.0,176.3,35.4,365.2,649.3,1,191.8,0,0,conf_zoom=0.82|bounds
92,371.2,432.0,centroid,0.30,358.9,360.0,176.5,35.6,365.0,648.8,1,190.2,0,0,conf_zoom=0.82|bounds
93,372.8,431.8,centroid,0.30,358.9,360.0,176.5,35.7,364.8,648.5,1,188.6,0,0,conf_zoom=0.82|bounds
94,374.4,431.6,centroid,0.30,358.9,360.0,176.6,35.8,364.7,648.3,1,187.0,0,0,conf_zoom=0.82|bounds
95,375.9,431.4,centroid,0.30,358.9,360.0,176.6,35.9,364.6,648.2,1,185.5,0,0,conf_zoom=0.82|bounds
96,377.5,431.2,centroid,0.30,358.9,360.0,176.7,35.9,364.6,648.1,1,183.9,0,0,conf_zoom=0.82|bounds
97,379.0,430.9,centroid,0.30,358.9,360.0,176.7,36.0,364.5,648.1,1,182.4,0,0,conf_zoom=0.82|bounds
98,380.6,430.7,centroid,0.30,358.9,360.0,176.7,36.0,364.5,648.0,1,180.8,0,0,conf_zoom=0.82|bounds
99,382.1,430.4,centroid,0.30,358.9,360.0,176.7,36.0,364.5,648.0,1,179.3,0,0,conf_zoom=0.82|bounds
100,383.6,430.1,centroid,0.30,358.9,360.0,176.7,36.0,364.5,648.0,1,177.8,0,0,conf_zoom=0.82|bounds
