frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,187.9,644.4,centroid,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,134.9,1,0,accel_zoom=0.901|flight_commit=0.44|edge_zoom=0.750|bounds|final_speed
1,189.0,645.8,centroid,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,133.5,1,1,flight_commit=0.16|conf_zoom=0.95|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
2,190.1,647.3,centroid,0.30,219.2,360.0,0.1,0.0,438.4,779.3,1,132.0,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
3,191.2,649.0,centroid,0.30,219.3,360.0,0.1,0.0,438.4,779.3,1,130.3,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
4,192.4,651.0,centroid,0.30,219.4,360.0,0.2,0.0,438.4,779.3,1,128.3,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
5,193.7,653.3,centroid,0.30,219.5,360.0,0.4,0.0,438.4,779.3,1,126.0,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
6,194.0,659.0,blended,0.66,219.8,360.0,0.6,0.0,438.4,779.3,1,120.3,1,1,conf_zoom=0.77|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
7,194.8,661.8,blended,0.74,220.2,360.0,1.0,0.0,438.4,779.3,1,117.5,1,1,conf_zoom=0.83|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
8,195.7,663.9,yolo,0.28,220.7,360.0,1.5,0.0,438.4,779.3,1,115.4,1,1,conf_zoom=0.81|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
9,197.2,664.8,interp,0.38,221.5,360.0,2.3,0.0,438.4,779.3,1,114.5,1,1,conf_zoom=0.81|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
