frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,187.6,698.2,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,81.1,1,0,accel_zoom=0.925|conf_zoom=0.82|edge_zoom=0.750|bounds|final_speed
1,188.5,697.4,hold,0.30,219.2,360.0,0.0,0.0,438.4,779.3,1,81.9,1,1,conf_zoom=0.82|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.800|bounds
2,189.4,696.5,hold,0.30,219.3,360.0,0.1,0.0,438.4,779.3,1,82.8,1,1,conf_zoom=0.82|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.800|bounds
3,190.5,695.4,hold,0.30,219.3,360.0,0.2,0.0,438.4,779.3,1,83.9,1,1,conf_zoom=0.82|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.800|bounds
4,191.7,694.3,hold,0.30,219.4,360.0,0.3,0.0,438.4,779.3,1,85.0,1,1,conf_zoom=0.82|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.800|bounds
5,193.0,692.9,hold,0.30,219.6,360.0,0.5,0.0,438.4,779.3,1,86.4,1,1,conf_zoom=0.82|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.800|bounds
6,195.2,690.1,blended,0.66,219.9,360.0,0.8,0.0,438.4,779.3,1,89.2,1,1,conf_zoom=0.86|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.800|bounds
7,196.4,689.4,blended,0.74,220.4,360.0,1.2,0.0,438.4,779.3,1,89.9,1,1,conf_zoom=0.90|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.800|bounds
8,197.7,688.4,yolo,0.28,221.0,360.0,1.8,0.0,438.4,779.3,1,90.9,1,1,conf_zoom=0.89|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.800|bounds
9,199.7,686.6,interp,0.28,221.9,360.0,2.7,0.0,438.4,779.3,1,92.7,1,1,conf_zoom=0.87|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.800|bounds
10,202.2,684.6,interp,0.28,223.1,360.0,4.0,0.0,438.4,779.3,1,94.7,1,1,conf_zoom=0.86|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.800|bounds
11,205.1,682.4,interp,0.28,224.8,360.0,5.6,0.0,438.4,779.3,1,96.9,1,1,conf_zoom=0.85|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.800|bounds
