frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,217.5,555.4,centroid,0.30,219.8,360.0,0.6,0.0,438.4,779.3,1,200.2,1,0,accel_zoom=0.901|flight_commit=0.44|edge_zoom=0.750|bounds|final_speed
1,218.1,554.9,centroid,0.30,220.0,360.0,0.8,0.0,438.4,779.3,1,200.6,0,1,flight_commit=0.12|conf_zoom=0.94|keepin_prop=0.13|keepin_zoom=1.350|edge_zoom=0.819|bounds
2,218.7,554.4,centroid,0.30,220.2,360.0,1.0,0.0,438.4,779.3,1,201.0,0,1,conf_zoom=0.73|keepin_prop=0.17|keepin_zoom=1.350|edge_zoom=0.824|bounds
3,219.3,553.9,centroid,0.30,220.4,360.0,1.2,0.0,438.4,779.3,1,201.4,0,1,conf_zoom=0.73|keepin_prop=0.52|keepin_zoom=1.350|edge_zoom=0.751|bounds
4,220.0,553.2,centroid,0.30,220.7,360.0,1.5,0.0,438.4,779.3,1,201.8,0,1,conf_zoom=0.73|keepin_prop=0.51|keepin_zoom=1.350|edge_zoom=0.755|bounds
5,220.8,552.4,centroid,0.30,221.0,360.0,1.9,0.0,438.4,779.3,1,202.3,0,1,conf_zoom=0.73|keepin_prop=0.50|keepin_zoom=1.350|edge_zoom=0.760|bounds
6,221.5,551.6,centroid,0.30,221.4,360.0,2.3,0.0,438.4,779.3,1,202.4,0,1,conf_zoom=0.73|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.765|bounds
7,222.3,550.8,centroid,0.30,221.9,360.0,2.7,0.0,438.4,779.3,1,202.1,0,1,conf_zoom=0.73|keepin_prop=0.48|keepin_zoom=1.350|edge_zoom=0.771|bounds
8,223.0,549.9,centroid,0.30,222.3,360.0,3.1,0.0,438.4,779.3,1,201.8,0,1,conf_zoom=0.73|keepin_prop=0.47|keepin_zoom=1.350|edge_zoom=0.776|bounds
9,223.7,549.0,centroid,0.30,222.8,360.0,3.6,0.0,438.4,779.3,1,201.6,0,1,conf_zoom=0.73|keepin_prop=0.46|keepin_zoom=1.350|edge_zoom=0.781|bounds
10,224.4,548.1,centroid,0.30,223.3,360.0,4.1,0.0,438.4,779.3,1,201.4,0,1,conf_zoom=0.73|keepin_prop=0.45|keepin_zoom=1.350|edge_zoom=0.787|bounds
11,225.1,547.1,centroid,0.30,223.8,360.0,4.6,0.0,438.4,779.3,1,201.2,0,1,conf_zoom=0.73|keepin_prop=0.44|keepin_zoom=1.350|edge_zoom=0.792|bounds
12,225.8,546.1,centroid,0.30,224.3,360.0,5.1,0.0,438.4,779.3,1,201.0,0,1,conf_zoom=0.73|keepin_prop=0.43|keepin_zoom=1.350|edge_zoom=0.798|bounds
13,226.4,545.1,centroid,0.30,224.8,360.0,5.6,0.0,438.4,779.3,1,200.9,0,1,conf_zoom=0.73|keepin_prop=0.42|keepin_zoom=1.350|edge_zoom=0.804|bounds
14,227.0,544.1,centroid,0.30,225.2,360.0,6.0,0.0,438.4,779.3,1,200.7,0,1,conf_zoom=0.73|keepin_prop=0.41|keepin_zoom=1.350|edge_zoom=0.810|bounds
15,227.5,543.0,centroid,0.30,225.7,360.0,6.5,0.0,438.4,779.3,1,200.7,0,1,conf_zoom=0.73|keepin_prop=0.40|keepin_zoom=1.350|edge_zoom=0.815|bounds
16,227.9,541.9,centroid,0.30,226.1,360.0,6.9,0.0,438.4,779.3,1,200.7,0,1,conf_zoom=0.73|keepin_prop=0.39|keepin_zoom=1.350|edge_zoom=0.821|bounds
17,228.3,540.8,centroid,0.30,226.4,360.0,7.2,0.0,438.4,779.3,1,200.6,0,1,conf_zoom=0.73|keepin_prop=0.38|keepin_zoom=1.350|edge_zoom=0.827|bounds
18,228.6,539.6,centroid,0.30,226.7,360.0,7.6,0.0,438.4,779.3,1,200.6,0,1,conf_zoom=0.73|keepin_prop=0.37|keepin_zoom=1.350|edge_zoom=0.833|bounds
19,228.8,538.5,centroid,0.30,227.0,360.0,7.8,0.0,438.4,779.3,1,200.7,0,1,conf_zoom=0.73|keepin_prop=0.36|keepin_zoom=1.350|edge_zoom=0.839|bounds
20,229.0,537.3,centroid,0.30,227.2,360.0,8.0,0.0,438.4,779.3,1,200.7,0,1,conf_zoom=0.73|keepin_prop=0.35|keepin_zoom=1.350|edge_zoom=0.844|bounds
21,229.0,536.2,centroid,0.30,227.3,360.0,8.2,0.0,438.4,779.3,1,200.8,0,1,conf_zoom=0.73|keepin_prop=0.34|keepin_zoom=1.350|edge_zoom=0.850|bounds
22,228.9,535.0,centroid,0.30,227.4,360.0,8.2,0.0,438.4,779.3,1,201.0,0,1,conf_zoom=0.73|keepin_prop=0.33|keepin_zoom=1.350|edge_zoom=0.855|bounds
23,228.8,533.9,centroid,0.30,227.4,360.0,8.2,0.0,438.4,779.3,1,201.1,0,1,conf_zoom=0.73|keepin_prop=0.32|keepin_zoom=1.350|edge_zoom=0.860|bounds
24,228.4,532.7,centroid,0.30,227.3,360.0,8.1,0.0,438.4,779.3,1,201.4,0,1,conf_zoom=0.73|keepin_prop=0.31|keepin_zoom=1.350|edge_zoom=0.866|bounds
25,228.0,531.5,centroid,0.30,227.2,360.0,8.0,0.0,438.4,779.3,1,201.7,0,1,conf_zoom=0.73|keepin_prop=0.30|keepin_zoom=1.350|edge_zoom=0.871|bounds
26,227.5,530.4,centroid,0.30,227.0,360.0,7.8,0.0,438.4,779.3,1,202.0,0,1,conf_zoom=0.73|keepin_prop=0.29|keepin_zoom=1.350|edge_zoom=0.875|bounds
27,226.8,529.3,centroid,0.30,226.7,360.0,7.5,0.0,438.4,779.3,1,202.4,0,1,conf_zoom=0.73|keepin_prop=0.28|keepin_zoom=1.350|edge_zoom=0.880|bounds
28,226.0,528.2,centroid,0.30,226.3,360.0,7.1,0.0,438.4,779.3,1,202.2,0,1,conf_zoom=0.73|keepin_prop=0.27|keepin_zoom=1.350|edge_zoom=0.885|bounds
29,225.1,527.1,centroid,0.30,225.9,360.0,6.7,0.0,438.4,779.3,1,201.7,0,1,conf_zoom=0.73|keepin_prop=0.26|keepin_zoom=1.350|edge_zoom=0.889|bounds
30,224.1,526.0,centroid,0.30,225.4,360.0,6.3,0.0,438.4,779.3,1,201.2,0,1,conf_zoom=0.73|keepin_prop=0.25|keepin_zoom=1.350|edge_zoom=0.893|bounds
31,223.0,525.0,centroid,0.30,224.9,360.0,5.7,0.0,438.4,779.3,1,200.6,0,1,conf_zoom=0.73|keepin_prop=0.25|keepin_zoom=1.350|edge_zoom=0.897|bounds
32,221.7,524.0,centroid,0.30,224.4,360.0,5.2,0.0,438.4,779.3,1,199.8,0,1,conf_zoom=0.73|keepin_prop=0.24|keepin_zoom=1.350|edge_zoom=0.901|bounds
33,220.4,523.0,centroid,0.30,223.8,360.0,4.6,0.0,438.4,779.3,1,199.1,0,1,conf_zoom=0.73|keepin_prop=0.23|keepin_zoom=1.350|edge_zoom=0.904|bounds
34,218.9,522.0,centroid,0.30,223.3,360.0,4.1,0.0,438.4,779.3,1,198.1,0,1,conf_zoom=0.73|keepin_prop=0.22|keepin_zoom=1.350|edge_zoom=0.908|bounds
