frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,565.9,369.2,centroid,0.30,568.4,360.0,373.9,14.3,388.9,691.5,1,200.0,0,0,accel_zoom=0.901|flight_commit=0.44|edge_zoom=0.965|bounds
1,566.6,369.4,centroid,0.30,568.6,360.0,373.2,12.6,390.8,694.7,1,200.5,0,0,flight_commit=0.11|conf_zoom=0.94|conf_speed=0.97|edge_zoom=0.987|bounds
2,567.3,369.7,centroid,0.30,568.9,360.0,372.6,11.0,392.6,698.0,1,200.9,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.993|bounds
3,568.1,369.9,centroid,0.30,569.1,360.0,372.0,9.4,394.4,701.1,1,201.5,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.998|bounds
4,569.0,370.2,centroid,0.30,569.4,360.0,371.5,8.1,395.9,703.8,1,202.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
5,569.9,370.5,centroid,0.30,569.7,360.0,371.1,7.0,397.2,706.1,1,202.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
6,571.0,370.9,centroid,0.30,569.9,360.0,370.9,6.2,398.0,707.6,1,201.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
7,572.2,371.3,centroid,0.30,570.1,360.0,370.8,5.7,398.6,708.6,1,200.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
8,573.4,371.7,centroid,0.30,570.3,360.0,370.9,5.5,398.8,708.9,1,199.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
9,574.8,372.2,centroid,0.30,570.5,360.0,371.2,5.6,398.7,708.8,1,198.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
10,576.3,372.8,centroid,0.30,570.7,360.0,371.5,5.9,398.4,708.3,1,196.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
11,577.9,373.4,centroid,0.30,570.9,360.0,371.9,6.2,398.1,707.7,1,195.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
12,579.7,374.1,centroid,0.30,571.2,360.0,372.3,6.4,397.8,707.2,1,194.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
13,581.6,374.9,centroid,0.30,571.6,360.0,372.8,6.6,397.6,706.9,1,192.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
14,583.6,375.7,centroid,0.30,572.1,360.0,373.3,6.5,397.7,707.0,1,191.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
15,585.8,376.6,centroid,0.30,572.8,360.0,373.8,6.2,398.0,707.6,1,189.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
16,588.1,377.6,centroid,0.30,573.8,360.0,374.4,5.6,398.7,708.8,1,188.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
17,590.7,378.8,centroid,0.30,575.1,360.0,375.2,4.7,399.8,710.7,1,186.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
18,593.4,380.0,centroid,0.30,576.8,360.0,376.2,3.4,401.2,713.2,1,185.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
19,596.3,381.3,centroid,0.30,579.0,360.0,377.6,1.9,402.9,716.3,1,185.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
20,599.4,382.8,centroid,0.30,581.8,360.0,379.3,0.0,404.9,719.9,1,184.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
21,602.7,384.4,centroid,0.30,585.1,360.0,381.5,0.0,407.2,723.9,1,184.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
22,606.2,386.1,centroid,0.30,589.1,360.0,384.3,0.0,409.5,727.9,1,185.4,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.993|bounds
23,610.0,388.0,centroid,0.30,593.7,360.0,387.9,0.0,411.7,731.9,1,186.2,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.984|bounds
24,614.1,390.0,centroid,0.30,599.1,360.0,392.3,0.0,413.7,735.4,1,187.5,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.973|bounds
25,618.4,392.1,centroid,0.30,605.1,360.0,397.5,0.0,415.3,738.2,1,189.2,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.965|bounds
26,623.0,394.5,centroid,0.30,611.8,360.0,403.7,0.0,416.3,740.1,1,191.3,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.962|bounds
27,627.8,397.0,centroid,0.30,619.1,360.0,410.8,0.0,416.7,740.8,1,193.8,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.959|bounds
28,633.0,399.7,centroid,0.30,627.0,360.0,418.8,0.0,416.5,740.4,1,196.5,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.956|bounds
29,638.4,402.5,centroid,0.30,635.4,360.0,427.6,0.0,415.7,739.0,1,199.5,0,0,flight_commit=0.04|conf_zoom=0.92|conf_speed=0.96|edge_zoom=0.954|bounds
30,644.2,405.6,centroid,0.30,644.3,360.0,437.1,0.0,414.4,736.7,1,202.4,0,0,flight_commit=0.11|conf_zoom=0.94|conf_speed=0.97|edge_zoom=0.952|bounds
31,650.2,408.8,centroid,0.30,653.6,360.0,447.1,0.0,412.9,734.0,1,199.1,0,0,flight_commit=0.17|conf_zoom=0.96|conf_speed=0.98|edge_zoom=0.949|bounds
32,656.6,412.2,centroid,0.30,663.2,360.0,457.5,0.0,411.4,731.3,1,195.9,0,0,flight_commit=0.24|conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.946|bounds
33,663.3,415.9,centroid,0.30,673.1,360.0,468.0,0.0,410.1,729.1,1,192.7,0,0,flight_commit=0.31|conf_zoom=0.99|conf_speed=1.00|edge_zoom=0.944|bounds
34,670.3,419.7,centroid,0.30,683.3,360.0,478.6,0.0,409.3,727.7,1,189.5,0,0,flight_commit=0.38|edge_zoom=0.941|bounds
35,677.7,423.7,centroid,0.30,693.6,360.0,489.0,0.0,409.2,727.4,1,186.6,0,0,flight_commit=0.46|edge_zoom=0.939|bounds
36,685.4,427.9,centroid,0.30,704.1,360.0,499.3,0.0,409.8,728.5,1,183.8,0,0,flight_commit=0.53|edge_zoom=0.936|bounds
37,693.4,432.3,centroid,0.30,714.8,360.0,509.2,0.0,411.1,730.9,1,181.1,0,0,shot_pb=0.60|flight_commit=0.61|edge_zoom=0.935|bounds
38,701.8,436.9,centroid,0.30,725.5,360.0,518.9,0.0,413.2,734.6,1,178.8,0,0,shot_pb=0.80|flight_commit=0.96|edge_zoom=0.932|bounds
39,710.4,441.7,centroid,0.30,736.1,360.0,528.2,0.0,415.8,739.2,1,176.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.928|bounds
40,719.4,446.6,centroid,0.30,746.7,360.0,537.3,0.0,418.8,744.6,1,175.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.924|bounds
41,728.7,451.7,centroid,0.30,757.2,360.0,546.2,0.0,422.0,750.2,1,174.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.920|bounds
42,738.3,457.0,centroid,0.30,767.5,360.0,554.9,0.0,425.1,755.7,1,173.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.916|bounds
43,748.1,462.4,centroid,0.30,777.5,360.0,563.5,0.0,428.0,760.9,1,173.1,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.927|bounds
44,758.2,468.0,centroid,0.30,787.2,360.0,571.9,0.0,430.6,765.4,1,173.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.910|bounds
45,768.6,473.7,centroid,0.30,796.5,360.0,580.1,0.0,432.7,769.2,1,174.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.908|bounds
46,779.1,479.5,centroid,0.30,805.3,360.0,588.1,0.0,434.4,772.3,1,176.3,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.918|bounds
47,789.8,485.5,centroid,0.30,813.7,360.0,595.9,0.0,435.7,774.6,1,178.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.902|bounds
48,800.7,491.4,centroid,0.30,821.6,360.0,603.2,0.0,436.7,776.3,1,181.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.899|bounds
49,811.7,497.5,centroid,0.30,828.8,360.0,610.1,0.0,437.3,777.4,1,185.4,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.909|bounds
50,822.8,503.6,centroid,0.30,835.4,360.0,616.5,0.0,437.7,778.2,1,189.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.894|bounds
51,834.0,509.7,centroid,0.30,841.4,360.0,622.3,0.0,438.0,778.7,1,195.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.891|bounds
52,845.1,515.8,centroid,0.30,846.6,360.0,627.5,0.0,438.2,779.0,1,201.0,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.901|bounds
53,856.2,521.9,centroid,0.30,851.2,360.0,632.1,0.0,438.3,779.2,1,197.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.885|bounds
54,867.2,527.9,centroid,0.30,855.2,360.0,636.1,0.0,438.4,779.3,1,190.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.882|bounds
55,878.1,533.9,centroid,0.30,858.7,360.0,639.5,0.0,438.4,779.3,1,183.1,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.892|bounds
56,888.8,539.7,centroid,0.30,861.6,360.0,642.5,0.0,438.4,779.3,1,175.3,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.890|bounds
57,899.2,545.4,centroid,0.30,864.2,360.0,645.1,0.0,438.4,779.3,1,167.5,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.886|bounds
58,909.3,551.0,centroid,0.30,866.6,360.0,647.4,0.0,438.4,779.3,1,159.8,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.882|bounds
59,919.1,556.3,centroid,0.30,868.8,360.0,649.7,0.0,438.4,779.3,1,152.2,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.878|bounds
60,928.4,561.4,centroid,0.30,871.0,360.0,651.9,0.0,438.4,779.3,1,145.1,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|edge_zoom=0.873|bounds
61,937.2,566.2,centroid,0.30,873.3,360.0,654.1,0.0,438.4,779.3,1,138.6,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.03|keepin_zoom=1.350|edge_zoom=0.869|bounds
62,945.5,570.7,centroid,0.30,875.6,360.0,656.5,0.0,438.4,779.3,1,132.6,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.04|keepin_zoom=1.350|edge_zoom=0.864|bounds
63,953.1,575.0,centroid,0.30,878.1,360.0,658.9,0.0,438.4,779.3,1,127.5,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.04|keepin_zoom=1.350|edge_zoom=0.859|bounds
64,960.1,578.8,centroid,0.30,880.7,360.0,661.5,0.0,438.4,779.3,1,123.1,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.05|keepin_zoom=1.350|edge_zoom=0.855|bounds
65,966.4,582.3,centroid,0.30,883.4,360.0,664.2,0.0,438.4,779.3,1,119.5,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.06|keepin_zoom=1.350|edge_zoom=0.850|bounds
66,971.9,585.4,centroid,0.30,886.1,360.0,666.9,0.0,438.4,779.3,1,116.7,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.846|bounds
67,976.6,588.1,centroid,0.30,888.8,360.0,669.6,0.0,438.4,779.3,1,114.7,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.843|bounds
68,980.5,590.4,centroid,0.30,891.3,360.0,672.1,0.0,438.4,779.3,1,113.3,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.840|bounds
69,983.5,592.3,centroid,0.30,893.7,360.0,674.5,0.0,438.4,779.3,1,112.7,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.837|bounds
70,985.7,593.6,centroid,0.30,895.7,360.0,676.6,0.0,438.4,779.3,1,112.5,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.835|bounds
71,986.9,594.6,centroid,0.30,897.5,360.0,678.3,0.0,438.4,779.3,1,113.1,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.835|bounds
72,987.3,595.1,centroid,0.30,898.8,360.0,679.6,0.0,438.4,779.3,1,114.0,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.837|bounds
73,986.7,595.1,centroid,0.30,899.6,360.0,680.4,0.0,438.4,779.3,1,115.4,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.11|keepin_zoom=1.350|edge_zoom=0.824|bounds
74,985.3,594.6,centroid,0.30,900.0,360.0,680.8,0.0,438.4,779.3,1,117.2,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.13|keepin_zoom=1.350|edge_zoom=0.819|bounds
75,982.9,593.7,centroid,0.30,899.8,360.0,680.6,0.0,438.4,779.3,1,119.4,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.13|keepin_zoom=1.350|edge_zoom=0.819|bounds
76,979.7,592.4,centroid,0.30,899.0,360.0,679.8,0.0,438.4,779.3,1,121.8,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.13|keepin_zoom=1.350|edge_zoom=0.821|bounds
77,975.5,590.6,centroid,0.30,897.6,360.0,678.4,0.0,438.4,779.3,1,124.6,0,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.12|keepin_zoom=1.350|edge_zoom=0.824|bounds
