clip_id,label,master_start,master_end,notes
001,Nutmeg Cross & Shot,78.73,90.7,
002,Pressure Cross & Goal,145.2,163.93,
003,Defense & Skill,188.4,201.63,
004,Long Ball,547,553,
005,Build & Shot,577,593,
006,Defense & Shot,677,693,
007,Defense & Build,727,748,
008,Defense & Build,782,811,
009,Pressure & Shot,905,914,
010,Pressure & Shot,1145,1169,
011,Pressure & Shots,1254,1280,
012,Corner & Goal,1373,1381,
013,Shot,1621,1631,
014,Pressure & Goal,1649,1671,
015,Build & Shot,1854,1875,
016,Pressure & Cross,1880,1911,
017,Pressure & Shot,1923,1930,
018,Pressure & Shot,1959,1970,
019,Defense Counter & Goal,2039,2059,
020,Save,2287,2295,
021,Build Pressure & Shot,2319,2359,
022,Defense Build & Shot,2372,2393,
023,Defense Build & Shot,2485,2506,
024,Pressure Build & Cross,2649,2665,
025,Pressure Skill & Shot,2729,2746,
026,Pressure & Shot,2752,2760,
027,Defense Build & Goal,2802,2818,
