ClipID,MatchKey,AtomicPath,PortraitPaths,DurationSeconds,Width,Height
001,,,C:\Users\scott\soccer-video\out\portrait_reels\clean\001__SHOT__t155.50-t166.40__WIDE_portrait_FINAL.mp4,12.541667,1920,1080
001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166,2025-09-13__TSC_vs_NEOFC,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.mp4,,,,
001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC,2025-09-13__TSC_vs_NEOFC,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.mp4,,,,
001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC,2025-09-13__TSC_vs_NEOFC,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.mp4,,,,
001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC,2025-09-13__TSC_vs_NEOFC,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,2025-09-13__TSC_vs_NEOFC,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,2025-09-13__TSC_vs_NEOFC,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,2025-09-13__TSC_vs_NEOFC,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00.mp4,,,,
001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00.__CINEMATIC,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00.__CINEMATIC.mp4,,,,
001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00.__CINEMATIC.__CINEMATIC,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00.__CINEMATIC.__CINEMATIC.mp4,,,,
001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00.__CINEMATIC.__CINEMATIC.__CINEMATIC,_quarantine,C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
