dup_group_id,canonical_clip_rel,duplicate_clip_rel,reason,overlap_ratio
D0001,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-10-12__TSC_SLSG_FallFestival/001__SHOT__t135.00-t145.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-10-12__TSC_vs_SLSG/001__2025-10-12__TSC_vs_SLSG__SHOT__t135.00-t145.00.mp4,soft,1.000
D0002,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-10-12__TSC_SLSG_FallFestival/002__SHOT__t185.00-t206.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-10-12__TSC_vs_SLSG/002__2025-10-12__TSC_vs_SLSG__SHOT__t185.00-t206.00.mp4,soft,1.000
D0003,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-10-12__TSC_SLSG_FallFestival/003__DEFENSE__t310.00-t342.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-10-12__TSC_vs_SLSG/003__2025-10-12__TSC_vs_SLSG__HIGHLIGHT__t310.00-t342.00.mp4,soft,1.000
D0004,//?/C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-10-12__TSC_SLSG_FallFestival/004__PRESSURE__t640.00-t663.00.__OVERLAY_plan_sh-1_dx-64_dy-128__localTW_dt-0.02_dx-6_dy-2.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-10-12__TSC_vs_SLSG/004__2025-10-12__TSC_vs_SLSG__PRESSURE__t640.00-t663.00.mp4,soft,1.000
D0005,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-04__TSC_-_Navy_Oct_2025/001__Pressure & Build Up with a Great Cross__0_06_37-0_07_10.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-05__TSC_vs_TSC_Navy/001__2025-11-05__TSC_vs_TSC_Navy__BUILD_UP__t397.00-t430.00.mp4,soft,1.000
D0006,"C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-04__TSC_-_Navy_Oct_2025/002__Build Up, Cross and Shot__0_15_37-0_16_04.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4",C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-05__TSC_vs_TSC_Navy/002__2025-11-05__TSC_vs_TSC_Navy__SHOT__t937.00-t964.00.mp4,soft,1.000
D0007,"C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-04__TSC_-_Navy_Oct_2025/003__Pressure, Cross and Goal__0_16_09-0_16_33.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4",C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-05__TSC_vs_TSC_Navy/003__2025-11-05__TSC_vs_TSC_Navy__GOAL__t969.00-t993.00.mp4,soft,1.000
D0008,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-04__TSC_-_Navy_Oct_2025/004__Pressure & Shot__0_23_24-0_23_53.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-05__TSC_vs_TSC_Navy/004__2025-11-05__TSC_vs_TSC_Navy__SHOT__t1404.00-t1433.00.mp4,soft,1.000
D0009,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-04__TSC_-_Navy_Oct_2025/005__Build Up & Cross__0_28_28-0_28_42.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-05__TSC_vs_TSC_Navy/005__2025-11-05__TSC_vs_TSC_Navy__BUILD_UP__t1708.00-t1722.00.mp4,soft,1.000
D0010,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-04__TSC_-_Navy_Oct_2025/006__Cross__0_30_29-0_30_37.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-05__TSC_vs_TSC_Navy/006__2025-11-05__TSC_vs_TSC_Navy__CROSS__t1829.00-t1837.00.mp4,soft,1.000
D0011,"C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-04__TSC_-_Navy_Oct_2025/007__Cross, Pressure & Shot__0_42_24-0_42_45.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4",C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-05__TSC_vs_TSC_Navy/007__2025-11-05__TSC_vs_TSC_Navy__SHOT__t2544.00-t2565.00.mp4,soft,1.000
D0012,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-04__TSC_-_Navy_Oct_2025/008__Cross__0_47_09-0_47_18.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-05__TSC_vs_TSC_Navy/008__2025-11-05__TSC_vs_TSC_Navy__CROSS__t2829.00-t2838.00.mp4,soft,1.000
D0013,"C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-04__TSC_-_Navy_Oct_2025/009__Cross, Shots__0_50_40-0_50_57.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4",C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-05__TSC_vs_TSC_Navy/009__2025-11-05__TSC_vs_TSC_Navy__SHOT__t3040.00-t3057.00.mp4,soft,1.000
D0014,"C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-04__TSC_-_Navy_Oct_2025/010__Build Up, Cross, Shot & Goal__0_55_26-0_56_02.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4",C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-05__TSC_vs_TSC_Navy/010__2025-11-05__TSC_vs_TSC_Navy__GOAL__t3326.00-t3362.00.mp4,soft,1.000
D0015,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-04__TSC_-_Navy_Oct_2025/011__Build Up__1_00_43-1_01_22.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-05__TSC_vs_TSC_Navy/011__2025-11-05__TSC_vs_TSC_Navy__BUILD_UP__t3643.00-t3682.00.mp4,soft,1.000
D0016,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-04__TSC_-_Navy_Oct_2025/012__Cross & Goal__1_01_36-1_01_52.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-05__TSC_vs_TSC_Navy/012__2025-11-05__TSC_vs_TSC_Navy__GOAL__t3696.00-t3712.00.mp4,soft,1.000
D0017,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-04__TSC_-_Navy_Oct_2025/013__Dribbling & Shot__1_02_55-1_03_10.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,C:/Users/scott/OneDrive/SoccerVideoMedia/out/atomic_clips/2025-11-05__TSC_vs_TSC_Navy/013__2025-11-05__TSC_vs_TSC_Navy__SHOT__t3775.00-t3790.00.mp4,soft,1.000
