master_path,master_rel,duration_s,width,height,fps,n_clips_linked
C:/Users/scott/soccer-video/out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4,out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4,340.657,1280,720,30/1,0
C:/Users/scott/soccer-video/out/games/2025-05-17__TSC_vs_Arkansas/MASTER.mp4,out/games/2025-05-17__TSC_vs_Arkansas/MASTER.mp4,627.667,1920,1080,30/1,0
C:/Users/scott/soccer-video/out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4,out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4,73.712,1920,1080,24/1,23
C:/Users/scott/soccer-video/out/games/2025-09-13__TSC_vs_NEOFC/raw/smart10_clean_zoom.mp4,out/games/2025-09-13__TSC_vs_NEOFC/raw/smart10_clean_zoom.mp4,73.712,1920,1080,24/1,0
C:/Users/scott/soccer-video/out/games/2025-09-13__TSC_vs_NEOFC/reels_portrait_1080x1920/022__SHOT__t3028.10-t3059.70.__DEBUG_portrait_FINAL_followed.mp4,out/games/2025-09-13__TSC_vs_NEOFC/reels_portrait_1080x1920/022__SHOT__t3028.10-t3059.70.__DEBUG_portrait_FINAL_followed.mp4,25.433,1080,1920,30/1,0
C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4,out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4,2996.097,1920,1080,24/1,41
C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/raw/20250920_174654000_iOS.MP4,out/games/2025-09-20__TSC_vs_Greenwood/raw/20250920_174654000_iOS.MP4,1492.790,1920,1080,24/1,0
C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/raw/20250920_181631000_iOS.MP4,out/games/2025-09-20__TSC_vs_Greenwood/raw/20250920_181631000_iOS.MP4,1503.292,1920,1080,24/1,0
C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_RVFC/MASTER.mp4,out/games/2025-09-20__TSC_vs_RVFC/MASTER.mp4,3137.478,1920,1080,24/1,44
C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_RVFC/raw/20250920_190017000_iOS.MP4,out/games/2025-09-20__TSC_vs_RVFC/raw/20250920_190017000_iOS.MP4,1611.560,1920,1080,24/1,0
C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_RVFC/raw/20250920_193148000_iOS.MP4,out/games/2025-09-20__TSC_vs_RVFC/raw/20250920_193148000_iOS.MP4,1525.910,1920,1080,24/1,0
C:/Users/scott/soccer-video/out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/MASTER.mp4,out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/MASTER.mp4,1950.033,1920,1080,30/1,13
C:/Users/scott/soccer-video/out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00_portrait_FINAL.mp4,out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00_portrait_FINAL.mp4,27.000,1080,1920,30/1,0
C:/Users/scott/soccer-video/out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_FINAL.mp4,out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_FINAL.mp4,30.000,1080,1920,30/1,0
C:/Users/scott/soccer-video/out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_FINAL.mp4,out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_FINAL.mp4,31.000,1080,1920,30/1,0
C:/Users/scott/soccer-video/out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00_portrait_FINAL.mp4,out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00_portrait_FINAL.mp4,18.000,1080,1920,30/1,0
C:/Users/scott/soccer-video/out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t600.00-t607.00_portrait_FINAL.mp4,out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t600.00-t607.00_portrait_FINAL.mp4,9.000,1080,1920,30/1,0
C:/Users/scott/soccer-video/out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/006__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_GOAL__t674.00-t717.00_portrait_FINAL.mp4,out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/006__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_GOAL__t674.00-t717.00_portrait_FINAL.mp4,45.000,1080,1920,30/1,0
C:/Users/scott/soccer-video/out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/007__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t767.00-t785.00_portrait_FINAL.mp4,out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/007__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t767.00-t785.00_portrait_FINAL.mp4,18.000,1080,1920,30/1,0
C:/Users/scott/soccer-video/out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL.mp4,out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL.mp4,17.000,1080,1920,30/1,0
C:/Users/scott/soccer-video/out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL.mp4,out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL.mp4,13.000,1080,1920,30/1,0
C:/Users/scott/soccer-video/out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_FINAL.mp4,out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_FINAL.mp4,24.000,1080,1920,30/1,0
C:/Users/scott/soccer-video/out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_FINAL.mp4,out/games/2025-10-04__TSC_vs_FC_Tulsa_Black/reels_portrait_1080x1920/011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_FINAL.mp4,26.000,1080,1920,30/1,0
