start,end,type,source,score,team,reason,event_id
60.89,80.89,SAVE_OUR_GK,highlights_filtered,89.283,us,filtered save action=1.544 speed=122.4,save_our_gk_0146
68.51,86.51,DEF_ACTION,highlights_filtered,69.008,unknown,filtered def action=1.517 speed=63.7,def_action_0165
74.51,92.51,DEF_ACTION,highlights_filtered,71.424,unknown,filtered def action=1.530 speed=134.0,def_action_0155
151.15,171.15,SHOT,highlights_shots,97.567,opp,shots_csv action=1.558 ball_speed=102.0 team_presence=0.023,shot_0087
153.65,171.65,DEF_ACTION,highlights_filtered,70.736,unknown,filtered def action=1.554 speed=102.0,def_action_0139
182.91,202.91,SHOT,highlights_shots,96.853,us,shots_csv action=1.548 ball_speed=89.3 team_presence=0.039,shot_0094
213.41,231.41,DEF_ACTION,highlights_filtered,71.302,unknown,filtered def action=1.512 speed=122.2,def_action_0168
220.16,238.16,DEF_ACTION,highlights_filtered,71.49,unknown,filtered def action=1.525 speed=103.7,def_action_0161
238.42,258.42,SHOT,highlights_shots,97.088,opp,shots_csv action=1.575 ball_speed=89.7 team_presence=0.023,shot_0051
240.92,258.92,DEF_ACTION,highlights_filtered,70.113,unknown,filtered def action=1.571 speed=89.7,def_action_0125
262.8,282.8,SHOT,highlights_shots,96.511,us,shots_csv action=1.570 ball_speed=79.0 team_presence=0.026,shot_0062
265.3,283.3,DEF_ACTION,highlights_filtered,69.541,unknown,filtered def action=1.566 speed=79.0,def_action_0131
271.3,289.3,DEF_ACTION,highlights_filtered,69.718,unknown,filtered def action=1.534 speed=69.2,def_action_0153
296.93,316.93,SHOT,highlights_shots,96.456,us,shots_csv action=1.577 ball_speed=76.9 team_presence=0.034,shot_0047
304.05,324.05,SHOT,highlights_shots,96.819,us,shots_csv action=1.560 ball_speed=86.8 team_presence=0.031,shot_0083
319.56,339.56,SHOT,highlights_shots,97.629,us,shots_csv action=1.578 ball_speed=100.1 team_presence=0.041,shot_0045
325.06,346.06,OFF_BUILDUP,highlights_build,67.837,us,build_csv action=1.606 ball_speed=106.6,off_buildup_0178
326.06,346.06,SHOT,highlights_shots,98.146,us,shots_csv action=1.602 ball_speed=106.6 team_presence=0.089,shot_0019
337.94,357.94,SHOT,highlights_shots,97.44,us,shots_csv action=1.277 ball_speed=144.5 team_presence=0.165,shot_0112
344.06,365.06,OFF_BUILDUP,highlights_build,67.351,us,build_csv action=1.627 ball_speed=86.4,off_buildup_0177
345.06,365.06,SHOT,highlights_shots,97.297,us,shots_csv action=1.622 ball_speed=86.4 team_presence=0.085,shot_0017
357.81,377.81,SHOT,highlights_shots,98.846,opp,shots_csv action=1.566 ball_speed=126.4 team_presence=0.017,shot_0072
358.81,378.81,SAVE_OUR_GK,highlights_filtered,90.424,us,filtered save action=1.563 speed=126.4,save_our_gk_0133
379.57,397.57,DEF_ACTION,highlights_filtered,70.666,unknown,filtered def action=1.534 speed=102.0,def_action_0154
404.95,422.95,DEF_ACTION,highlights_filtered,71.082,unknown,filtered def action=1.525 speed=107.6,def_action_0162
410.95,428.95,DEF_ACTION,highlights_filtered,70.504,unknown,filtered def action=1.511 speed=93.0,def_action_0169
460.58,478.58,DEF_ACTION,highlights_filtered,69.825,unknown,filtered def action=1.541 speed=112.8,def_action_0149
481.71,499.71,DEF_ACTION,highlights_filtered,68.877,unknown,filtered def action=1.516 speed=79.7,def_action_0166
496.59,516.59,SAVE_OUR_GK,highlights_filtered,89.376,us,filtered save action=1.528 speed=118.0,save_our_gk_0158
534.47,552.47,DEF_ACTION,highlights_filtered,69.658,unknown,filtered def action=1.536 speed=73.1,def_action_0151
543.35,563.35,SHOT,highlights_shots,94.237,us,shots_csv action=1.470 ball_speed=49.6 team_presence=0.037,shot_0103
561.1,581.1,SHOT,highlights_shots,99.255,us,shots_csv action=1.566 ball_speed=134.6 team_presence=0.043,shot_0071
570.73,590.73,SHOT,highlights_shots,96.184,us,shots_csv action=1.572 ball_speed=72.2 team_presence=0.042,shot_0059
576.1,597.1,OFF_BUILDUP,highlights_build,66.688,unknown,build_csv action=1.582 ball_speed=73.3,off_buildup_0201
577.1,597.1,SHOT,highlights_shots,96.299,us,shots_csv action=1.579 ball_speed=73.3 team_presence=0.042,shot_0042
599.48,619.48,SHOT,highlights_shots,96.893,us,shots_csv action=1.574 ball_speed=86.1 team_presence=0.037,shot_0055
613.86,633.86,SHOT,highlights_shots,96.789,us,shots_csv action=1.575 ball_speed=83.8 team_presence=0.028,shot_0053
616.36,634.36,DEF_ACTION,highlights_filtered,70.34,unknown,filtered def action=1.570 speed=83.8,def_action_0128
701.12,721.12,SHOT,highlights_shots,98.776,us,shots_csv action=1.564 ball_speed=125.3 team_presence=0.053,shot_0073
707.12,727.12,SHOT,highlights_shots,91.765,us,shots_csv action=0.892 ball_speed=92.5 team_presence=0.069,shot_0121
770.64,791.64,OFF_BUILDUP,highlights_build,67.406,unknown,build_csv action=1.601 ball_speed=93.3,off_buildup_0181
771.64,791.64,SHOT,highlights_shots,97.456,us,shots_csv action=1.599 ball_speed=93.3 team_presence=0.045,shot_0021
777.89,797.89,SHOT,highlights_shots,98.528,us,shots_csv action=1.569 ball_speed=119.6 team_presence=0.055,shot_0063
825.02,845.02,SHOT,highlights_shots,96.804,us,shots_csv action=1.566 ball_speed=85.5 team_presence=0.028,shot_0070
827.52,845.52,DEF_ACTION,highlights_filtered,70.771,unknown,filtered def action=1.561 speed=85.5,def_action_0134
831.27,851.27,SHOT,highlights_shots,97.697,opp,shots_csv action=1.563 ball_speed=103.8 team_presence=0.017,shot_0077
833.77,851.77,DEF_ACTION,highlights_filtered,70.493,unknown,filtered def action=1.560 speed=103.8,def_action_0135
837.27,857.27,SHOT,highlights_shots,98.194,opp,shots_csv action=1.568 ball_speed=113.1 team_presence=0.022,shot_0067
839.77,857.77,DEF_ACTION,highlights_filtered,70.535,unknown,filtered def action=1.564 speed=113.1,def_action_0132
862.15,882.15,SHOT,highlights_shots,91.448,us,shots_csv action=1.243 ball_speed=30.1 team_presence=0.028,shot_0113
870.53,890.53,SHOT,highlights_shots,95.232,us,shots_csv action=1.575 ball_speed=52.6 team_presence=0.033,shot_0050
877.03,897.03,SHOT,highlights_shots,95.673,us,shots_csv action=1.434 ball_speed=84.0 team_presence=0.036,shot_0105
889.16,909.16,SHOT,highlights_shots,89.247,us,shots_csv action=0.872 ball_speed=45.4 team_presence=0.039,shot_0122
938.92,958.92,SHOT,highlights_shots,97.328,us,shots_csv action=1.574 ball_speed=94.7 team_presence=0.037,shot_0054
955.17,976.17,OFF_BUILDUP,highlights_build,67.054,unknown,build_csv action=1.585 ball_speed=84.9,off_buildup_0197
956.17,976.17,SHOT,highlights_shots,96.904,us,shots_csv action=1.583 ball_speed=84.9 team_presence=0.042,shot_0036
964.04,984.04,SHOT,highlights_shots,94.624,us,shots_csv action=1.419 ball_speed=65.4 team_presence=0.050,shot_0108
992.55,1012.55,SHOT,highlights_shots,97.106,opp,shots_csv action=1.557 ball_speed=93.1 team_presence=0.025,shot_0088
995.05,1013.05,DEF_ACTION,highlights_filtered,69.067,unknown,filtered def action=1.552 speed=93.1,def_action_0142
1004.85,1016.85,GOAL,goal_resets,110.0,us,goal_resets score=0.978; goal_resets score=1.000; goal_resets score=1.000,goal_0001
1006.93,1026.93,SHOT,highlights_shots,94.519,us,shots_csv action=1.498 ball_speed=50.7 team_presence=0.033,shot_0100
1033.56,1053.56,SHOT,highlights_shots,96.51,us,shots_csv action=1.572 ball_speed=78.6 team_presence=0.047,shot_0058
1053.93,1071.93,DEF_ACTION,highlights_filtered,68.666,unknown,filtered def action=1.529 speed=103.1,def_action_0157
1059.94,1077.94,DEF_ACTION,highlights_filtered,66.562,unknown,filtered def action=1.362 speed=91.9,def_action_0174
1178.21,1198.21,SHOT,highlights_shots,96.794,us,shots_csv action=1.563 ball_speed=85.8 team_presence=0.044,shot_0078
1194.21,1214.21,SHOT,highlights_shots,96.225,opp,shots_csv action=1.555 ball_speed=75.7 team_presence=0.023,shot_0091
1196.71,1214.71,DEF_ACTION,highlights_filtered,69.308,unknown,filtered def action=1.551 speed=75.7,def_action_0143
1201.09,1221.09,SHOT,highlights_shots,94.725,opp,shots_csv action=1.425 ball_speed=66.5 team_presence=0.014,shot_0107
1203.59,1221.59,DEF_ACTION,highlights_filtered,67.103,unknown,filtered def action=1.423 speed=66.5,def_action_0173
1254.85,1274.85,SHOT,highlights_shots,95.862,us,shots_csv action=1.545 ball_speed=70.0 team_presence=0.030,shot_0097
1257.35,1275.35,DEF_ACTION,highlights_filtered,68.404,unknown,filtered def action=1.540 speed=70.0,def_action_0150
1281.35,1301.35,SHOT,highlights_shots,99.519,us,shots_csv action=1.576 ball_speed=138.2 team_presence=0.028,shot_0048
1283.85,1301.85,DEF_ACTION,highlights_filtered,70.853,unknown,filtered def action=1.571 speed=138.2,def_action_0126
1294.35,1315.35,OFF_BUILDUP,highlights_build,68.997,unknown,build_csv action=1.606 ball_speed=145.3,off_buildup_0179
1295.35,1315.35,SHOT,highlights_shots,100.087,us,shots_csv action=1.603 ball_speed=145.3 team_presence=0.071,shot_0018
1308.6,1329.6,OFF_BUILDUP,highlights_build,67.329,us,build_csv action=1.639 ball_speed=83.1,off_buildup_0175
1309.6,1329.6,SHOT,highlights_shots,97.225,us,shots_csv action=1.634 ball_speed=83.1 team_presence=0.111,shot_0015
1314.61,1335.61,OFF_BUILDUP,highlights_build,67.043,us,build_csv action=1.632 ball_speed=75.1,off_buildup_0176
1315.61,1335.61,SHOT,highlights_shots,96.762,us,shots_csv action=1.626 ball_speed=75.1 team_presence=0.115,shot_0016
1324.11,1344.11,SHOT,highlights_shots,95.488,us,shots_csv action=1.564 ball_speed=59.6 team_presence=0.037,shot_0074
1353.24,1373.24,SHOT,highlights_shots,95.709,us,shots_csv action=1.547 ball_speed=66.6 team_presence=0.037,shot_0095
1366.24,1386.24,SHOT,highlights_shots,97.813,us,shots_csv action=1.576 ball_speed=104.2 team_presence=0.053,shot_0049
1372.24,1392.24,SHOT,highlights_shots,97.619,us,shots_csv action=1.562 ball_speed=102.5 team_presence=0.045,shot_0081
1389.62,1410.62,OFF_BUILDUP,highlights_build,68.732,us,build_csv action=1.599 ball_speed=137.9,off_buildup_0182
1390.62,1410.62,SHOT,highlights_shots,99.651,us,shots_csv action=1.595 ball_speed=137.9 team_presence=0.092,shot_0023
1396.99,1416.99,SHOT,highlights_shots,99.065,us,shots_csv action=1.552 ball_speed=133.0 team_presence=0.110,shot_0092
1425.5,1445.5,SAVE_OUR_GK,highlights_filtered,90.895,us,filtered save action=1.545 speed=150.5,save_our_gk_0145
