clip_id,label,master_start,master_end,notes
001,SHOT,2:02:00,2:11:00,
002,PRESSURE & SHOT,2:12:00,2:28:00,
003,PRESSURE & SHOT,4:18:00,4:31:00,
004,PRESSURE & GOAL,4:58:00,5:12:00,
005,BUILD UP PLAY & SHOT,5:50:00,6:07:00,
006,SHOT,8:37:00,8:48:00,
007,PRESSURE & GOAL,8:49:00,9:07:00,
008,BUILD UP PLAY & SHOT,9:25:00,10:00:00,
009,PRESSURE & SHOT,10:04:00,10:20:00,
010,PRESSURE & SHOT,11:15:00,11:29:00,
011,PRESSURE & SHOT,11:29:00,11:42:00,
012,BUILD UP PLAY & SHOT,12:26:00,12:37:00,
013,BUILD UP PLAY & SHOT,13:41:00,14:25:00,
014,DEFENSE & BUILD UP,14:40:00,14:57:00,
015,SHOT,15:30:00,15:37:00,
016,BUILD UP PLAY & SHOT,16:39:00,17:02:00,
017,BUILD UP PLAY & SHOT,18:08:00,18:44:00,
018,DRIBBLING & SHOT,19:07:00,19:13:00,
019,BUILD UP PLAY & SHOT,19:18:00,19:42:00,
020,SHOT,20:36:00,20:43:00,
021,CROSS,21:15:00,21:33:00,
022,PRESSURE & SHOT,21:40:00,21:50:00,
023,PRESSURE & SHOT,21:56:00,22:09:00,
024,FREE KICK,23:22:00,23:41:00,
025,PRESSURE & GOAL,25:12:00,25:20:00,
026,DRIBBLING & SHOT,30:00:00,30:10:00,
027,SHOT,30:27:00,30:34:00,
028,CORNER,30:52:00,31:15:00,
029,PRESSURE & SHOT,31:23:00,31:33:00,
030,PRESSURE & SHOT,31:38:00,31:51:00,
031,PRESSURE & SHOT,32:44:00,32:55:00,
032,BUILD UP PLAY & SHOT,33:54:00,34:17:00,
033,BUILD UP PLAY & SHOT,35:31:00,35:50:00,
034,PRESSURE & GOAL,35:58:00,36:09:00,
035,BUILD UP PLAY & SHOT,38:17:00,38:32:00,
036,PRESSURE & GOAL,39:08:00,39:27:00,
037,PRESSURE & SHOT,39:48:00,39:57:00,
038,PRESSURE & GOAL,40:11:00,40:31:00,
039,PRESSURE & GOAL,41:25:00,41:46:00,
040,BUILD UP PLAY & SHOT,42:51:00,43:19:00,
041,CORNER,45:12:00,45:22:00,
042,CORNER,46:05:00,46:23:00,
043,GOAL,50:10:00,50:28:00,
044,GOAL,50:51:00,51:06:00,
