clip_num,description,start,end
1,Pressure & Build Up with a Great Cross,0:06:37,0:07:10
2,Build Up Cross and Shot,0:15:37,0:16:04
3,Pressure Cross and Goal,0:16:09,0:16:33
4,Pressure & Shot,0:23:24,0:23:53
5,Build Up & Cross,0:28:28,0:28:42
6,Cross,0:30:29,0:30:37
7,Cross Pressure & Shot,0:42:24,0:42:45
8,Cross,0:47:09,0:47:18
9,Cross Shots,0:50:40,0:50:57
10,Build Up Cross Shot & Goal,0:55:26,0:56:02
11,Build Up,1:00:43,1:01:22
12,Cross & Goal,1:01:36,1:01:52
13,Dribbling & Shot,1:02:55,1:03:10
