clip_id,label,master_start,master_end,notes
001,Save,1,16,
002,Build & Shots,17,32,
003,Build & Cross,106,122,
004,Pressure & Shot,136,153,
005,Build & Goal,416,430,
006,Build & Shot,456,477,
007,Cross,649,656,
008,Dribbling,796,808,
009,Corner,850,856,
010,Defense & Cross,863,875,
011,Pressure & Cross,883,896,
012,Free Kick,950,957,
013,Pressure & Cross,967,982,
014,"Build, Cross & Shot",1031,1050,
015,Build & Goal,1091,1120,
016,Defense & Build,1269,1286,
017,"Defense, Build & Cross",1437,1453,
018,Build,1535,1561,
019,Build & Shot,1585,1602,
020,Pressure & Shot,1627,1634,
021,Pressure & Shot,1639,1653,
022,Build & Shot,1712,1727,
023,"Through Ball, Skill & Shot",2178,2191,
024,Pressure & Shot,2247,2257,
025,"Build, Cross & Shot",2280,2295,
026,Pressure & Shot,2317,2325,
027,"Pressure, Dribbling & Goal",2366,2377,
028,Shot,2434,2440,
029,"Defense, Counter & Shot",2478,2492,
030,Shot,2793,2801,
031,Shot,2844,2848,
032,"Defense, Build & Shot",2864,2877,
033,"Defense, Dribbling & Shot",2941,2955,
034,Cross & Shot,2976,2983,
