clip_id,label,master_start,master_end,notes
1,Corner,69,79,
2,Build & Shot,155,168,
3,Corner,188,203,
4,Free Kick,283,288,
5,Pressure & Shot,364,379,
6,"Build, Cross & Goal",544,564,
7,"Pressure, Build & Shot",622,634,
8,Free Kick,943,948,
9,Cross & Goal,1169,1186,
10,Pressure & Goal,1408,1424,
11,Free Kick,1473,1478,
12,Free Kick,1638,1645,
13,Goal,2193,2205,
14,Pressure & Shot,2297,2309,
15,Pressure & Shot,2409,2420,
16,Pressure & Shot,2434,2460,
17,Free Kick,2483,2493,
18,Build & Dribble,2580,2634,
19,Corner,2688,2699,
