clip_id,label,master_start,master_end,notes
1,"Defense, Build & Shot",16,28,
2,Pressure & Shot,28,37,
3,Combination & Shot,47,57,
4,Build & Goal,133,155,
5,Shot,238,248,
6,Build & Shot,271,294,
7,Cross & Shot,390,401,
8,Pressure & Shot,402,412,
9,Pressure & Goal,412,425,
10,Build & Shot,592,604,
11,Build & Cross,860,871,
12,Pressure & Shot,940,950,
13,Corner & Goal,962,978,
14,Build & Shot,1040,1059,
15,Pressure & Shot,1106,1124,
16,Corner,1206,1217,
17,Pressure & Shot,1235,1256,
18,Pressure & Shot,1287,1296,
19,Build & Skill,1396,1414,
20,Pressure & Goal,1644,1667,
21,Pressure & Shot,1707,1722,
22,Pressure & Shot,1724,1739,
23,Free Kick,1808,1814,
24,Corner,1912,1930,
25,Corner & Goal,1952,1966,
26,Free Kick & Goal,2309,2328,
27,Goal,2482,2493,
28,Pressure & Shot,2729,2740,
29,"Defense, Build & Shot",2827,2845,
30,Dribbling & Shot,2986,2993,
