"clip_id","label","master_start","master_end","notes"
"1","Build, Dribbling & Cross","73","91",""
"2","Cross & Shot","93","122",""
"3","Build, Dribbling & Cross","196","218",""
"4","Throughball, Cross, Cross & Shot","325","348",""
"5","Build, Pressure & Shot","402","423",""
"6","Pressure, Dribble & Goal","502","518",""
"7","Pressure, Build & Goal","561","580",""
"8","Pressure & Shot","603","614",""
"9","Pressure, Dribbling & Shot","723","731",""
"10","Pressure, Cross & Goal","826","841",""
"11","Pressure, Cross & Goal","959","975",""
"12","Shot","1229","1238",""
"13","Pressure, Dribbling & Goal","1299","1314",""
"14","Pressure & Cross","1319","1337",""
"15","Pressure, Dribble, Cross & Goal","1876","1889",""
"16","Defense, Build, Cross & Goal","2126","2151",""
"17","Build & Shot","2227","2242",""
"18","Pressure & Goal","2262","2272",""
"19","Defense, Dribble & Shots","2575","2588",""
