start,end,score,event
248.42,251.42,1.000,passes
272.80,275.80,1.000,passes
387.07,390.07,1.000,passes
412.45,415.45,1.000,passes
781.64,784.64,1.000,passes
787.89,790.89,1.000,passes
841.27,844.27,1.000,passes
847.27,850.27,1.000,passes
1211.09,1214.09,1.000,passes
1264.85,1267.85,1.000,passes
1325.61,1328.61,1.000,passes
1671.54,1674.54,1.000,passes
1772.43,1775.43,1.000,passes
1801.94,1804.94,1.000,passes
1852.20,1855.20,1.000,passes
1910.33,1913.33,1.000,passes
1929.34,1932.34,1.000,passes
1935.46,1938.46,1.000,passes
2019.35,2022.35,1.000,passes
2210.01,2213.01,1.000,passes
2301.90,2304.90,1.000,passes
2713.10,2716.10,1.000,passes
2838.12,2841.12,1.000,passes
