start,end,score,event
5.50,16.50,1.000,passes
22.25,33.25,1.000,passes
28.51,39.51,1.000,passes
37.51,48.51,1.000,passes
49.26,60.26,1.000,passes
65.89,76.89,1.000,passes
72.01,83.01,1.000,passes
78.01,89.01,1.000,passes
94.02,105.02,1.000,passes
115.15,126.15,1.000,passes
122.02,133.02,1.000,passes
128.02,139.02,1.000,passes
157.15,168.15,1.000,passes
170.03,181.03,1.000,passes
188.91,199.91,1.000,passes
194.91,205.91,1.000,passes
216.91,227.91,1.000,passes
223.66,234.66,1.000,passes
244.42,255.42,1.000,passes
255.05,266.05,1.000,passes
268.80,279.80,1.000,passes
274.80,285.80,1.000,passes
296.55,307.55,1.000,passes
302.93,313.93,1.000,passes
310.05,321.05,1.000,passes
325.56,336.56,1.000,passes
332.06,343.06,1.000,passes
343.94,354.94,1.000,passes
351.06,362.06,1.000,passes
363.81,374.81,1.000,passes
383.07,394.07,1.000,passes
389.07,400.07,1.000,passes
408.45,419.45,1.000,passes
414.45,425.45,1.000,passes
445.08,456.08,1.000,passes
452.08,463.08,1.000,passes
464.08,475.08,1.000,passes
473.08,484.08,1.000,passes
479.21,490.21,1.000,passes
485.21,496.21,1.000,passes
501.59,512.59,1.000,passes
518.59,529.59,1.000,passes
524.59,535.59,1.000,passes
537.97,548.97,1.000,passes
549.35,560.35,1.000,passes
558.85,569.85,1.000,passes
567.10,578.10,1.000,passes
576.73,587.73,1.000,passes
583.10,594.10,1.000,passes
599.48,610.48,1.000,passes
605.48,616.48,1.000,passes
619.86,630.86,1.000,passes
630.36,641.36,1.000,passes
655.49,666.49,1.000,passes
662.12,673.12,1.000,passes
679.74,690.74,1.000,passes
688.12,699.12,1.000,passes
707.12,718.12,1.000,passes
713.12,724.12,1.000,passes
727.13,738.13,1.000,passes
749.13,760.13,1.000,passes
755.13,766.13,1.000,passes
777.64,788.64,1.000,passes
783.89,794.89,1.000,passes
790.51,801.51,1.000,passes
811.27,822.27,1.000,passes
831.02,842.02,1.000,passes
837.27,848.27,1.000,passes
843.27,854.27,1.000,passes
857.65,868.65,1.000,passes
868.15,879.15,1.000,passes
876.53,887.53,1.000,passes
883.03,894.03,1.000,passes
895.16,906.16,1.000,passes
907.03,918.03,1.000,passes
917.54,928.54,1.000,passes
928.16,939.16,1.000,passes
944.92,955.92,1.000,passes
962.17,973.17,1.000,passes
970.04,981.04,1.000,passes
989.55,1000.55,1.000,passes
998.55,1009.55,1.000,passes
1012.93,1023.93,1.000,passes
1018.93,1029.93,1.000,passes
1039.56,1050.56,1.000,passes
1057.43,1068.43,1.000,passes
1063.44,1074.44,1.000,passes
1075.69,1086.69,1.000,passes
1088.19,1099.19,1.000,passes
1108.19,1119.19,1.000,passes
1126.07,1137.07,1.000,passes
1134.20,1145.20,1.000,passes
1140.20,1151.20,1.000,passes
1146.20,1157.20,1.000,passes
1156.83,1167.83,1.000,passes
1178.21,1189.21,1.000,passes
1184.21,1195.21,1.000,passes
1200.21,1211.21,1.000,passes
1207.09,1218.09,1.000,passes
1213.59,1224.59,1.000,passes
1228.21,1239.21,1.000,passes
1234.22,1245.22,1.000,passes
1244.22,1255.22,1.000,passes
1260.85,1271.85,1.000,passes
1277.22,1288.22,1.000,passes
1287.35,1298.35,1.000,passes
1301.35,1312.35,1.000,passes
1315.60,1326.60,1.000,passes
1321.61,1332.61,1.000,passes
1330.11,1341.11,1.000,passes
1336.11,1347.11,1.000,passes
1343.11,1354.11,1.000,passes
1359.24,1370.24,1.000,passes
1372.24,1383.24,1.000,passes
1378.24,1389.24,1.000,passes
1396.62,1407.62,1.000,passes
1402.99,1413.99,1.000,passes
1430.50,1441.50,1.000,passes
1436.63,1447.63,1.000,passes
1442.63,1453.63,1.000,passes
1456.25,1467.25,1.000,passes
1475.26,1486.26,1.000,passes
1481.26,1492.26,1.000,passes
1492.26,1503.26,1.000,passes
1509.76,1520.76,1.000,passes
1519.77,1530.77,1.000,passes
1537.89,1548.89,1.000,passes
1543.89,1554.89,1.000,passes
1562.27,1573.27,1.000,passes
1569.15,1580.15,1.000,passes
1581.15,1592.15,1.000,passes
1599.03,1610.03,1.000,passes
1613.53,1624.53,1.000,passes
1623.03,1634.03,1.000,passes
1629.03,1640.03,1.000,passes
1635.04,1646.04,1.000,passes
1654.66,1665.66,1.000,passes
1667.54,1678.54,1.000,passes
1694.67,1705.67,1.000,passes
1704.30,1715.30,1.000,passes
1723.93,1734.93,1.000,passes
1740.55,1751.55,1.000,passes
1761.06,1772.06,1.000,passes
1768.43,1779.43,1.000,passes
1779.69,1790.69,1.000,passes
1797.94,1808.94,1.000,passes
1803.94,1814.94,1.000,passes
1810.32,1821.32,1.000,passes
1829.57,1840.57,1.000,passes
1842.20,1853.20,1.000,passes
1848.20,1859.20,1.000,passes
1858.95,1869.95,1.000,passes
