"start","end","len","src"
"28","0.8","-27.2","hi_filtered"
"37","0.8","-36.2","hi_filtered"
"48","0.8","-47.2","hi_filtered"
"65","0.8","-64.2","hi_filtered"
"71","0.8","-70.2","hi_filtered"
"77","0.8","-76.2","hi_filtered"
"156","0.8","-155.2","hi_filtered"
"156","0.8","-155.2","hi_shots"
"169","0.8","-168.2","hi_filtered"
"188","0.8","-187.2","hi_shots"
"188","0.8","-187.2","hi_filtered"
"194","0.8","-193.2","hi_filtered"
"216","0.8","-215.2","hi_filtered"
"223","0.8","-222.2","hi_filtered"
"244","0.8","-243.2","hi_shots"
"244","0.8","-243.2","hi_filtered"
"247","0.8","-246.2","plays"
"254","0.8","-253.2","hi_filtered"
"268","0.8","-267.2","hi_filtered"
"268","0.8","-267.2","hi_shots"
"274","0.8","-273.2","hi_filtered"
"296","0.8","-295.2","hi_filtered"
"302","0.8","-301.2","hi_filtered"
"302","0.8","-301.2","hi_shots"
"309","0.8","-308.2","hi_filtered"
"309","0.8","-308.2","hi_shots"
"325","0.8","-324.2","hi_filtered"
"325","0.8","-324.2","hi_shots"
"331","0.8","-330.2","hi_filtered"
"331","0.8","-330.2","hi_shots"
"343","0.8","-342.2","hi_shots"
"343","0.8","-342.2","hi_filtered"
"350","0.8","-349.2","hi_filtered"
"350","0.8","-349.2","hi_shots"
"363","0.8","-362.2","hi_shots"
"363","0.8","-362.2","hi_filtered"
"382","0.8","-381.2","hi_filtered"
"408","0.8","-407.2","hi_filtered"
"414","0.8","-413.2","hi_filtered"
"451","0.8","-450.2","hi_filtered"
"463","0.8","-462.2","hi_filtered"
"472","0.8","-471.2","hi_filtered"
"484","0.8","-483.2","hi_filtered"
"501","0.8","-500.2","hi_filtered"
"537","0.8","-536.2","hi_filtered"
"549","0.8","-548.2","hi_shots"
"549","0.8","-548.2","hi_filtered"
"558","0.8","-557.2","hi_filtered"
"566","0.8","-565.2","hi_filtered"
"566","0.8","-565.2","hi_shots"
"576","0.8","-575.2","hi_filtered"
"576","0.8","-575.2","hi_shots"
"582","0.8","-581.2","hi_shots"
"582","0.8","-581.2","hi_filtered"
"599","0.8","-598.2","hi_filtered"
"605","0.8","-604.2","hi_filtered"
"605","0.8","-604.2","hi_shots"
"619","0.8","-618.2","hi_shots"
"619","0.8","-618.2","hi_filtered"
"630","0.8","-629.2","hi_filtered"
"655","0.8","-654.2","hi_filtered"
"679","0.8","-678.2","hi_filtered"
"706","0.8","-705.2","hi_filtered"
"706","0.8","-705.2","hi_shots"
"712","0.8","-711.2","hi_filtered"
"712","0.8","-711.2","hi_shots"
"748","0.8","-747.2","hi_filtered"
"754","0.8","-753.2","hi_filtered"
"777","0.8","-776.2","hi_shots"
"777","0.8","-776.2","hi_filtered"
"783","0.8","-782.2","hi_shots"
"783","0.8","-782.2","hi_filtered"
"790","0.8","-789.2","hi_filtered"
"810","0.8","-809.2","hi_filtered"
"829","0.8","-828.2","plays"
"830","0.8","-829.2","hi_shots"
"830","0.8","-829.2","hi_filtered"
"836","0.8","-835.2","hi_filtered"
"836","0.8","-835.2","hi_shots"
"842","0.8","-841.2","hi_shots"
"842","0.8","-841.2","hi_filtered"
"857","0.8","-856.2","hi_filtered"
"867","0.8","-866.2","hi_filtered"
"867","0.8","-866.2","hi_shots"
"876","0.8","-875.2","hi_filtered"
"876","0.8","-875.2","hi_shots"
"882","0.8","-881.2","hi_filtered"
"882","0.8","-881.2","hi_shots"
"894","0.8","-893.2","hi_shots"
"894","0.8","-893.2","hi_filtered"
"906","0.8","-905.2","hi_filtered"
"927","0.8","-926.2","hi_filtered"
"944","0.8","-943.2","hi_shots"
"944","0.8","-943.2","hi_filtered"
"961","0.8","-960.2","hi_filtered"
"961","0.8","-960.2","hi_shots"
"969","0.8","-968.2","hi_shots"
"969","0.8","-968.2","hi_filtered"
"989","0.8","-988.2","hi_filtered"
"998","0.8","-997.2","hi_filtered"
"998","0.8","-997.2","hi_shots"
"1003","3","-1000","goal_forced"
"1011","3","-1008","goal"
"1011","3","-1008","goal"
"1011","3","-1008","goal"
"1012","0.8","-1011.2","hi_shots"
"1012","0.8","-1011.2","hi_filtered"
"1039","0.8","-1038.2","hi_filtered"
"1039","0.8","-1038.2","hi_shots"
"1057","0.8","-1056.2","hi_filtered"
"1063","0.8","-1062.2","hi_filtered"
"1075","0.8","-1074.2","hi_filtered"
"1087","0.8","-1086.2","hi_filtered"
"1107","0.8","-1106.2","hi_filtered"
"1125","0.8","-1124.2","hi_filtered"
"1133","0.8","-1132.2","hi_filtered"
"1139","0.8","-1138.2","hi_filtered"
"1145","0.8","-1144.2","hi_filtered"
"1177","0.8","-1176.2","hi_filtered"
"1183","0.8","-1182.2","hi_shots"
"1183","0.8","-1182.2","hi_filtered"
"1199","0.8","-1198.2","hi_filtered"
"1199","0.8","-1198.2","hi_shots"
"1206","0.8","-1205.2","hi_shots"
