"Path","SizeKB","LastWriteTime"
".gitignore","0","9/16/2025 6:39:55 AM"
"02_detect_events.py","11","9/15/2025 10:45:59 AM"
"02_detect_scenes.py","4","9/14/2025 9:52:37 AM"
"03_motion_zoom.py","6","9/14/2025 10:02:10 AM"
"03_shrink_highlights.py","4","9/14/2025 7:00:14 PM"
"03_smart_shrink.py","10","9/15/2025 10:45:59 AM"
"04_make_highlights.py","2","9/15/2025 8:08:52 AM"
"05_filter_by_motion.py","3","9/15/2025 10:46:29 AM"
"05_make_social_reel.sh","2","9/15/2025 8:08:52 AM"
"05_smart_top10.py","5","9/15/2025 10:46:48 AM"
"06_detect_goal_resets.py","6","9/15/2025 10:46:33 AM"
"07_merge_csv.py","1","9/15/2025 10:46:33 AM"
"bigpaths.txt","2","9/16/2025 5:24:47 AM"
"concat.txt","0","9/15/2025 10:41:06 AM"
"curate_merge_render_v5.ps1","10","9/16/2025 5:59:52 AM"
"curate_merge_render_v5.ps1.bak","10","9/16/2025 5:50:58 AM"
"README.md","1","9/15/2025 8:08:52 AM"
"recordings\raw\20250913_214118000_iOS.MP4","558527","9/13/2025 7:23:39 PM"
"recordings\raw\20250913_221300000_iOS.MP4","514615","9/13/2025 7:23:05 PM"
"smart_zoom.py","2","9/15/2025 10:46:54 AM"
"top10.txt","1","9/15/2025 10:46:29 AM"
"top10_acc.txt","0","9/15/2025 10:46:45 AM"
"top10_filtered.txt","1","9/15/2025 10:46:45 AM"
"transforms.trf","180385","9/16/2025 6:19:51 AM"
"vfCore.ps1","0","9/15/2025 8:08:52 AM"
