kind	start	end	len
goal	1,012.85	1,018.85	6.00
goal	1,018.85	1,024.85	6.00
goal	1,024.85	1,030.85	6.00
goal	1,030.85	1,036.85	6.00
goal	1,036.85	1,037.85	1.00
goal	1,707.64	1,713.64	6.00
goal	1,713.64	1,719.64	6.00
goal	1,719.64	1,725.64	6.00
goal	1,725.64	1,731.64	6.00
goal	1,731.64	1,732.64	1.00
goal	1,765.65	1,771.65	6.00
goal	1,771.65	1,777.65	6.00
goal	1,777.65	1,783.65	6.00
goal	1,783.65	1,789.65	6.00
goal	1,789.65	1,790.65	1.00
goal	1,859.66	1,865.66	6.00
goal	1,865.66	1,871.66	6.00
goal	1,871.66	1,877.66	6.00
goal	1,877.66	1,883.66	6.00
goal	1,883.66	1,884.66	1.00
goal	1,965.68	1,971.68	6.00
goal	1,971.68	1,977.68	6.00
goal	1,977.68	1,983.68	6.00
goal	1,983.68	1,989.68	6.00
goal	1,989.68	1,990.68	1.00
goal	2,178.38	2,184.38	6.00
goal	2,184.38	2,190.38	6.00
goal	2,190.38	2,196.38	6.00
goal	2,196.38	2,202.38	6.00
goal	2,202.38	2,203.38	1.00
goal	2,321.74	2,327.74	6.00
goal	2,327.74	2,333.74	6.00
goal	2,333.74	2,339.74	6.00
goal	2,339.74	2,345.74	6.00
goal	2,345.74	2,351.74	6.00
goal	2,351.74	2,357.74	6.00
goal	2,357.74	2,358.08	0.34
goal	2,361.08	2,367.08	6.00
goal	2,367.08	2,373.08	6.00
goal	2,373.08	2,379.08	6.00
goal	2,379.08	2,385.08	6.00
goal	2,385.08	2,386.08	1.00
goal	2,393.75	2,399.75	6.00
goal	2,399.75	2,405.75	6.00
goal	2,405.75	2,411.75	6.00
goal	2,411.75	2,417.75	6.00
goal	2,417.75	2,418.75	1.00
goal	2,607.79	2,613.79	6.00
goal	2,613.79	2,619.79	6.00
goal	2,619.79	2,625.79	6.00
goal	2,625.79	2,631.79	6.00
goal	2,631.79	2,637.79	6.00
goal	2,637.79	2,643.79	6.00
goal	2,643.79	2,649.79	6.00
goal	2,649.79	2,654.13	4.34
goal	3,081.87	3,087.87	6.00
goal	3,087.87	3,093.87	6.00
goal	3,093.87	3,099.87	6.00
goal	3,099.87	3,105.87	6.00
goal	3,105.87	3,111.87	6.00
goal	3,111.87	3,114.21	2.34
action	247.00	251.38	4.38
action	829.00	833.28	4.28
action	2,919.00	2,923.85	4.85
