start,end,score,source,raw_start,raw_end
1314.100,1329.100,1.628,filtered,1315.600,1326.600
349.560,364.560,1.618,filtered,351.060,362.060
1299.850,1314.850,1.599,filtered,1301.350,1312.350
2013.850,2028.850,1.598,filtered,2015.350,2026.350
330.560,345.560,1.597,filtered,332.060,343.060
776.140,791.140,1.596,filtered,777.640,788.640
1739.050,1754.050,1.592,filtered,1740.550,1751.550
2410.920,2425.920,1.590,filtered,2412.420,2423.420
1395.120,1410.120,1.590,filtered,1396.620,1407.620
1956.720,1971.720,1.587,filtered,1958.220,1969.220
