clip_id,clip_name,clip_path,clip_rel,clip_stem,created_at_utc,duration_s,width,height,fps,sha1_64,tags,t_start_s,t_end_s,master_path,master_rel
73cee4c7f48f3c8f:001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166,001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.mp4,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.mp4,out/atomic_clips/2025-09-13__TSC_vs_NEOFC/001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.mp4,001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166,2025-10-24T12:51:45+00:00,10.000,1920,1080,24/1,73cee4c7f48f3c8f,,,,C:/Users/scott/soccer-video/out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4,out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4
33ef01cc3038e66a:002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL,002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL.mp4,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL.mp4,out/atomic_clips/2025-09-13__TSC_vs_NEOFC/002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL.mp4,002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL,2025-10-24T16:53:57+00:00,10.375,1920,1080,24/1,33ef01cc3038e66a,,,,C:/Users/scott/soccer-video/out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4,out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4
80429e07a82be7e0:003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70.__DEBUG_FINAL_portrait_FINAL,003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70.__DEBUG_FINAL_portrait_FINAL.mp4,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70.__DEBUG_FINAL_portrait_FINAL.mp4,out/atomic_clips/2025-09-13__TSC_vs_NEOFC/003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70.__DEBUG_FINAL_portrait_FINAL.mp4,003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70.__DEBUG_FINAL_portrait_FINAL,2025-10-24T16:54:00+00:00,23.875,1920,1080,24/1,80429e07a82be7e0,,,,C:/Users/scott/soccer-video/out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4,out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4
da4ee49132f764df:004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10.__DEBUG_FINAL_portrait_FINAL,004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10.__DEBUG_FINAL_portrait_FINAL.mp4,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10.__DEBUG_FINAL_portrait_FINAL.mp4,out/atomic_clips/2025-09-13__TSC_vs_NEOFC/004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10.__DEBUG_FINAL_portrait_FINAL.mp4,004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10.__DEBUG_FINAL_portrait_FINAL,2025-10-24T16:54:06+00:00,16.625,1920,1080,24/1,da4ee49132f764df,,,,C:/Users/scott/soccer-video/out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4,out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4
ccaf627a783d31ef:005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60.__DEBUG_FINAL_portrait_FINAL,005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60.__DEBUG_FINAL_portrait_FINAL.mp4,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60.__DEBUG_FINAL_portrait_FINAL.mp4,out/atomic_clips/2025-09-13__TSC_vs_NEOFC/005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60.__DEBUG_FINAL_portrait_FINAL.mp4,005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60.__DEBUG_FINAL_portrait_FINAL,2025-10-24T16:54:10+00:00,13.708,1920,1080,24/1,ccaf627a783d31ef,,,,C:/Users/scott/soccer-video/out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4,out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4
b675f71851fe1d86:006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL,006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL.mp4,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL.mp4,out/atomic_clips/2025-09-13__TSC_vs_NEOFC/006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL.mp4,006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL,2025-10-24T16:54:14+00:00,12.167,1920,1080,24/1,b675f71851fe1d86,,,,C:/Users/scott/soccer-video/out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4,out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4
f77e7aad20a9f28f:007__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t982.00-t987.90_portrait_POST,007__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t982.00-t987.90_portrait_POST.mp4,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\007__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t982.00-t987.90_portrait_POST.mp4,out/atomic_clips/2025-09-13__TSC_vs_NEOFC/007__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t982.00-t987.90_portrait_POST.mp4,007__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t982.00-t987.90_portrait_POST,2025-10-24T16:54:38+00:00,5.917,1920,1080,24/1,f77e7aad20a9f28f,,,,C:/Users/scott/soccer-video/out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4,out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4
a3b77135cb161a77:008__2025-09-13__TSC_vs_NEOFC__SHOT__t1247.80-t1259.20_portrait_POST,008__2025-09-13__TSC_vs_NEOFC__SHOT__t1247.80-t1259.20_portrait_POST.mp4,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\008__2025-09-13__TSC_vs_NEOFC__SHOT__t1247.80-t1259.20_portrait_POST.mp4,out/atomic_clips/2025-09-13__TSC_vs_NEOFC/008__2025-09-13__TSC_vs_NEOFC__SHOT__t1247.80-t1259.20_portrait_POST.mp4,008__2025-09-13__TSC_vs_NEOFC__SHOT__t1247.80-t1259.20_portrait_POST,2025-10-24T16:54:49+00:00,11.375,1920,1080,24/1,a3b77135cb161a77,,,,C:/Users/scott/soccer-video/out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4,out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4
eac3256e2482958c:009__2025-09-13__TSC_vs_NEOFC__SHOT__t1420.40-t1438.20_portrait_POST,009__2025-09-13__TSC_vs_NEOFC__SHOT__t1420.40-t1438.20_portrait_POST.mp4,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\009__2025-09-13__TSC_vs_NEOFC__SHOT__t1420.40-t1438.20_portrait_POST.mp4,out/atomic_clips/2025-09-13__TSC_vs_NEOFC/009__2025-09-13__TSC_vs_NEOFC__SHOT__t1420.40-t1438.20_portrait_POST.mp4,009__2025-09-13__TSC_vs_NEOFC__SHOT__t1420.40-t1438.20_portrait_POST,2025-10-24T16:55:08+00:00,17.833,1920,1080,24/1,eac3256e2482958c,,,,C:/Users/scott/soccer-video/out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4,out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4
5147864f08814599:010__2025-09-13__TSC_vs_NEOFC__CROSS__t1541.10-t1547.90_portrait_POST,010__2025-09-13__TSC_vs_NEOFC__CROSS__t1541.10-t1547.90_portrait_POST.mp4,C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\010__2025-09-13__TSC_vs_NEOFC__CROSS__t1541.10-t1547.90_portrait_POST.mp4,out/atomic_clips/2025-09-13__TSC_vs_NEOFC/010__2025-09-13__TSC_vs_NEOFC__CROSS__t1541.10-t1547.90_portrait_POST.mp4,010__2025-09-13__TSC_vs_NEOFC__CROSS__t1541.10-t1547.90_portrait_POST,2025-10-24T16:55:20+00:00,6.792,1920,1080,24/1,5147864f08814599,,,,C:/Users/scott/soccer-video/out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4,out/games/2025-09-13__TSC_vs_NEOFC/MASTER.mp4
