"clip_id","label","base_t0","base_t1","rel_t0","rel_t1","note"
"001","GOAL","984.7","993.7","0","9",""
"002","SHOT","1322.1","1331.234","0","9.134",""
"003","GOAL","1660.9","1664","0","3.1",""
"004","GOAL","1717.15","1731.15","0","14",""
"005","GOAL","1811.16","1825.16","0","14",""
"006","GOAL","1928.1","1931.18","0","3.08",""
"007","GOAL","2129.88","2143.88","0","14",""
"008","GOAL","2266.684","2272.4","0","5.716",""
"009","GOAL","2312.58","2326.58","0","14",""
"010","GOAL","2345.25","2359.25","0","14",""
"011","GOAL","2559.29","2573.29","0","14",""
"012","GOAL","2589.9","2594.63","0","4.73",""
"013","GOAL","3033.37","3048.9","0","15.53",""
"014","GOAL","3114.9","3120.028","0","5.128",""
