frame,time,center_x,center_y,view_w,view_h,crop_x,crop_y,crop_w,crop_h,ball_x,ball_y,speed,visible,conf,miss_streak,occlusion_frames
0,,325.08000000000004,540.0,650,1080,0,0,650,1080,0.0,0.0,0.0,0,0.0,0,1
1,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,2
2,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,3
3,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,4
4,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,5
5,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,6
6,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,7
7,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,8
8,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,9
9,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,10
10,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,11
11,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,12
12,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,13
13,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,14
14,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,15
15,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,16
16,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,17
17,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,18
18,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,19
19,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,20
20,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,21
21,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,22
22,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,23
23,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,24
24,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,25
25,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,26
26,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,27
27,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,28
28,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,29
29,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,30
30,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,31
31,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,32
32,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,33
33,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,34
34,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,35
35,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,36
36,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,37
37,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,38
38,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,39
39,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,40
40,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,41
41,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,42
42,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,43
43,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,44
44,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,45
45,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,46
46,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,47
47,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,48
48,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,49
49,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,50
50,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,51
51,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,52
52,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,53
53,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,54
54,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,55
55,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,56
56,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,57
57,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,58
58,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,59
59,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,60
60,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,61
61,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,62
62,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,63
63,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,64
64,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,65
65,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,66
66,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,67
67,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,68
68,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,69
69,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,70
70,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,71
71,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,72
72,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,73
73,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,74
74,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,75
75,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,76
76,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,77
77,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,78
78,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,79
79,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,80
80,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,81
81,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,82
82,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,83
83,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,84
84,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,85
85,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,86
86,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,87
87,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,88
88,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,89
89,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,90
90,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,91
91,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,92
92,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,93
93,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,94
94,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,95
95,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,96
96,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,97
97,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,98
98,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,99
99,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,100
100,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,101
101,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,102
102,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,103
103,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,104
104,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,105
105,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,106
106,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,107
107,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,108
108,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,109
109,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,110
110,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,111
111,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,112
112,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,113
113,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,114
114,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,115
115,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,116
116,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,117
117,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,118
118,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,119
119,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,120
120,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,121
121,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,122
122,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,123
123,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,124
124,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,125
125,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,126
126,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,127
127,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,128
128,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,129
129,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,130
130,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,131
131,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,132
132,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,133
133,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,134
134,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,135
135,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,136
136,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,137
137,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,138
138,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,139
139,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,140
140,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,141
141,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,142
142,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,143
143,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,144
144,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,145
145,,328.32000000000005,540.0,657,1080,0,0,657,1080,0.0,0.0,0.0,0,0.0,0,146
