clip,profile,cx0,cy0,cx1,cy1,z0,z1
001__GOAL__t155.50-t166.40.mp4,tiktok,960,540,960,540,2.0,1.2
002__SHOT__t180.80-t191.20.mp4,tiktok,960,540,960,540,2.0,1.2
003__GOAL__t224.80-t248.70.mp4,tiktok,960,540,960,540,2.0,1.2
004__GOAL__t266.50-t283.10.mp4,tiktok,960,540,960,540,2.0,1.2
005__GOAL__t417.90-t431.60.mp4,tiktok,960,540,960,540,2.0,1.2
006__GOAL__t699.30-t711.50.mp4,tiktok,960,540,960,540,2.0,1.2
007__GOAL__t982.00-t987.90.mp4,tiktok,960,540,960,540,2.0,1.2
008__GOAL__t1247.80-t1259.20.mp4,tiktok,960,540,960,540,2.0,1.2
009__GOAL__t1420.40-t1438.20.mp4,tiktok,960,540,960,540,2.0,1.2
010__GOAL__t1541.10-t1547.90.mp4,tiktok,960,540,960,540,2.0,1.2
011__GOAL__t1655.00-t1670.30.mp4,tiktok,960,540,960,540,2.0,1.2
012__GOAL__t1705.20-t1708.50.mp4,tiktok,960,540,960,540,2.0,1.2
013__GOAL__t1767.50-t1772.60.mp4,tiktok,960,540,960,540,2.0,1.2
014__GOAL__t1904.20-t1925.20.mp4,tiktok,960,540,960,540,2.0,1.2
015__DRIBBLING__t1972.50-t1980.70.mp4,tiktok,960,540,960,540,2.0,1.2
016__SHOT__t2029.90-t2039.50.mp4,tiktok,960,540,960,540,2.0,1.2
017__SHOT__t2284.90-t2298.20.mp4,tiktok,960,540,960,540,2.0,1.2
018__SHOT__t2419.50-t2425.60.mp4,tiktok,960,540,960,540,2.0,1.2
019__SHOT__t2633.00-t2638.10.mp4,tiktok,960,540,960,540,2.0,1.2
020__GOAL__t2816.60-t2831.80.mp4,tiktok,960,540,960,540,2.0,1.2
021__SHOT__t2860.70-t2873.00.mp4,tiktok,960,540,960,540,2.0,1.2
022__SHOT__t3028.10-t3059.70.mp4,tiktok,960,540,960,540,2.0,1.2
023__SHOT__t3098.90-t3108.80.mp4,tiktok,960,540,960,540,2.0,1.2
