"game_tag","clip_id","label","intended_start_s","intended_end_s","intended_duration","probed_duration","drift_sec","bytes","modified_local","relative_path","absolute_path"
,,,,,,"7.335",,"8784918","9/26/2025 6:43:05 AM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\019__SHOT__t2633.00-t2638.10.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\019__SHOT__t2633.00-t2638.10.mp4"
,,,,,,"16.003",,"19387333","9/26/2025 6:43:08 AM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\020__GOAL__t2816.60-t2831.80.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\020__GOAL__t2816.60-t2831.80.mp4"
,,,,,,"15.211",,"18516194","9/26/2025 6:43:11 AM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\021__SHOT__t2860.70-t2873.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\021__SHOT__t2860.70-t2873.00.mp4"
,,,,,,"6.876",,"7753953","9/26/2025 6:43:03 AM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\018__SHOT__t2419.50-t2425.60.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\018__SHOT__t2419.50-t2425.60.mp4"
,,,,,,"9.002",,"11895031","9/26/2025 6:42:54 AM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\015__DRIBBLING__t1972.50-t1980.70.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\015__DRIBBLING__t1972.50-t1980.70.mp4"
,,,,,,"14.794",,"18920971","9/26/2025 6:42:57 AM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\016__SHOT__t2029.90-t2039.50.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\016__SHOT__t2029.90-t2039.50.mp4"
,,,,,,"16.461",,"20659105","9/26/2025 6:43:01 AM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\017__SHOT__t2284.90-t2298.20.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\017__SHOT__t2284.90-t2298.20.mp4"
,,,,,,"31.797",,"37700921","9/26/2025 6:43:17 AM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\022__SHOT__t3028.10-t3059.70.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\022__SHOT__t3028.10-t3059.70.mp4"
,,,,,,"1.274",,"3039710","10/5/2025 12:02:57 PM","out\atomic_clips\_quarantine\002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00__v2.mp4","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00__v2.mp4"
,,,,,,"0.787",,"866337","10/5/2025 12:03:03 PM","out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00__v2.mp4","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00__v2.mp4"
