"game_tag","clip_id","label","intended_start_s","intended_end_s","intended_duration","probed_duration","drift_sec","bytes","modified_local","relative_path","absolute_path"
"","022","SHOT","3028.1","3059.7","31.6","31.797","0.197","37700921","9/26/2025 6:43:17 AM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\022__SHOT__t3028.10-t3059.70.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\022__SHOT__t3028.10-t3059.70.mp4"
"2025-09-13","001","TSC vs NEOFC  SHOT","155.5","166.4","10.9","10.917","0.017","17626753","10/5/2025 1:05:34 PM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t155.50-t166.40.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t155.50-t166.40.mp4"
"2025-09-13","002","TSC vs NEOFC  GOAL","180.8","191.2","10.4","10.416","0.016","16994878","10/5/2025 1:05:36 PM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.mp4"
"2025-09-13","003","TSC vs NEOFC  BUILD UP","224.8","248.7","23.9","23.916","0.016","39256921","10/5/2025 1:05:41 PM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70.mp4"
"2025-09-13","004","TSC vs NEOFC  GOAL","266.5","283.1","16.6","16.625","0.025","26897556","10/5/2025 1:05:45 PM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10.mp4"
"2025-09-13","005","TSC vs NEOFC  CORNER","417.9","431.6","13.7","13.708","0.008","21841122","10/5/2025 1:05:48 PM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60.mp4"
"2025-09-13","006","TSC vs NEOFC  DEFENSE","699.3","711.5","12.2","12.208","0.008","18240587","10/5/2025 1:05:51 PM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.mp4"
"2025-09-13","007","TSC vs NEOFC  DRIBBLING","982","987.9","5.9","5.917","0.017","9396434","10/5/2025 1:05:52 PM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\007__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t982.00-t987.90.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\007__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t982.00-t987.90.mp4"
"2025-09-13","008","TSC vs NEOFC  SHOT","1247.8","1259.2","11.4","11.416","0.016","14754527","10/5/2025 1:05:54 PM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\008__2025-09-13__TSC_vs_NEOFC__SHOT__t1247.80-t1259.20.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\008__2025-09-13__TSC_vs_NEOFC__SHOT__t1247.80-t1259.20.mp4"
"2025-09-13","009","TSC vs NEOFC  SHOT","1420.4","1438.2","17.8","17.833","0.033","24799278","10/5/2025 1:05:58 PM","out\atomic_clips\2025-09-13__TSC_vs_NEOFC\009__2025-09-13__TSC_vs_NEOFC__SHOT__t1420.40-t1438.20.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\009__2025-09-13__TSC_vs_NEOFC__SHOT__t1420.40-t1438.20.mp4"
