file,start_sec,end_sec,label
001__SHOT__t155.50-t166.40.mp4,155.50,166.40,SHOT
002__GOAL__t180.80-t191.20.mp4,180.80,191.20,GOAL
004__GOAL__t266.50-t283.10.mp4,266.50,283.10,GOAL
005__CORNER__t417.90-t431.60.mp4,417.90,431.60,CORNER
006__DEFENSE__t699.30-t711.50.mp4,699.30,711.50,DEFENSE
007__DRIBBLING__t982.00-t987.90.mp4,982.00,987.90,DRIBBLING
008__SHOT__t1247.80-t1259.20.mp4,1247.80,1259.20,SHOT
009__SHOT__t1420.40-t1438.20.mp4,1420.40,1438.20,SHOT
010__CROSS__t1541.10-t1547.90.mp4,1541.10,1547.90,CROSS
011__SHOTS__t1655.00-t1670.30.mp4,1655.00,1670.30,SHOTS
012__GOAL__t1705.20-t1708.50.mp4,1705.20,1708.50,GOAL
012__SHOT__t1705.20-t1708.50.mp4,1705.20,1708.50,SHOT
013__GOAL__t1767.50-t1772.60.mp4,1767.50,1772.60,GOAL
013__SHOT__t1767.50-t1772.60.mp4,1767.50,1772.60,SHOT
014__GOAL__t1904.20-t1925.20.mp4,1904.20,1925.20,GOAL
015__DRIBBLING__t1972.50-t1980.70.mp4,1972.50,1980.70,DRIBBLING
016__SHOT__t2029.90-t2039.50.mp4,2029.90,2039.50,SHOT
017__SHOT__t2284.90-t2298.20.mp4,2284.90,2298.20,SHOT
018__SHOT__t2419.50-t2425.60.mp4,2419.50,2425.60,SHOT
019__SHOT__t2633.00-t2638.10.mp4,2633.00,2638.10,SHOT
020__GOAL__t2816.60-t2831.80.mp4,2816.60,2831.80,GOAL
021__SHOT__t2860.70-t2873.00.mp4,2860.70,2873.00,SHOT
022__SHOT__t3028.10-t3059.70.mp4,3028.10,3059.70,SHOT
023__SHOT__t3098.90-t3108.80.mp4,3098.90,3108.80,SHOT
