"Game","Type","File","Action","Notes"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00__v2.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00__v2.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t25260.00-t26460.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t421.00-t441.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\004__2025-09-20__TSC_vs_Greenwood__PRESSURE_TWO_SHOTS__t26640.00-t27360.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\004__2025-09-20__TSC_vs_Greenwood__PRESSURE_TWO_SHOTS__t444.00-t456.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\005__2025-09-20__TSC_vs_Greenwood__WIN_FREE_KICK__t32280.00-t33180.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\005__2025-09-20__TSC_vs_Greenwood__WIN_FREE_KICK__t538.00-t553.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\006__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t41100.00-t42480.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\006__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t685.00-t708.00.mp4","QUARANTINE","Unparseable name or wrong tag"
