start,end,score
0.00,1.83,8.421
18.92,23.22,-0.301
101.35,105.65,6.103
148.34,152.64,6.546
161.63,175.79,13.342
180.97,190.16,11.537
232.32,237.65,8.555
249.64,253.94,-0.388
257.28,261.77,9.150
276.76,289.67,11.038
307.10,311.40,11.579
324.61,330.67,9.074
357.01,374.44,11.684
386.75,392.18,16.140
429.25,434.74,12.869
446.83,451.76,5.447
462.02,466.58,13.149
505.30,517.53,11.175
534.43,540.80,8.097
558.98,569.03,13.673
579.20,583.50,0.105
587.07,591.37,8.793
610.82,616.20,-0.031
642.66,646.96,6.241
702.90,717.50,14.558
724.33,731.07,10.319
747.85,752.15,2.285
780.22,797.86,12.135
819.41,823.71,10.415
828.36,853.19,9.532
863.85,868.15,3.347
872.87,878.80,11.252
884.99,891.77,11.443
900.00,905.49,3.410
937.35,941.65,2.760
949.21,954.34,4.437
956.49,961.17,3.326
975.08,979.38,7.226
988.47,992.77,1.389
1008.71,1013.22,6.045
1025.88,1030.18,2.294
1146.65,1151.74,15.740
1190.43,1194.73,1.882
1254.50,1258.80,3.499
1265.05,1270.14,11.474
1299.97,1316.99,8.649
1321.99,1338.73,10.211
1371.72,1382.88,11.551
1393.40,1397.70,-0.145
1422.87,1443.97,15.019
1454.98,1459.28,8.470
1473.55,1489.91,9.986
1536.90,1564.25,14.754
1571.63,1576.56,19.737
1622.39,1626.69,12.648
1809.11,1813.41,3.463
1861.41,1865.71,1.764
1873.86,1880.20,7.590
1887.39,1891.69,0.177
1921.43,1928.56,13.936
1973.06,1980.09,7.624
2021.07,2026.65,13.421
2029.92,2046.56,17.244
2056.39,2061.42,7.609
2076.98,2081.62,3.276
2096.86,2101.64,-0.471
2228.07,2232.37,3.684
2239.00,2243.30,1.113
2272.71,2277.01,2.108
2280.35,2284.65,1.835
2287.26,2304.08,11.693
2306.12,2316.31,11.367
2321.14,2325.44,4.402
2379.05,2384.26,3.824
2422.73,2429.70,9.999
2471.14,2480.56,1.989
2493.03,2497.33,2.771
2508.57,2512.87,5.079
2578.26,2583.39,3.017
2614.13,2623.07,8.172
2628.39,2633.77,5.334
2635.69,2643.84,13.641
2651.30,2661.77,12.868
2677.82,2685.07,12.571
2688.13,2693.06,5.401
2704.83,2709.13,2.613
2729.25,2736.91,3.292
2741.45,2745.75,2.902
2761.79,2776.25,12.177
2787.06,2794.15,11.908
2807.28,2816.05,2.527
2819.59,2842.78,16.563
2851.83,2880.47,16.520
2894.51,2916.78,15.637
2925.98,2930.28,8.496
2954.80,2962.28,11.415
2986.62,2995.10,8.779
2999.89,3006.92,7.671
3031.75,3037.05,3.516
3039.74,3044.04,4.344
3094.53,3099.21,19.173
3102.84,3109.80,13.909
3112.84,3123.37,10.193
