"action","src","dst","bytes","reason"
"move","out/_probe_top10_test.mp4","DUPES/out__probe_top10_test.mp4","0","duplicate_exact"
"move","out/git_untracked.txt","DUPES/out_git_untracked.txt","0","duplicate_exact"
"move","out/portrait_reels/previews/003__BUILD_UP__t224.80-t248.70_diag_crop.mp4","DUPES/out_portrait_reels_previews_003__BUILD_UP__t224.80-t248.70_diag_crop.mp4","0","duplicate_exact"
"move","out/reel_spans_debug.csv","DUPES/out_reel_spans_debug.csv","0","duplicate_exact"
"move","out/reels/tiktok/001__GOAL__t155.50-t166.40__AUTOFRAME__tiktok__DEBUG.mp4","DUPES/out_reels_tiktok_001__GOAL__t155.50-t166.40__AUTOFRAME__tiktok__DEBUG.mp4","0","duplicate_exact"
"move","out/reels/tiktok/004__directed.mp4","DUPES/out_reels_tiktok_004__directed.mp4","0","duplicate_exact"
"move","out/reels/tiktok/004__directed_SINGLECHAIN_ballBias_receiveEarly_crossDwell_tail__BALL_LOCK_AFTER10.mp4","DUPES/out_reels_tiktok_004__directed_SINGLECHAIN_ballBias_receiveEarly_crossDwell_tail__BALL_LOCK_AFTER10.mp4","0","duplicate_exact"
"move","out/reels/tiktok/004__directed_SINGLECHAIN_ballBias_receiveEarly_crossDwell_tail__BALL_LOCK_AFTER10_FIXED.mp4","DUPES/out_reels_tiktok_004__directed_SINGLECHAIN_ballBias_receiveEarly_crossDwell_tail__BALL_LOCK_AFTER10_FIXED.mp4","0","duplicate_exact"
"move","out/reels/tiktok/004__directed_SINGLECHAIN_crossWide_celeWide_lockScorer.mp4","DUPES/out_reels_tiktok_004__directed_SINGLECHAIN_crossWide_celeWide_lockScorer.mp4","0","duplicate_exact"
"move","out/reels/tiktok/004__directed_SINGLECHAIN_slowest5.mp4","DUPES/out_reels_tiktok_004__directed_SINGLECHAIN_slowest5.mp4","0","duplicate_exact"
"move","out/reels/tiktok/_probe_drawbox_basic.mp4","DUPES/out_reels_tiktok__probe_drawbox_basic.mp4","0","duplicate_exact"
"move","cleanup_reports/duplicates_20250925_133752.csv","DUPES/cleanup_reports_duplicates_20250925_133752.csv","3","duplicate_exact"
"move","cleanup_reports/duplicates_20250925_134350.csv","DUPES/cleanup_reports_duplicates_20250925_134350.csv","3","duplicate_exact"
"move","cleanup_reports/duplicates_20250925_134406.csv","DUPES/cleanup_reports_duplicates_20250925_134406.csv","3","duplicate_exact"
"move","cleanup_reports/unreferenced_20250925_133106.csv","DUPES/cleanup_reports_unreferenced_20250925_133106.csv","3","duplicate_exact"
"move","cleanup_reports/unreferenced_20250925_134350.csv","DUPES/cleanup_reports_unreferenced_20250925_134350.csv","3","duplicate_exact"
"move","cleanup_reports/unreferenced_20250925_134406.csv","DUPES/cleanup_reports_unreferenced_20250925_134406.csv","3","duplicate_exact"
"move","out/repo_map_commands.csv","DUPES/out_repo_map_commands.csv","3","duplicate_exact"
"move","cleanup_reports/duplicates_20250925_135311.csv","DUPES/cleanup_reports_duplicates_20250925_135311.csv","996","duplicate_exact"
"move","highlight_streak_1.mp4","DUPES/highlight_streak_1.mp4","17860994","duplicate_exact"
"move","highlight_window.mp4","DUPES/highlight_window.mp4","17860994","duplicate_exact"
"move","out/atomic_clips/2025-09-13__TSC_vs_NEOFC/012__2025-09-13__TSC_vs_NEOFC__GOAL__t1705.20-t1708.50__v2.mp4","DUPES/out_atomic_clips_2025-09-13__TSC_vs_NEOFC_012__2025-09-13__TSC_vs_NEOFC__GOAL__t1705.20-t1708.50__v2.mp4","5582055","duplicate_exact"
"move","out/atomic_clips/2025-09-13__TSC_vs_NEOFC/013__2025-09-13__TSC_vs_NEOFC__GOAL__t1767.50-t1772.60__v2.mp4","DUPES/out_atomic_clips_2025-09-13__TSC_vs_NEOFC_013__2025-09-13__TSC_vs_NEOFC__GOAL__t1767.50-t1772.60__v2.mp4","7121852","duplicate_exact"
"move","out/atomic_clips/_quarantine/003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t421.00-t441.00.mp4","DUPES/out_atomic_clips__quarantine_003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t421.00-t441.00.mp4","45832672","duplicate_exact"
