cluster_id,type,representative_file,members,total_size_bytes
near-1,near,tools/README.md,tools/README.md;brand/tsc/README.md,1045
near-2,near,tools/README.md,tools/README.md;examples/README.md,1306
near-3,near,tools/README.md,tools/README.md;README.md,7048
near-4,near,brand/tsc/README.md,brand/tsc/README.md;examples/README.md,1581
near-5,near,brand/tsc/README.md,brand/tsc/README.md;README.md,7323
near-6,near,examples/README.md,examples/README.md;README.md,7584
near-7,near,recipes/compare/Run-Compare.ps1,recipes/compare/Run-Compare.ps1;Run-Compare.ps1,4354
near-8,near,scripts/autoframe.py,scripts/autoframe.py;autoframe.py,75087
near-9,near,recipes/compare/Autoframe.psm1,recipes/compare/Autoframe.psm1;tools/Autoframe.psm1,11701
near-10,near,make_reel.ps1,make_reel.ps1;scripts/make_reel.ps1,15289
near-11,near,pipeline/apply_zooms.ps1,pipeline/apply_zooms.ps1;scripts/apply_zooms.ps1,3166
near-12,near,scripts/make_reel.ps1.bak2,scripts/make_reel.ps1.bak2;scripts/make_reel.ps1.bak_fix,22673
near-13,near,scripts/make_reel.ps1.bak2,scripts/make_reel.ps1.bak2;scripts/make_reel.ps1.bak,22674
near-14,near,scripts/make_reel.ps1.bak2,scripts/make_reel.ps1.bak2;scripts/make_reel.ps1.bak_castfix,22680
near-15,near,scripts/make_reel.ps1.bak2,scripts/make_reel.ps1.bak2;scripts/make_reel.ps1.bak_full,22680
near-16,near,scripts/make_reel.ps1.bak_fix,scripts/make_reel.ps1.bak_fix;scripts/make_reel.ps1.bak,22691
near-17,near,scripts/make_reel.ps1.bak_fix,scripts/make_reel.ps1.bak_fix;scripts/make_reel.ps1.bak_castfix,22697
near-18,near,scripts/make_reel.ps1.bak_fix,scripts/make_reel.ps1.bak_fix;scripts/make_reel.ps1.bak_full,22697
near-19,near,scripts/make_reel.ps1.bak,scripts/make_reel.ps1.bak;scripts/make_reel.ps1.bak_castfix,22698
near-20,near,scripts/make_reel.ps1.bak,scripts/make_reel.ps1.bak;scripts/make_reel.ps1.bak_full,22698
near-21,near,scripts/make_reel.ps1.bak_castfix,scripts/make_reel.ps1.bak_castfix;scripts/make_reel.ps1.bak_full,22704
near-22,near,soccer_highlights/utils.py,soccer_highlights/utils.py;tools/utils.py,9252
near-23,near,tools/__pycache__/_normalize_inplay.cpython-313.pyc,tools/__pycache__/_normalize_inplay.cpython-313.pyc;tools/__pycache__/normalize_inplay.cpython-313.pyc,6681
near-24,near,tools/_normalize_inplay.py,tools/_normalize_inplay.py;tools/normalize_inplay.py,3601
near-25,near,tools/index_repo.ps1,tools/index_repo.ps1;tools/index_repo.py,41808
near-26,near,tools/tsc_brand.py,tools/tsc_brand.py;tools/tsc_brand.ps1,10718
