start,end,t0,t1,label
151.15,171.65,151.15,171.65,SHOT
182.91,202.91,182.91,202.91,SHOT
213.41,258.92,213.41,258.92,SHOT
262.8,289.3,262.8,289.3,SHOT
296.93,378.81,296.93,378.81,SHOT
534.47,597.1,534.47,597.1,SHOT
599.48,634.36,599.48,634.36,SHOT
701.12,727.12,701.12,727.12,SHOT
770.64,797.89,770.64,797.89,SHOT
825.02,857.77,825.02,857.77,SHOT
862.15,909.16,862.15,909.16,SHOT
938.92,984.04,938.92,984.04,SHOT
992.55,1026.93,992.55,1026.93,GOAL
1033.56,1053.56,1033.56,1053.56,SHOT
1178.21,1221.59,1178.21,1221.59,SHOT
1254.85,1275.35,1254.85,1275.35,SHOT
1281.35,1344.11,1281.35,1344.11,SHOT
1353.24,1416.99,1353.24,1416.99,SHOT
1469.26,1506.26,1469.26,1506.26,SHOT
1629.04,1681.54,1629.04,1681.54,SHOT
1687.67,1754.55,1687.67,1754.55,GOAL
1755.06,1793.69,1755.06,1793.69,GOAL
1823.57,1863.66,1823.57,1863.66,GOAL
1892.96,1972.22,1892.96,1972.22,GOAL
1978.97,2044.6,1978.97,2044.6,SHOT
2046.36,2103.99,2046.36,2103.99,SHOT
2170.38,2182.38,2170.38,2182.38,GOAL
2189.76,2210.76,2189.76,2210.76,SHOT
2217.01,2311.9,2217.01,2311.9,SHOT
2313.74,2352.53,2313.74,2352.53,GOAL
2353.08,2397.75,2353.08,2397.75,GOAL
2405.42,2438.67,2405.42,2438.67,SHOT
2587.08,2611.79,2587.08,2611.79,GOAL
2621.13,2633.13,2621.13,2633.13,GOAL
2644.96,2684.72,2644.96,2684.72,SHOT
2741.98,2761.98,2741.98,2761.98,SHOT
2822.12,2855.75,2822.12,2855.75,SHOT
2861,2908,2861,2908,SHOT
2913.13,2933.63,2913.13,2933.63,SHOT
2974.27,3124.88,2974.27,3124.88,GOAL
