t0,t1,label,score,src
28.51,60.26,PASSES,1.0,highlights_build+highlights_filtered
65.89,89.01,PASSES,1.0,highlights_build+highlights_filtered
151.15,171.65,SHOT,0.0,events_core
157.15,181.03,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
182.91,202.91,SHOT,0.0,events_core
188.91,205.91,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
213.41,258.92,SHOT,0.0,events_core
216.91,234.66,PASSES,1.0,highlights_filtered
244.42,266.05,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
262.8,289.3,SHOT,0.0,events_core
268.8,285.8,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
296.55,321.05,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
296.93,378.81,SHOT,0.0,events_core
325.56,374.81,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
383.07,394.07,PASSES,1.0,highlights_build+highlights_filtered
408.45,425.45,PASSES,1.0,highlights_filtered
452.08,496.21,PASSES,1.0,highlights_build+highlights_filtered
501.59,512.59,PASSES,1.0,highlights_filtered
534.47,597.1,SHOT,0.0,events_core
537.97,594.1,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
599.48,616.48,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
599.48,634.36,SHOT,0.0,events_core
619.86,641.36,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
655.49,666.49,PASSES,1.0,highlights_build+highlights_filtered
679.74,690.74,PASSES,1.0,highlights_build+highlights_filtered
701.12,727.12,SHOT,0.0,events_core
707.12,724.12,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
749.13,766.13,PASSES,1.0,highlights_build+highlights_filtered
770.64,797.89,SHOT,0.0,events_core
777.64,801.51,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
811.27,822.27,PASSES,1.0,highlights_build+highlights_filtered
825.02,857.77,SHOT,0.0,events_core
831.02,854.27,PASSES,1.0,highlights_build+highlights_filtered+highlights_shots
