folder,files_count,total_size_bytes,file_type_counts,category_counts,largest_files_top5,last_git_activity_iso
.,109,236935701,"{""other"": 17, ""script_py"": 75, ""script_sh"": 1, ""script_ps1"": 8, ""markdown"": 2, ""config"": 5, ""video"": 1}","{""other"": 16, ""source_code"": 71, ""config"": 7, ""generated_output"": 14, ""log"": 1}",yolov8x.pt:130.5MB;yolov8m.pt:49.7MB;yolov8s.pt:21.5MB;highlight_center10.mp4:17.0MB;yolov8n.pt:6.2MB,2025-10-07 12:07:59 -0500
brand/tsc,2,1417,"{""markdown"": 1, ""config"": 1}","{""asset_brand"": 2}",brand/tsc/brand_kit.json:0.0MB;brand/tsc/README.md:0.0MB,2025-10-02 13:32:22 -0500
cleanup_reports,7,48673,"{""other"": 7}","{""other"": 7}",cleanup_reports/unreferenced_20250925_135803.csv:0.0MB;cleanup_reports/duplicates_20250925_135803.csv:0.0MB;cleanup_reports/unreferenced_20250925_135258.csv:0.0MB;cleanup_reports/unreferenced_20250925_133752.csv:0.0MB;cleanup_reports/duplicates_20250925_135258.csv:0.0MB,2025-09-25 14:15:50 -0500
config,2,622,"{""config"": 2}","{""config"": 2}",config/reels.json:0.0MB;config/team_navy.json:0.0MB,2025-09-18 12:53:53 -0500
configs,1,1568,"{""config"": 1}","{""config"": 1}",configs/zoom.yaml:0.0MB,2025-09-25 17:08:14 -0500
docs,1,18026,"{""markdown"": 1}","{""config"": 1}",docs/USAGE_GUIDE.md:0.0MB,2025-10-02 16:53:23 -0500
examples,3,2517,"{""markdown"": 1, ""script_py"": 1, ""config"": 1}","{""config"": 2, ""source_code"": 1}",examples/generate_sample.py:0.0MB;examples/README.md:0.0MB;examples/sample_config.yaml:0.0MB,2025-09-16 13:05:21 -0500
pipeline,1,1405,"{""script_ps1"": 1}","{""source_code"": 1}",pipeline/apply_zooms.ps1:0.0MB,2025-09-26 07:54:44 -0500
recipes/compare,3,7858,"{""script_ps1"": 2, ""markdown"": 1}","{""source_code"": 2, ""log"": 1}",recipes/compare/Autoframe.psm1:0.0MB;recipes/compare/Run-Compare.ps1:0.0MB;recipes/compare/CHANGELOG.md:0.0MB,2025-09-24 12:32:11 -0500
recipes/compare/samples,1,86,"{""other"": 1}","{""clip_index"": 1}",recipes/compare/samples/clip_zoom.ps1vars:0.0MB,2025-09-24 11:36:44 -0500
recipes,2,356,"{""script_ps1"": 2}","{""source_code"": 2}",recipes/tsc_example.ps1:0.0MB;recipes/tsc_reel_example.ps1:0.0MB,2025-10-02 12:50:48 -0500
scripts,25,207000,"{""script_ps1"": 13, ""script_py"": 7, ""other"": 5}","{""source_code"": 16, ""asset_overlay"": 1, ""other"": 5, ""clip_index"": 2, ""generated_output"": 1}",scripts/select_events.py:0.0MB;scripts/Build-Reel.ps1:0.0MB;scripts/make_reel.ps1.bak_castfix:0.0MB;scripts/make_reel.ps1.bak_full:0.0MB;scripts/make_reel.ps1:0.0MB,2025-10-02 12:50:48 -0500
scripts/__pycache__,1,9572,"{""other"": 1}","{""generated_output"": 1}",scripts/__pycache__/make_overlay.cpython-313.pyc:0.0MB,2025-09-19 10:36:14 -0500
soccer_highlights,21,161496,"{""script_py"": 21}","{""source_code"": 18, ""log"": 1, ""clip_index"": 2}",soccer_highlights/top10_cheers.py:0.0MB;soccer_highlights/clip_gating.py:0.0MB;soccer_highlights/rank.py:0.0MB;soccer_highlights/goals.py:0.0MB;soccer_highlights/ball_tracker.py:0.0MB,2025-10-02 16:39:19 -0500
soccer_highlights/__pycache__,5,49507,"{""other"": 5}","{""generated_output"": 5}",soccer_highlights/__pycache__/ball_tracker.cpython-313.pyc:0.0MB;soccer_highlights/__pycache__/config.cpython-313.pyc:0.0MB;soccer_highlights/__pycache__/blocking.cpython-313.pyc:0.0MB;soccer_highlights/__pycache__/_pydantic_compat.cpython-313.pyc:0.0MB;soccer_highlights/__pycache__/__init__.cpython-313.pyc:0.0MB,2025-10-02 16:53:44 -0500
tests,8,26205,"{""script_py"": 8}","{""source_code"": 8}",tests/test_top10_cheers.py:0.0MB;tests/test_ball_tracker.py:0.0MB;tests/test_build_up.py:0.0MB;tests/test_pipeline.py:0.0MB;tests/test_blocking.py:0.0MB,2025-10-02 16:58:45 -0500
tools,36,257736,"{""script_ps1"": 7, ""markdown"": 1, ""script_py"": 26, ""other"": 2}","{""source_code"": 28, ""config"": 1, ""clip_index"": 1, ""other"": 2, ""asset_brand"": 4}",tools/index_repo.py:0.0MB;tools/export_reels.py:0.0MB;tools/selector.py:0.0MB;tools/selector.py.bak:0.0MB;tools/smart_select.py.bak:0.0MB,2025-10-07 12:21:30 -0500
tools/__pycache__,19,199917,"{""other"": 19}","{""generated_output"": 19}",tools/__pycache__/export_reels.cpython-313.pyc:0.0MB;tools/__pycache__/selector.cpython-313.pyc:0.0MB;tools/__pycache__/smart_select.cpython-313.pyc:0.0MB;tools/__pycache__/signal_features.cpython-313.pyc:0.0MB;tools/__pycache__/tighten_windows.cpython-313.pyc:0.0MB,2025-09-22 15:35:10 -0500
tools/auto_enhance,3,34108,"{""script_ps1"": 3}","{""source_code"": 3}",tools/auto_enhance/auto_enhance_smartshots.ps1:0.0MB;tools/auto_enhance/auto_enhance_smart.ps1:0.0MB;tools/auto_enhance/auto_enhance.ps1:0.0MB,2025-10-02 10:49:24 -0500
tools/cleanup,1,10696,"{""script_ps1"": 1}","{""source_code"": 1}",tools/cleanup/Clean-SoccerVideo.ps1:0.0MB,2025-09-25 13:43:11 -0500
