label,t0,t1
GOAL_AUDIO,171.79733333333334,191.79733333333334
POST_AUDIO,178.85066666666665,187.85066666666665
GOAL_AUDIO,267.73333333333335,287.73333333333335
POST_AUDIO,274.41333333333336,283.41333333333336
GOAL_AUDIO,697.376,717.376
POST_AUDIO,704.568,713.568
GOAL_AUDIO,1418.2613333333334,1438.2613333333334
POST_AUDIO,1433.9546666666668,1442.9546666666668
GOAL_AUDIO,1912.384,1932.384
POST_AUDIO,1919.1386666666667,1928.1386666666667
GOAL_AUDIO,2027.232,2047.232
GOAL_AUDIO,2279.072,2299.072
GOAL_AUDIO,2819.584,2839.584
POST_AUDIO,2826.7653333333333,2835.7653333333333
GOAL_AUDIO,2860.7573333333335,2880.7573333333335
POST_AUDIO,2902.872,2911.872
POST_AUDIO,3092.2053333333333,3101.2053333333333
GOAL_AUDIO,3095.1253333333334,3115.1253333333334
