shot_idx,start,end,duration,yavg,yrng,sat,cond,contrast,gamma,brightness,saturation,filter
0,0,10,10,134.98,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
1,10,20,10,133.906,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
2,20,30,10,135.484,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
3,30,40,10,135.904,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
4,40,50,10,135.459,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
5,50,60,10,135.076,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
6,60,70,10,134.757,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
7,70,80,10,133.388,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
8,80,90,10,132.435,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
9,90,100,10,137.171,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
10,100,110,10,134.17,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
11,110,120,10,137.536,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
12,120,130,10,137.795,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
13,130,140,10,137.975,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
14,140,150,10,137.774,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
15,150,160,10,137.809,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
16,160,170,10,135.344,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
17,170,180,10,135.88,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
18,180,190,10,134.505,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
19,190,200,10,133.276,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
20,200,210,10,131.558,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
21,210,220,10,135.984,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
22,220,230,10,135.405,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
23,230,240,10,136.188,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
24,240,250,10,133.744,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
25,250,260,10,134.861,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
26,260,270,10,130.817,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
27,270,280,10,134.601,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
28,280,290,10,134.831,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
29,290,300,10,137.27,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
30,300,310,10,136.142,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
31,310,320,10,135.678,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
32,320,330,10,132.41,-1,0,generic,1.22,0.94,-0.035,1.22,"scale=in_range=auto:out_range=tv,eq=contrast=1.22:saturation=1.22:gamma=0.94:brightness=-0.035,format=yuv420p"
