start,end
80.4,87.2
88.6,93.7
94.4,97.4
165.7,169.0
182.2,189.6
212.6,226.5
228.1,233.1
272.1,276.8
288.9,297.5
298.9,302.6
363.1,372.8
414.8,418.2
463.4,468.8
489.1,493.1
512.2,518.9
550.5,554.4
566.9,572.3
589.2,592.7
594.4,600.5
601.0,612.4
620.5,624.9
631.3,635.5
658.8,662.8
706.9,713.1
767.7,771.3
772.1,776.3
777.8,790.8
800.8,804.8
819.2,823.0
829.5,845.8
846.5,853.5
876.1,885.1
948.4,955.0
958.7,962.4
963.0,969.1
984.7,993.7
996.9,1003.5
1043.6,1046.9
1059.7,1063.9
1106.9,1111.2
1173.5,1177.6
1178.8,1185.0
1190.3,1196.1
1288.8,1296.4
1297.1,1300.9
1303.5,1306.7
1307.5,1321.2
1322.1,1335.9
1360.0,1364.3
1369.7,1377.9
1378.5,1382.3
1411.4,1414.8
1438.4,1441.8
1478.9,1483.2
1486.9,1492.8
1498.7,1502.6
1503.1,1509.6
1510.9,1514.0
1550.0,1557.0
1559.7,1563.6
1616.9,1622.0
1628.9,1632.7
1638.2,1642.6
1653.8,1658.5
1660.9,1664.0
1748.0,1751.1
1765.4,1770.3
1855.1,1858.5
1865.7,1869.8
1885.3,1888.5
1908.8,1912.3
1928.1,1931.8
1963.1,1968.0
1970.1,1980.4
2020.5,2023.6
2035.6,2041.1
2123.1,2128.4
2155.4,2158.4
2248.8,2267.3
2267.8,2272.4
2303.6,2308.8
2411.6,2419.5
2449.4,2452.9
2589.9,2596.5
2629.7,2635.5
2640.1,2643.6
2652.4,2658.0
2674.4,2680.8
2688.2,2692.6
2758.6,2761.6
2775.3,2779.0
2784.7,2791.9
2835.3,2838.4
2840.8,2844.2
2897.0,2902.7
2921.5,2926.9
3011.0,3015.8
3019.8,3031.6
3032.1,3035.7
3044.2,3048.9
3052.2,3065.7
3088.7,3092.1
3096.4,3100.3
3105.0,3111.3
3114.9,3121.8
