"Hash","Bucket","Exists","InQuarantine","RelSample","FullPath"
"5807F83F8C7C328954A646D8745F438443FCCBEEC9875AC5286E6C1E912174B6","other","False","False","out\autoframe_work\cinematic\117__1970-01-01__HOME_vs_AWAY__GOAL__t180.80-t191.20_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\117__1970-01-01__HOME_vs_AWAY__GOAL__t180.80-t191.20_portrait_FINAL\follow\stabilized.mp4"
"5807F83F8C7C328954A646D8745F438443FCCBEEC9875AC5286E6C1E912174B6","portrait_branded","True","False","out\portrait_reels\branded\002__GOAL__t180.80-t191.20_portrait_POST.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\002__GOAL__t180.80-t191.20_portrait_POST.mp4"
"3E012DFAF3B3F46D5D0F22CE3BE261D939D9B36848E67BFFA397A9E16B00DA46","other","False","False","out\autoframe_work\cinematic\118__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\118__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_FINAL\follow\stabilized.mp4"
"3E012DFAF3B3F46D5D0F22CE3BE261D939D9B36848E67BFFA397A9E16B00DA46","portrait_branded","True","False","out\portrait_reels\branded\002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_POST.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_POST.mp4"
"4258360D4B1BF67509CC1AA4FBFE7B49DBAF3EF367C80214CD4ED26E579200CE","other","False","False","out\autoframe_work\cinematic\119__1970-01-01__HOME_vs_AWAY__BUILD_UP__t224.80-t248.70_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\119__1970-01-01__HOME_vs_AWAY__BUILD_UP__t224.80-t248.70_portrait_FINAL\follow\stabilized.mp4"
"4258360D4B1BF67509CC1AA4FBFE7B49DBAF3EF367C80214CD4ED26E579200CE","portrait_branded","True","False","out\portrait_reels\branded\003__BUILD_UP__t224.80-t248.70_portrait_POST.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\003__BUILD_UP__t224.80-t248.70_portrait_POST.mp4"
"43BE1FD006412F358ABD487B98BED7F0EEBCB2D5B8BB9D22129B10711D723396","other","False","False","out\autoframe_work\cinematic\120__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t421.00-t441.00_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\120__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t421.00-t441.00_portrait_FINAL\follow\stabilized.mp4"
"43BE1FD006412F358ABD487B98BED7F0EEBCB2D5B8BB9D22129B10711D723396","portrait_branded","True","False","out\portrait_reels\branded\003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t421.00-t441.00_portrait_POST.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t421.00-t441.00_portrait_POST.mp4"
"C749557357232680CF8EAC03DA5C665433F2C6D70DA0A380854C7F6FFFCC9632","other","False","False","out\autoframe_work\cinematic\121__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_FINAL\follow\stabilized.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\121__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_FINAL\follow\stabilized.mp4"
"C749557357232680CF8EAC03DA5C665433F2C6D70DA0A380854C7F6FFFCC9632","portrait_branded","True","False","out\portrait_reels\branded\003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_POST.mp4","C:\Users\scott\soccer-video\out\portrait_reels\branded\003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_POST.mp4"
