"Hash","KeepRel","RelativePath","FullPath","SizeBytes","Reason"
"6C9229CF95123F0561A67A4F33EE75C828F66ADBC0ED6043573F76FFC1A3559F","out\_TRASH_2025-10-07_121924\DUPES\highlight_streak_1.mp4","highlight_center10.mp4","C:\Users\scott\soccer-video\highlight_center10.mp4","17860994","keep-other"
"6C9229CF95123F0561A67A4F33EE75C828F66ADBC0ED6043573F76FFC1A3559F","out\_TRASH_2025-10-07_121924\DUPES\highlight_streak_1.mp4","out\_TRASH_2025-10-07_121924\DUPES\highlight_window.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\highlight_window.mp4","17860994","keep-other"
"A76006F1AC9272D10A36637E5300DAF90132D8DCAC344C0DED7FC4DB0CADA5E1","out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00__v2.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00__v2.mp4","3039710","keep-atomic_clips"
"A76006F1AC9272D10A36637E5300DAF90132D8DCAC344C0DED7FC4DB0CADA5E1","out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00__v3.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00__v3.mp4","3039710","keep-atomic_clips"
"D7197720346CD5EF66355A85C2AA9B4A633FFA6928A7AE45ED512B0FD687C666","out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00__v2.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00__v2.mp4","866337","keep-atomic_clips"
"D7197720346CD5EF66355A85C2AA9B4A633FFA6928A7AE45ED512B0FD687C666","out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00__v3.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00__v3.mp4","866337","keep-atomic_clips"
"8685579BC00224DAE41E436309A15935FCFA8AA54A88355A4C6C3F00CD2804D5","out\atomic_clips\_quarantine\002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00__v2.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00__v2.mp4","3039710","keep-atomic_clips"
"8685579BC00224DAE41E436309A15935FCFA8AA54A88355A4C6C3F00CD2804D5","out\atomic_clips\_quarantine\002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00__v3.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00__v3.mp4","3039710","keep-atomic_clips"
"C04B20113E35A3606A189399752F098047C3EA3CD7798A089A2D523E8247FDDA","out\atomic_clips\_quarantine\002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00__v2.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00__v2.mp4","866337","keep-atomic_clips"
"C04B20113E35A3606A189399752F098047C3EA3CD7798A089A2D523E8247FDDA","out\atomic_clips\_quarantine\002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00__v3.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_atomic_clips__quarantine_002__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t7920.00-t8880.00__v3.mp4","866337","keep-atomic_clips"
