"base","in_path","bytes","out_exists","out_count","out_sample","telemetry_present","ball_jsonl","red_ball_jsonl","folder"
"001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.mp4","16096814","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC"
"001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.mp4","6981570","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC"
"001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.mp4","5518999","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC"
"001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4","4801306","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC"
"001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4","3579645","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC"
"001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4","1531954","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC"
"001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4","791634","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC"
"001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4","706223","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC"
"001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00.mp4","41531230","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood"
"001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t18900.00-t20340.00.mp4","3039710","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine"
