"RelativePath","FullPath","SizeBytes","LastWriteTime","Hash"
"out\detect_events.log","C:\Users\scott\soccer-video\out\detect_events.log","1664","10/17/2025 4:12:50 PM",""
"out\filter_motion.log","C:\Users\scott\soccer-video\out\filter_motion.log","1354","10/17/2025 4:12:50 PM",""
"out\goal_resets.log","C:\Users\scott\soccer-video\out\goal_resets.log","1590","10/17/2025 4:12:50 PM",""
"out\index_repo.log","C:\Users\scott\soccer-video\out\index_repo.log","3164","10/7/2025 12:35:47 PM",""
"out\make_all.log","C:\Users\scott\soccer-video\out\make_all.log","3418604","10/17/2025 4:12:50 PM",""
"out\make_top10.log","C:\Users\scott\soccer-video\out\make_top10.log","134954","10/17/2025 4:12:50 PM",""
"out\shrink.log","C:\Users\scott\soccer-video\out\shrink.log","94","10/17/2025 4:12:50 PM",""
"out\smart_zoom_A.log","C:\Users\scott\soccer-video\out\smart_zoom_A.log","6274","10/17/2025 4:12:50 PM",""
"out\inventory\inventory_root_run.log","C:\Users\scott\soccer-video\out\inventory\inventory_root_run.log","981","11/3/2025 6:18:18 AM",""
"out\inventory\R15_robocopy_20251107_084815.log","C:\Users\scott\soccer-video\out\inventory\R15_robocopy_20251107_084815.log","224","11/7/2025 8:48:22 AM",""
"out\logs\02_detect_events.log","C:\Users\scott\soccer-video\out\logs\02_detect_events.log","1472","10/17/2025 4:12:50 PM",""
"out\logs\05_filter_by_action.log","C:\Users\scott\soccer-video\out\logs\05_filter_by_action.log","982","10/17/2025 4:12:50 PM",""
"out\logs\06_detect_goal_resets.log","C:\Users\scott\soccer-video\out\logs\06_detect_goal_resets.log","1558","10/17/2025 4:12:50 PM",""
"out\portrait_reels_autopick\logs\DJI_20251001_195823_805_video 1.log","C:\Users\scott\soccer-video\out\portrait_reels_autopick\logs\DJI_20251001_195823_805_video 1.log","616","10/3/2025 2:29:04 PM",""
"out\portrait_reels_autopick\logs\DJI_20251001_195823_805_video.log","C:\Users\scott\soccer-video\out\portrait_reels_autopick\logs\DJI_20251001_195823_805_video.log","448","10/3/2025 2:31:01 PM",""
"out\portrait_reels_autopick\logs\DJI_20251001_203314_740_video.log","C:\Users\scott\soccer-video\out\portrait_reels_autopick\logs\DJI_20251001_203314_740_video.log","444","10/3/2025 2:28:03 PM",""
"out\portrait_reels_autopick\vars\DJI_20251001_195823_805_video 1.error.log","C:\Users\scott\soccer-video\out\portrait_reels_autopick\vars\DJI_20251001_195823_805_video 1.error.log","398","10/3/2025 3:12:20 PM",""
"out\portrait_reels_multiselect\vars\DJI_20251001_195823_805_video 1.error.log","C:\Users\scott\soccer-video\out\portrait_reels_multiselect\vars\DJI_20251001_195823_805_video 1.error.log","389","10/3/2025 9:05:10 PM",""
"out\render_logs\003__RAW__t0.00-t0.00.final.log","C:\Users\scott\soccer-video\out\render_logs\003__RAW__t0.00-t0.00.final.log","98","10/13/2025 6:26:52 AM",""
"out\render_logs\tester_022__SHOT.log","C:\Users\scott\soccer-video\out\render_logs\tester_022__SHOT.log","178","10/9/2025 11:53:14 AM",""
"out\render_logs\tester_022__SHOT_FINAL.log","C:\Users\scott\soccer-video\out\render_logs\tester_022__SHOT_FINAL.log","178","10/9/2025 2:27:58 PM",""
