"Key","KeeperPath","KeeperBytes","CandidatePath","CandidateBytes","SizeDeltaPct"
"1080x1920@19.9s","out\reels\portrait_1080x1920\_quarantine\004__GOAL__t266.50-t283.10.mp4","33056889","out\portrait_reels\reels\004__GOAL__t266.50-t283.10_portrait.mp4","24195629","26.81"
"1080x1920@19.9s","out\reels\portrait_1080x1920\_quarantine\004__GOAL__t266.50-t283.10.mp4","33056889","out\portrait_reels\branded\004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10_portrait_POST.mp4","21678991","34.42"
"1080x1920@19.9s","out\reels\portrait_1080x1920\_quarantine\004__GOAL__t266.50-t283.10.mp4","33056889","out\reels\first_game\vertical\004__GOAL__t266.50-t283.10__VERT.mp4","13994085","57.67"
"1080x1920@19.9s","out\reels\portrait_1080x1920\_quarantine\004__GOAL__t266.50-t283.10.mp4","33056889","out\reels\portrait_1080x1920\004__GOAL__t266.50-t283.10.mp4","11526343","65.13"
"1080x1920@10s","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_Greenwood\036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2705.00-t2715.00_portrait_POST.mp4","41702544","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_Greenwood\014__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1063.00-t1073.00_portrait_POST.mp4","39214083","5.97"
"1080x1920@10s","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_Greenwood\036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2705.00-t2715.00_portrait_POST.mp4","41702544","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_RVFC\026__2025-09-20__TSC_vs_RVFC__DRIBBLING_SHOT__t1800.00-t1810.00_portrait_POST.mp4","37198841","10.8"
"1080x1920@10s","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_Greenwood\036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2705.00-t2715.00_portrait_POST.mp4","41702544","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_Greenwood\025__2025-09-20__TSC_vs_Greenwood__GOAL__t1885.00-t1895.00_portrait_POST.mp4","36435815","12.63"
"1080x1920@10s","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_Greenwood\036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2705.00-t2715.00_portrait_POST.mp4","41702544","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_RVFC\041__2025-09-20__TSC_vs_RVFC__CORNER__t2712.00-t2722.00_portrait_POST.mp4","34277098","17.81"
"1080x1920@10s","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_Greenwood\036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2705.00-t2715.00_portrait_POST.mp4","41702544","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_RVFC\029__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t1883.00-t1893.00_portrait_POST.mp4","34260675","17.85"
"1080x1920@10s","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_Greenwood\036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2705.00-t2715.00_portrait_POST.mp4","41702544","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_Greenwood\024__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1871.00-t1881.00_portrait_POST.mp4","32721570","21.54"
"1080x1920@10s","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_Greenwood\036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2705.00-t2715.00_portrait_POST.mp4","41702544","out\reels\portrait_1080x1920\misc\001__SHOT__t135.00-t145.00.__DEBUG_FINAL.mp4","28318806","32.09"
"1080x1920@10s","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_Greenwood\036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2705.00-t2715.00_portrait_POST.mp4","41702544","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_RVFC\022__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t1300.00-t1310.00_portrait_POST.mp4","27857422","33.2"
"1080x1920@10s","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_Greenwood\036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2705.00-t2715.00_portrait_POST.mp4","41702544","out\reels\portrait_1080x1920\2025-10-12__TSC_SLSG_FallFestival\001__SHOT__t135.00-t145.00.__DEBUG_FINAL.mp4","20151252","51.68"
"1080x1920@10s","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_Greenwood\036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2705.00-t2715.00_portrait_POST.mp4","41702544","out\reels\portrait_1080x1920\2025-10-12__TSC_SLSG_FallFestival\001__SHOT__t135.00-t145.00.mp4","19167681","54.04"
"1080x1920@10s","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_Greenwood\036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2705.00-t2715.00_portrait_POST.mp4","41702544","out\branded_clips\REELS\2025-09-20__TSC_vs_RVFC\029__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t1883.00-t1893.00_portrait_POST__REEL.mp4","18890206","54.7"
"1080x1920@10s","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_Greenwood\036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2705.00-t2715.00_portrait_POST.mp4","41702544","out\reels\portrait_1080x1920\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.mp4","18860998","54.77"
"1080x1920@10s","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_Greenwood\036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2705.00-t2715.00_portrait_POST.mp4","41702544","out\branded_clips\REELS\2025-09-20__TSC_vs_RVFC\026__2025-09-20__TSC_vs_RVFC__DRIBBLING_SHOT__t1800.00-t1810.00_portrait_POST__REEL.mp4","18855672","54.79"
"1080x1920@10s","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_Greenwood\036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2705.00-t2715.00_portrait_POST.mp4","41702544","out\branded_clips\REELS\2025-09-20__TSC_vs_Greenwood\024__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1871.00-t1881.00_portrait_POST__REEL.mp4","18807342","54.9"
"1080x1920@10s","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_Greenwood\036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2705.00-t2715.00_portrait_POST.mp4","41702544","out\branded_clips\REELS\2025-09-20__TSC_vs_Greenwood\036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2705.00-t2715.00_portrait_POST__REEL.mp4","18730110","55.09"
"1080x1920@10s","out\reels\portrait_1080x1920\2025-09-20__TSC_vs_Greenwood\036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2705.00-t2715.00_portrait_POST.mp4","41702544","out\branded_clips\REELS\2025-09-20__TSC_vs_Greenwood\025__2025-09-20__TSC_vs_Greenwood__GOAL__t1885.00-t1895.00_portrait_POST__REEL.mp4","18729936","55.09"
