"RelativePath","FullPath","SizeBytes","LastWriteTime","FirstLine","Functions","PurposeGuess","SuggestedMode"
".git\logs\refs\heads\codex\add-cli-arguments-to-track_ball_cli.py","C:\Users\scott\soccer-video\.git\logs\refs\heads\codex\add-cli-arguments-to-track_ball_cli.py","0","10/17/2025 1:21:07 PM","","","","Inventory"
".git\logs\refs\heads\codex\add-ignore-rules-to-scan-atomicclips.ps1","C:\Users\scott\soccer-video\.git\logs\refs\heads\codex\add-ignore-rules-to-scan-atomicclips.ps1","0","10/17/2025 1:21:07 PM","","","","Inventory"
".git\logs\refs\heads\codex\add-outfile-parameter-to-make_opener.ps1","C:\Users\scott\soccer-video\.git\logs\refs\heads\codex\add-outfile-parameter-to-make_opener.ps1","0","10/17/2025 1:21:07 PM","","","","Inventory"
".git\logs\refs\heads\codex\fix-coordinate-space-bug-in-ball_path_planner_imm.py","C:\Users\scott\soccer-video\.git\logs\refs\heads\codex\fix-coordinate-space-bug-in-ball_path_planner_imm.py","0","10/17/2025 1:21:07 PM","","","","Plan"
".git\logs\refs\heads\codex\fix-python-indentationerror-in-render_follow_unified.py","C:\Users\scott\soccer-video\.git\logs\refs\heads\codex\fix-python-indentationerror-in-render_follow_unified.py","0","10/17/2025 1:21:07 PM","","","","Inventory"
".git\logs\refs\heads\codex\fix-script-invocation-in-batch_make_openers.ps1","C:\Users\scott\soccer-video\.git\logs\refs\heads\codex\fix-script-invocation-in-batch_make_openers.ps1","0","10/17/2025 1:21:07 PM","","","","Inventory"
".git\logs\refs\heads\codex\implement-dynamic-follow-and-zoom-in-autoframe.py","C:\Users\scott\soccer-video\.git\logs\refs\heads\codex\implement-dynamic-follow-and-zoom-in-autoframe.py","0","10/17/2025 1:21:07 PM","","","","Inventory"
".git\logs\refs\heads\codex\make-cataloging-recursive-in-build-atomicindex.ps1","C:\Users\scott\soccer-video\.git\logs\refs\heads\codex\make-cataloging-recursive-in-build-atomicindex.ps1","0","10/17/2025 1:21:07 PM","","","","Index"
".git\logs\refs\heads\codex\overwrite-render_follow_cli.py","C:\Users\scott\soccer-video\.git\logs\refs\heads\codex\overwrite-render_follow_cli.py","0","10/17/2025 1:21:07 PM","","","","Inventory"
".git\logs\refs\heads\codex\refactor-track_ball_cli.py-and-plan_render_cli.py","C:\Users\scott\soccer-video\.git\logs\refs\heads\codex\refactor-track_ball_cli.py-and-plan_render_cli.py","0","10/17/2025 1:21:07 PM","","","","Plan"
".git\logs\refs\heads\codex\replace-filter-blocks-in-make_team_opener_short.ps1","C:\Users\scott\soccer-video\.git\logs\refs\heads\codex\replace-filter-blocks-in-make_team_opener_short.ps1","0","10/17/2025 1:21:07 PM","","","","Inventory"
".git\logs\refs\heads\codex\stop-snapping-to-decoys-in-ball_path_planner_imm.py","C:\Users\scott\soccer-video\.git\logs\refs\heads\codex\stop-snapping-to-decoys-in-ball_path_planner_imm.py","0","10/17/2025 1:21:07 PM","","","","Plan"
".git\logs\refs\heads\codex\update-crop-logic-in-render_follow_cli.py","C:\Users\scott\soccer-video\.git\logs\refs\heads\codex\update-crop-logic-in-render_follow_cli.py","0","10/17/2025 1:21:07 PM","","","","Inventory"
".git\logs\refs\heads\codex\update-filtergraph-in-make_team_opener_short.ps1","C:\Users\scott\soccer-video\.git\logs\refs\heads\codex\update-filtergraph-in-make_team_opener_short.ps1","0","10/17/2025 1:21:07 PM","","","","Inventory"
".git\logs\refs\heads\codex\update-font-usage-in-make_team_opener_short.ps1","C:\Users\scott\soccer-video\.git\logs\refs\heads\codex\update-font-usage-in-make_team_opener_short.ps1","0","10/17/2025 1:21:07 PM","","","","Inventory"
".git\logs\refs\heads\codex\update-loop-in-make_reel.ps1","C:\Users\scott\soccer-video\.git\logs\refs\heads\codex\update-loop-in-make_reel.ps1","0","10/17/2025 1:21:07 PM","","","","Inventory"
".git\logs\refs\heads\codex\update-telemetry-in-render_follow_unified.py","C:\Users\scott\soccer-video\.git\logs\refs\heads\codex\update-telemetry-in-render_follow_unified.py","0","10/17/2025 1:21:07 PM","","","","Inventory"
".git\logs\refs\remotes\origin\codex\add-cli-arguments-to-track_ball_cli.py","C:\Users\scott\soccer-video\.git\logs\refs\remotes\origin\codex\add-cli-arguments-to-track_ball_cli.py","162","10/17/2025 4:12:47 PM","0000000000000000000000000000000000000000 89d802462d3aea14169348d5e7b4589669341a71 Scott Briggs <sbriggssjc@gmail.com> 1760735567 -0500	fetch origin: storing head","","","Inventory"
".git\logs\refs\remotes\origin\codex\add-edge-aware-zoom-to-render_follow_unified.py","C:\Users\scott\soccer-video\.git\logs\refs\remotes\origin\codex\add-edge-aware-zoom-to-render_follow_unified.py","155","10/21/2025 3:10:08 PM","0000000000000000000000000000000000000000 fa9a52622dbf5787e189b71c3dca55d5f1ff24f9 Scott Briggs <sbriggssjc@gmail.com> 1761077408 -0500	fetch: storing head","","","Inventory"
".git\logs\refs\remotes\origin\codex\add-ignore-rules-to-scan-atomicclips.ps1","C:\Users\scott\soccer-video\.git\logs\refs\remotes\origin\codex\add-ignore-rules-to-scan-atomicclips.ps1","162","10/17/2025 4:12:47 PM","0000000000000000000000000000000000000000 416e98e741b533d48b64ac505e37a40ee55c7a1b Scott Briggs <sbriggssjc@gmail.com> 1760735567 -0500	fetch origin: storing head","","","Inventory"
".git\logs\refs\remotes\origin\codex\add-outfile-parameter-to-make_opener.ps1","C:\Users\scott\soccer-video\.git\logs\refs\remotes\origin\codex\add-outfile-parameter-to-make_opener.ps1","162","10/17/2025 4:12:47 PM","0000000000000000000000000000000000000000 6c492b6154d877ef41ac25e9540a9c49785bc891 Scott Briggs <sbriggssjc@gmail.com> 1760735567 -0500	fetch origin: storing head","","","Inventory"
".git\logs\refs\remotes\origin\codex\fix-coordinate-space-bug-in-ball_path_planner_imm.py","C:\Users\scott\soccer-video\.git\logs\refs\remotes\origin\codex\fix-coordinate-space-bug-in-ball_path_planner_imm.py","162","10/17/2025 4:12:47 PM","0000000000000000000000000000000000000000 a8f600b05cd214cb58717cfcb003b267dc54a1f3 Scott Briggs <sbriggssjc@gmail.com> 1760735567 -0500	fetch origin: storing head","","","Plan"
".git\logs\refs\remotes\origin\codex\fix-python-indentationerror-in-render_follow_unified.py","C:\Users\scott\soccer-video\.git\logs\refs\remotes\origin\codex\fix-python-indentationerror-in-render_follow_unified.py","162","10/17/2025 4:12:48 PM","0000000000000000000000000000000000000000 c3bb0ea0b82d885cdfc65dfc0f181da5a463e24f Scott Briggs <sbriggssjc@gmail.com> 1760735567 -0500	fetch origin: storing head","","","Inventory"
".git\logs\refs\remotes\origin\codex\fix-script-invocation-in-batch_make_openers.ps1","C:\Users\scott\soccer-video\.git\logs\refs\remotes\origin\codex\fix-script-invocation-in-batch_make_openers.ps1","162","10/17/2025 4:12:48 PM","0000000000000000000000000000000000000000 ec2e673759b6dbb937b75bcce2591bbb206be802 Scott Briggs <sbriggssjc@gmail.com> 1760735567 -0500	fetch origin: storing head","","","Inventory"
".git\logs\refs\remotes\origin\codex\fix-zoom-calculation-in-render_follow_unified.py","C:\Users\scott\soccer-video\.git\logs\refs\remotes\origin\codex\fix-zoom-calculation-in-render_follow_unified.py","155","10/21/2025 9:52:18 PM","0000000000000000000000000000000000000000 9b718740b9cdf1fd204c2790cf86acd888018caa Scott Briggs <sbriggssjc@gmail.com> 1761101538 -0500	fetch: storing head","","","Inventory"
".git\logs\refs\remotes\origin\codex\implement-dynamic-follow-and-zoom-in-autoframe.py","C:\Users\scott\soccer-video\.git\logs\refs\remotes\origin\codex\implement-dynamic-follow-and-zoom-in-autoframe.py","162","10/17/2025 4:12:48 PM","0000000000000000000000000000000000000000 83450dff99ef344caf32b7056e453d5f09b2821d Scott Briggs <sbriggssjc@gmail.com> 1760735567 -0500	fetch origin: storing head","","","Inventory"
".git\logs\refs\remotes\origin\codex\make-cataloging-recursive-in-build-atomicindex.ps1","C:\Users\scott\soccer-video\.git\logs\refs\remotes\origin\codex\make-cataloging-recursive-in-build-atomicindex.ps1","162","10/17/2025 4:12:48 PM","0000000000000000000000000000000000000000 5b9e0a308a5ad6c0d03bfaccd2924a4661a0082f Scott Briggs <sbriggssjc@gmail.com> 1760735567 -0500	fetch origin: storing head","","","Index"
