"RelativePath","FullPath","SizeBytes","LastWriteTime","Extension","Duration","Width","Height","Hash","Status"
".gitattributes","C:\Users\scott\soccer-video\.gitattributes","201","10/19/2025 2:32:36 PM",".gitattributes","","","","148BABE5376B9FDD6DBD845683B445BD25EF8D70D1268A2B93D6643AD4AA737A","ORPHAN"
".gitignore","C:\Users\scott\soccer-video\.gitignore","511","10/24/2025 7:19:21 AM",".gitignore","","","","CECB4B017838C2D5D20C17C946DB69DA8880A46026FC30666E46FAAA3D33B2E3","ORPHAN"
".git_last_push_log.txt","C:\Users\scott\soccer-video\.git_last_push_log.txt","1460","10/8/2025 10:04:38 AM",".txt","","","","127D7B6ED33D9AE8DB49B3CBE7B7DD88FD3D281EE4262CC96D57790703FD24A0","ORPHAN"
"02_detect_events.py","C:\Users\scott\soccer-video\02_detect_events.py","17283","9/17/2025 9:45:37 PM",".py","","","","4DB68D64104A648333193644439596B8A29BD9D6CF6F80224F1F873758248E2D","ORPHAN"
"02_detect_scenes.py","C:\Users\scott\soccer-video\02_detect_scenes.py","4353","9/14/2025 9:52:37 AM",".py","","","","47687C7C47312CAE95C7AAE64198D852743C76E983EF1CF29EBE891EA7B68D7C","ORPHAN"
"03_motion_zoom.py","C:\Users\scott\soccer-video\03_motion_zoom.py","7632","9/16/2025 7:10:31 AM",".py","","","","2D32340B6FC45113F119C1B22B30DDDCC0F1B210658F03C85C8FB9236961439E","ORPHAN"
"03_shrink_highlights.py","C:\Users\scott\soccer-video\03_shrink_highlights.py","3973","9/14/2025 7:00:14 PM",".py","","","","9F5380A8A7AA0D8111DF1A4146D6757F0DD62270CB0E0109F0B85AD936E84BC9","ORPHAN"
"03_smart_shrink.py","C:\Users\scott\soccer-video\03_smart_shrink.py","10204","9/15/2025 10:45:59 AM",".py","","","","517DAFF70CEBE074C2CA6B7B76A43530CC7D877CB80D32BF65A40E300A5E1477","ORPHAN"
"04_make_highlights.py","C:\Users\scott\soccer-video\04_make_highlights.py","3667","9/16/2025 10:47:04 PM",".py","","","","8226CE3673637A29F1E41B8070BB312DA89BCD0A6020E91B724DF0A5C89F7C76","ORPHAN"
"05b_filter_action_cv.py","C:\Users\scott\soccer-video\05b_filter_action_cv.py","26649","9/17/2025 9:45:37 PM",".py","","","","13B19DC97ACB7A2B00084C478162FD2131DF25AFC02EE91D018B5E8855D382A0","ORPHAN"
"05_filter_by_motion.py","C:\Users\scott\soccer-video\05_filter_by_motion.py","19749","9/18/2025 12:54:10 PM",".py","","","","4BBBF82EA52178902F0DD7A5BFB95A0285802D9E035636E077EC381EF762874C","ORPHAN"
"05_smart_top10.py","C:\Users\scott\soccer-video\05_smart_top10.py","4817","9/15/2025 10:46:48 AM",".py","","","","8933D7023792BF21E0EAB1DBAF91A95E249C0B03E201106FED32C6567CB822D4","ORPHAN"
"06_detect_goal_resets.py","C:\Users\scott\soccer-video\06_detect_goal_resets.py","6039","9/15/2025 10:46:33 AM",".py","","","","9767295D1E33B268FA75A1BBA24FD835E189DBBF140957360A02A206B39EB1BC","ORPHAN"
"07_force_goals.py","C:\Users\scott\soccer-video\07_force_goals.py","2961","9/16/2025 4:56:15 PM",".py","","","","0E7628DD0C98E15B0D87C77410124D4CB032FA315E0E3244B5117164BFB3C085","ORPHAN"
"07_merge_csv.py","C:\Users\scott\soccer-video\07_merge_csv.py","1476","9/15/2025 10:46:33 AM",".py","","","","5105D5C49A5CC8F9D8BBE772ADCDBC320E1D2F40495A800ADF3A3D0997CADECD","ORPHAN"
"08b_build_top10_cheers.py","C:\Users\scott\soccer-video\08b_build_top10_cheers.py","3810","9/17/2025 6:52:10 AM",".py","","","","F77CFC5928ADEA86F70EFE842A1E5249556D59ECCE5B93955536C41D1E2B2902","ORPHAN"
"08_build_top10.py","C:\Users\scott\soccer-video\08_build_top10.py","2030","9/16/2025 4:56:15 PM",".py","","","","D96C099E5611F40A3F74DA2208455DCD5A95C5AF54593D3197EF730AF3468BD2","ORPHAN"
"09_detect_cheers.py","C:\Users\scott\soccer-video\09_detect_cheers.py","2972","9/16/2025 11:16:27 PM",".py","","","","A5FB1F218CD6366BDE53071B8EB0854B5DA8B93BA08589C25782EC3FEFC97561","ORPHAN"
"09_split_inplay.py","C:\Users\scott\soccer-video\09_split_inplay.py","3650","9/17/2025 4:30:48 PM",".py","","","","6DDA4E00947D920C699EBC40B9BD3217415B2183CD4EA4AEE8248C41338B62A9","ORPHAN"
"10_rank_highlights.py","C:\Users\scott\soccer-video\10_rank_highlights.py","7441","9/17/2025 9:45:37 PM",".py","","","","8361B4772CD9C8F5C37EB3EE83FFFB91163E0437DA8D7B6B51D377A176DB8AB3","ORPHAN"
"action_director.py","C:\Users\scott\soccer-video\action_director.py","14582","9/26/2025 12:41:36 PM",".py","","","","1FE0258FDCA9FEAC828EDF6EB7E3E8B32C4C4EF50FFC5D124D71AE6D26FAC172","ORPHAN"
"Add-TSCOpener.ps1","C:\Users\scott\soccer-video\Add-TSCOpener.ps1","13315","10/14/2025 8:16:02 AM",".ps1","","","","1DB89802AEF7320752E5CEBE2DC84CD32AEACA5B3970A5894B17C369D2DA8FE0","ORPHAN"
"analyze_tracking.py","C:\Users\scott\soccer-video\analyze_tracking.py","1330","10/5/2025 7:29:13 PM",".py","","","","CF075D2FDE95F5482F9753ECE965F6853E7A6DE36F5A780068AE74A7462C23B5","ORPHAN"
"AtomicClips.All.csv","C:\Users\scott\soccer-video\AtomicClips.All.csv","93320","10/15/2025 2:21:32 PM",".csv","","","","25A1323131AF52E25FBE86EE865EDA583E784C1DD6C8A31C911FE5813B5819B4","ORPHAN"
"AtomicClips.BranedOrphans.csv","C:\Users\scott\soccer-video\AtomicClips.BranedOrphans.csv","0","10/11/2025 1:03:43 PM",".csv","","","","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","ORPHAN"
"AtomicClips.Manifest.csv","C:\Users\scott\soccer-video\AtomicClips.Manifest.csv","29869","10/14/2025 8:02:25 AM",".csv","","","","BD987B16B73F0B699603E49BA7EFF97AB076AC3DB4322B65500F2567275B9233","ORPHAN"
"AtomicClips.Manifest.json","C:\Users\scott\soccer-video\AtomicClips.Manifest.json","57960","10/14/2025 8:02:25 AM",".json","","","","","ORPHAN"
"AtomicClips.MissingByStage.csv","C:\Users\scott\soccer-video\AtomicClips.MissingByStage.csv","43","10/11/2025 1:03:43 PM",".csv","","","","E4E489C073D5E966AE2489712804BE5B705CC49163C3D7B3DE6632157DDC2756","ORPHAN"
