"RelativePath","FullPath","SizeBytes","LastWriteTime","Hash"
"02_detect_events.py","C:\Users\scott\soccer-video\02_detect_events.py","17283","9/17/2025 9:45:37 PM",""
"02_detect_scenes.py","C:\Users\scott\soccer-video\02_detect_scenes.py","4353","9/14/2025 9:52:37 AM",""
"03_motion_zoom.py","C:\Users\scott\soccer-video\03_motion_zoom.py","7632","9/16/2025 7:10:31 AM",""
"03_shrink_highlights.py","C:\Users\scott\soccer-video\03_shrink_highlights.py","3973","9/14/2025 7:00:14 PM",""
"03_smart_shrink.py","C:\Users\scott\soccer-video\03_smart_shrink.py","10204","9/15/2025 10:45:59 AM",""
"04_make_highlights.py","C:\Users\scott\soccer-video\04_make_highlights.py","3667","9/16/2025 10:47:04 PM",""
"05b_filter_action_cv.py","C:\Users\scott\soccer-video\05b_filter_action_cv.py","26649","9/17/2025 9:45:37 PM",""
"05_filter_by_motion.py","C:\Users\scott\soccer-video\05_filter_by_motion.py","19749","9/18/2025 12:54:10 PM",""
"05_make_social_reel.sh","C:\Users\scott\soccer-video\05_make_social_reel.sh","1689","9/15/2025 8:08:52 AM",""
"05_smart_top10.py","C:\Users\scott\soccer-video\05_smart_top10.py","4817","9/15/2025 10:46:48 AM",""
"06_detect_goal_resets.py","C:\Users\scott\soccer-video\06_detect_goal_resets.py","6039","9/15/2025 10:46:33 AM",""
"07_force_goals.py","C:\Users\scott\soccer-video\07_force_goals.py","2961","9/16/2025 4:56:15 PM",""
"07_merge_csv.py","C:\Users\scott\soccer-video\07_merge_csv.py","1476","9/15/2025 10:46:33 AM",""
"08b_build_top10_cheers.py","C:\Users\scott\soccer-video\08b_build_top10_cheers.py","3810","9/17/2025 6:52:10 AM",""
"08_build_top10.py","C:\Users\scott\soccer-video\08_build_top10.py","2030","9/16/2025 4:56:15 PM",""
"09_detect_cheers.py","C:\Users\scott\soccer-video\09_detect_cheers.py","2972","9/16/2025 11:16:27 PM",""
"09_split_inplay.py","C:\Users\scott\soccer-video\09_split_inplay.py","3650","9/17/2025 4:30:48 PM",""
"10_rank_highlights.py","C:\Users\scott\soccer-video\10_rank_highlights.py","7441","9/17/2025 9:45:37 PM",""
"action_director.py","C:\Users\scott\soccer-video\action_director.py","14582","9/26/2025 12:41:36 PM",""
"Add-TSCOpener.ps1","C:\Users\scott\soccer-video\Add-TSCOpener.ps1","13315","10/14/2025 8:16:02 AM",""
"analyze_tracking.py","C:\Users\scott\soccer-video\analyze_tracking.py","1330","10/5/2025 7:29:13 PM",""
"AtomicClips.All.csv","C:\Users\scott\soccer-video\AtomicClips.All.csv","93320","10/15/2025 2:21:32 PM",""
"AtomicClips.Manifest.csv","C:\Users\scott\soccer-video\AtomicClips.Manifest.csv","29869","10/14/2025 8:02:25 AM",""
"AtomicClips.Manifest.json","C:\Users\scott\soccer-video\AtomicClips.Manifest.json","57960","10/14/2025 8:02:25 AM",""
"AtomicClips.MissingByStage.csv","C:\Users\scott\soccer-video\AtomicClips.MissingByStage.csv","43","10/11/2025 1:03:43 PM",""
"AtomicClips.MissingReport.csv","C:\Users\scott\soccer-video\AtomicClips.MissingReport.csv","17280","10/14/2025 8:02:25 AM",""
"AtomicClips.Status.csv","C:\Users\scott\soccer-video\AtomicClips.Status.csv","11672","10/14/2025 8:02:25 AM",""
"AtomicClips.Status.json","C:\Users\scott\soccer-video\AtomicClips.Status.json","35864","10/14/2025 8:02:25 AM",""
"AtomicClips.Todo.csv","C:\Users\scott\soccer-video\AtomicClips.Todo.csv","88244","10/15/2025 2:21:32 PM",""
"atomic_clips_audit_20251019_142420.csv","C:\Users\scott\soccer-video\atomic_clips_audit_20251019_142420.csv","35161","10/19/2025 2:24:20 PM",""
"atomic_clips_audit_20251019_144315.csv","C:\Users\scott\soccer-video\atomic_clips_audit_20251019_144315.csv","33510","10/19/2025 2:43:15 PM",""
"atomic_clips_audit_20251019_181804.csv","C:\Users\scott\soccer-video\atomic_clips_audit_20251019_181804.csv","65161","10/19/2025 6:18:04 PM",""
"atomic_clips_audit_20251020_071001.csv","C:\Users\scott\soccer-video\atomic_clips_audit_20251020_071001.csv","34786","10/20/2025 7:10:01 AM",""
"atomic_clips_audit_20251020_073924.csv","C:\Users\scott\soccer-video\atomic_clips_audit_20251020_073924.csv","34294","10/20/2025 7:39:24 AM",""
"atomic_clips_audit_20251020_083310.csv","C:\Users\scott\soccer-video\atomic_clips_audit_20251020_083310.csv","76546","10/20/2025 8:33:10 AM",""
"atomic_clips_audit_20251020_161938.csv","C:\Users\scott\soccer-video\atomic_clips_audit_20251020_161938.csv","7192","10/20/2025 4:19:38 PM",""
"atomic_clips_audit_20251020_163158.csv","C:\Users\scott\soccer-video\atomic_clips_audit_20251020_163158.csv","6655","10/20/2025 4:31:58 PM",""
"atomic_clips_index.merged.csv","C:\Users\scott\soccer-video\atomic_clips_index.merged.csv","19428","10/14/2025 8:02:25 AM",""
"atomic_clips_index.merged.json","C:\Users\scott\soccer-video\atomic_clips_index.merged.json","28546","10/14/2025 8:02:25 AM",""
