"Extension","Count","TotalBytes"
".mp4","2760","209327467981"
".jpg","162897","73210138099"
".png","885","2766265127"
".avi","17","2078853096"
".bak_fixparam","1","932942562"
".bak_fixtaildots","1","932940402"
".bak_fixcountersline","1","932779746"
".lib","155","908752672"
".jsonl","8111","908594092"
".dll","30","504608488"
".pyd","302","428203008"
".pyc","11275","236526250"
".pt","4","218166144"
".py","11424","189126785"
".csv","266","184686000"
".json","660","122305913"
".h","9216","37574333"
".xml","18","9764277"
".ttf","38","6913276"
".bak_canonfix","1","6510838"
".bak_local","1","6501129"
".bak_joincounters","1","6461908"
".bak_counterjoin","1","6461908"
"","1700","6452768"
".nbc","40","6298401"
".exe","36","6231833"
".bak_tailfix","1","6192853"
".c","29","5778279"
".pyi","532","5701388"
".txt","5277","3905269"
".npz","25","3832754"
".log","59","3584006"
".bak_paramfix","1","3230953"
".pyx","64","2102242"
".bak_stripstrayparams","1","2039659"
".bak_paramrepair","1","2029278"
".dat","28","1916538"
".bak_fixwherefinal2","1","1898796"
".gz","104","1826643"
".afm","60","1353784"
".bak_fixwherefinal","1","1301988"
".hpp","67","1291685"
".yaml","103","1090265"
".bak_fixwraps","1","1033716"
".bak_idx","1","1011867"
".bak_fixcounts3","1","913080"
".bak_fixcounts2","1","858864"
".bak_fixwhereprops","1","834564"
".cuh","55","686042"
".pem","2","577691"
".tp","24","474896"
".npy","32","461138"
".ps1","73","459917"
".pxd","44","411243"
".xsl","3","366181"
".cpp","42","295699"
".cmake","29","272878"
".zi","2","214940"
".sav","47","211903"
".arff","16","210729"
".bz2","10","199080"
".a","114","181516"
".md","29","170875"
".bak_header_min","1","132567"
".bak_headerreset","1","132381"
".bak_header_min2","1","125289"
".bak_header_min3","1","113741"
".bak_scrubclosers","1","113739"
".bad","1","112155"
".tab","8","98588"
".svg","19","98479"
".bak_fixstab","1","91516"
".bak_fixtoken2","1","90984"
".bak_stripasciitables","1","83343"
".bak_tolower_safe","1","83316"
".ps1vars","96","80654"
".bak","6","76650"
".wav","22","72226"
".mat","110","70153"
".xlsx","1","62534"
".js","6","59615"
".rst","15","54261"
".apache","5","50870"
".nbi","12","44367"
".pdf","11","42319"
".ffconcat","24","40819"
".build","26","39208"
".mplstyle","29","38349"
".bak3","2","33972"
".bak2","2","33491"
".f90","60","29992"
".lgpl","1","26934"
".toml","2","25362"
".third-party","1","25299"
".dot","1","24520"
".bak_fixcounts","1","22674"
".css","7","20927"
".external","1","20410"
".1","3","20149"
".gpl","1","18092"
".lark","2","14158"
".srt","1","13160"
".html","8","12961"
".thirdparty","1","12786"
".psm1","2","11701"
".bak_full","1","11352"
".bak_castfix","1","11352"
".bak_fix","1","11345"
".bak_movesegments","1","11345"
".f","24","11332"
".mjs","2","11312"
".g4","2","10016"
".pkl","11","9387"
".fits","1","8640"
".tpl","7","8486"
".al","16","7590"
".thrift","1","7375"
".sh","6","7353"
".bsd","5","6720"
".msgpack","1","5225"
".pxi","2","5023"
".cfg","5","4986"
".ani","1","4362"
".gzip","5","4093"
".xz","6","3836"
".cu","7","3628"
".lzma","5","3467"
".nc","3","3432"
".b99","2","3044"
".zip","3","2824"
".pyf","7","2433"
".fish","1","2270"
".xrc","1","2186"
".a99","2","1752"
".template","1","1654"
".bat","2","1404"
".ini","4","1309"
".mit","1","1054"
".ptx","1","947"
".psd1","1","930"
".egg","1","843"
".gitignore","2","582"
".typed","55","465"
".ld","1","438"
".bzl","1","362"
".tmpl","2","356"
".in","1","210"
".gitattributes","1","201"
".pc","1","198"
".pth","1","151"
".f95","1","144"
".lua","1","139"
".tsv","1","133"
".z","3","123"
".f2py_f2cmap","2","113"
".bazel","1","108"
".gdb","1","106"
".inc","1","17"
".whl","2","0"
".gitkeep","3","0"
