"NormKey","GroupCount","IsKeeper","KeeperHint","HasDebug","LengthMB","LastWriteTime","FullName"
"001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166 param($m) $m.Value.Split('.') | Select-Object -First 2 -Join '.' ","7","True","False","False","0.67","11/17/2025 3:28:54 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4"
"001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166 param($m) $m.Value.Split('.') | Select-Object -First 2 -Join '.' ","7","False","False","False","0.75","11/17/2025 3:29:09 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4"
"001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166 param($m) $m.Value.Split('.') | Select-Object -First 2 -Join '.' ","7","False","False","False","1.46","11/17/2025 3:29:25 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4"
"001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166 param($m) $m.Value.Split('.') | Select-Object -First 2 -Join '.' ","7","False","False","False","3.41","11/17/2025 3:29:41 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4"
"001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166 param($m) $m.Value.Split('.') | Select-Object -First 2 -Join '.' ","7","False","False","False","4.58","11/17/2025 3:29:59 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4"
"001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166 param($m) $m.Value.Split('.') | Select-Object -First 2 -Join '.' ","7","False","False","False","5.26","11/17/2025 3:30:16 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.__CINEMATIC.mp4"
"001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166 param($m) $m.Value.Split('.') | Select-Object -First 2 -Join '.' ","7","False","False","False","6.66","11/17/2025 3:30:34 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\001__2025-09-13__TSC_vs_NEOFC__SHOT__t156-t166.__CINEMATIC.mp4"
"002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20 param($m) $m.Value.Split('.') | Select-Object -First 2 -Join '.' ","8","True","True","True","15.57","10/30/2025 3:09:07 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL.mp4"
"002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20 param($m) $m.Value.Split('.') | Select-Object -First 2 -Join '.' ","8","False","True","True","0.68","11/17/2025 3:30:52 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4"
"002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20 param($m) $m.Value.Split('.') | Select-Object -First 2 -Join '.' ","8","False","True","True","0.76","11/17/2025 3:31:10 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4"
"002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20 param($m) $m.Value.Split('.') | Select-Object -First 2 -Join '.' ","8","False","True","True","1.39","11/17/2025 3:31:27 PM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\002__2025-09-13__TSC_vs_NEOFC__GOAL__t180.80-t191.20.__DEBUG_FINAL_portrait_FINAL.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4"
