start,end,score,source,raw_start,raw_end
1313.600,1329.600,1.639,filtered,1315.600,1326.600
349.060,365.060,1.627,filtered,351.060,362.060
330.060,346.060,1.606,filtered,332.060,343.060
1299.350,1315.350,1.606,filtered,1301.350,1312.350
2013.350,2029.350,1.606,filtered,2015.350,2026.350
775.640,791.640,1.601,filtered,777.640,788.640
1394.620,1410.620,1.599,filtered,1396.620,1407.620
1738.550,1754.550,1.599,filtered,1740.550,1751.550
1956.220,1972.220,1.598,filtered,1958.220,1969.220
2410.420,2426.420,1.595,filtered,2412.420,2423.420
