start,end,score,source,raw_start,raw_end
0.000,5.500,999.000,cheer,0.000,2.500
87.150,106.850,999.000,cheer,89.350,103.850
147.430,167.130,999.000,cheer,149.630,164.130
218.120,237.820,999.000,cheer,220.320,234.820
1313.400,1329.600,1.634,filtered,1315.600,1326.600
348.860,365.060,1.622,filtered,351.060,362.060
1299.150,1315.350,1.603,filtered,1301.350,1312.350
329.860,346.060,1.602,filtered,332.060,343.060
2013.150,2029.350,1.602,filtered,2015.350,2026.350
775.440,791.640,1.599,filtered,777.640,788.640
