id,game_label,brand,master_path,master_start,master_end,playtag,phase,side,formation,notes,tag_right_left,score_impact,player,assist,src_hint
001,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,16,28,"Defense, Build & Shot",,,,,,,,,
002,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,28,37,Pressure & Shot,,,,,,,,,
003,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,47,57,Combination & Shot,,,,,,,,,
004,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,133,155,Build & Goal,,,,,,,,,
005,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,238,248,Shot,,,,,,,,,
006,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,271,294,Build & Shot,,,,,,,,,
007,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,390,401,Cross & Shot,,,,,,,,,
008,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,402,412,Pressure & Shot,,,,,,,,,
009,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,412,425,Pressure & Goal,,,,,,,,,
010,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,592,604,Build & Shot,,,,,,,,,
011,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,860,871,Build & Cross,,,,,,,,,
012,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,940,950,Pressure & Shot,,,,,,,,,
013,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,962,978,Corner & Goal,,,,,,,,,
014,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,1040,1059,Build & Shot,,,,,,,,,
015,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,1106,1124,Pressure & Shot,,,,,,,,,
016,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,1206,1217,Corner,,,,,,,,,
017,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,1235,1256,Pressure & Shot,,,,,,,,,
018,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,1287,1296,Pressure & Shot,,,,,,,,,
019,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,1396,1414,Build & Skill,,,,,,,,,
020,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,1644,1667,Pressure & Goal,,,,,,,,,
021,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,1707,1722,Pressure & Shot,,,,,,,,,
022,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,1724,1739,Pressure & Shot,,,,,,,,,
023,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,1808,1814,Free Kick,,,,,,,,,
024,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,1912,1930,Corner,,,,,,,,,
025,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,1952,1966,Corner & Goal,,,,,,,,,
026,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,2309,2328,Free Kick & Goal,,,,,,,,,
027,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,2482,2493,Goal,,,,,,,,,
028,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,2729,2740,Pressure & Shot,,,,,,,,,
029,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,2827,2845,"Defense, Build & Shot",,,,,,,,,
030,2026-03-01__TSC_vs_OK_Celtic,tsc,D:\Projects\soccer-video\out\masters\2026-03-01__TSC_vs_OK_Celtic\MASTER.mp4,2986,2993,Dribbling & Shot,,,,,,,,,
