id,game_label,brand,master_path,master_start,master_end,playtag,phase,side,formation,notes,tag_right_left,score_impact,player,assist,src_hint
001,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,1,16,Save,,,,,,,,,
002,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,17,32,Build & Shots,,,,,,,,,
003,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,106,122,Build & Cross,,,,,,,,,
004,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,136,153,Pressure & Shot,,,,,,,,,
005,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,416,430,Build & Goal,,,,,,,,,
006,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,456,477,Build & Shot,,,,,,,,,
007,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,649,656,Cross,,,,,,,,,
008,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,796,808,Dribbling,,,,,,,,,
009,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,850,856,Corner,,,,,,,,,
010,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,863,875,Defense & Cross,,,,,,,,,
011,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,883,896,Pressure & Cross,,,,,,,,,
012,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,950,957,Free Kick,,,,,,,,,
013,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,967,982,Pressure & Cross,,,,,,,,,
014,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,1031,1050,"Build, Cross & Shot",,,,,,,,,
015,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,1091,1120,Build & Goal,,,,,,,,,
016,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,1269,1286,Defense & Build,,,,,,,,,
017,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,1437,1453,"Defense, Build & Cross",,,,,,,,,
018,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,1535,1561,Build,,,,,,,,,
019,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,1585,1602,Build & Shot,,,,,,,,,
020,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,1627,1634,Pressure & Shot,,,,,,,,,
021,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,1639,1653,Pressure & Shot,,,,,,,,,
022,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,1712,1727,Build & Shot,,,,,,,,,
023,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,2178,2191,"Through Ball, Skill & Shot",,,,,,,,,
024,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,2247,2257,Pressure & Shot,,,,,,,,,
025,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,2280,2295,"Build, Cross & Shot",,,,,,,,,
026,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,2317,2325,Pressure & Shot,,,,,,,,,
027,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,2366,2377,"Pressure, Dribbling & Goal",,,,,,,,,
028,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,2434,2440,Shot,,,,,,,,,
029,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,2478,2492,"Defense, Counter & Shot",,,,,,,,,
030,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,2793,2801,Shot,,,,,,,,,
031,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,2844,2848,Shot,,,,,,,,,
032,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,2864,2877,"Defense, Build & Shot",,,,,,,,,
033,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,2941,2955,"Defense, Dribbling & Shot",,,,,,,,,
034,2026-02-23__TSC_vs_NEOFC,tsc,D:\Projects\soccer-video\out\masters\2026-02-23__TSC_vs_NEOFC\MASTER.mp4,2976,2983,Cross & Shot,,,,,,,,,
