id,game_label,brand,master_path,master_start,master_end,playtag,phase,side,formation,notes,tag_right_left,score_impact,player,assist,src_hint
1,,,,1,16,Save,,,,,,,,,
2,,,,17,32,Build & Shots,,,,,,,,,
3,,,,106,122,Build & Cross,,,,,,,,,
4,,,,136,153,Pressure & Shot,,,,,,,,,
5,,,,416,430,Build & Goal,,,,,,,,,
6,,,,456,477,Build & Shot,,,,,,,,,
7,,,,649,656,Cross,,,,,,,,,
8,,,,796,808,Dribbling,,,,,,,,,
9,,,,850,856,Corner,,,,,,,,,
10,,,,863,875,Defense & Cross,,,,,,,,,
11,,,,883,896,Pressure & Cross,,,,,,,,,
12,,,,950,957,Free Kick,,,,,,,,,
13,,,,967,982,Pressure & Cross,,,,,,,,,
14,,,,1031,1050,"Build, Cross & Shot",,,,,,,,,
15,,,,1091,1120,Build & Goal,,,,,,,,,
16,,,,1269,1286,Defense & Build,,,,,,,,,
17,,,,1437,1453,"Defense, Build & Cross",,,,,,,,,
18,,,,1535,1561,Build,,,,,,,,,
19,,,,1585,1602,Build & Shot,,,,,,,,,
20,,,,1627,1634,Pressure & Shot,,,,,,,,,
21,,,,1639,1653,Pressure & Shot,,,,,,,,,
22,,,,1712,1727,Build & Shot,,,,,,,,,
23,,,,2178,2191,"Through Ball, Skill & Shot",,,,,,,,,
24,,,,2247,2257,Pressure & Shot,,,,,,,,,
25,,,,2280,2295,"Build, Cross & Shot",,,,,,,,,
26,,,,2317,2325,Pressure & Shot,,,,,,,,,
27,,,,2366,2377,"Pressure, Dribbling & Goal",,,,,,,,,
28,,,,2434,2440,Shot,,,,,,,,,
29,,,,2478,2492,"Defense, Counter & Shot",,,,,,,,,
30,,,,2793,2801,Shot,,,,,,,,,
31,,,,2844,2848,Shot,,,,,,,,,
32,,,,2864,2877,"Defense, Build & Shot",,,,,,,,,
33,,,,2941,2955,"Defense, Dribbling & Shot",,,,,,,,,
34,,,,2976,2983,Cross & Shot,,,,,,,,,
