id,game_label,brand,master_path,master_start,master_end,playtag,phase,side,formation,notes,tag_right_left,score_impact,player,assist,src_hint
1,2026-03-21__TSC_vs_NEOFC_2017_Blue,tsc,D:\Projects\soccer-video\out\masters\2026-03-21__TSC_vs_NEOFC_2017_Blue\MASTER.mp4,73,91,"Build, Dribbling & Cross",,,,,,,,,
2,2026-03-21__TSC_vs_NEOFC_2017_Blue,tsc,D:\Projects\soccer-video\out\masters\2026-03-21__TSC_vs_NEOFC_2017_Blue\MASTER.mp4,93,122,Cross & Shot,,,,,,,,,
3,2026-03-21__TSC_vs_NEOFC_2017_Blue,tsc,D:\Projects\soccer-video\out\masters\2026-03-21__TSC_vs_NEOFC_2017_Blue\MASTER.mp4,196,218,"Build, Dribbling & Cross",,,,,,,,,
4,2026-03-21__TSC_vs_NEOFC_2017_Blue,tsc,D:\Projects\soccer-video\out\masters\2026-03-21__TSC_vs_NEOFC_2017_Blue\MASTER.mp4,325,348,"Throughball, Cross, Cross & Shot",,,,,,,,,
5,2026-03-21__TSC_vs_NEOFC_2017_Blue,tsc,D:\Projects\soccer-video\out\masters\2026-03-21__TSC_vs_NEOFC_2017_Blue\MASTER.mp4,402,423,"Build, Pressure & Shot",,,,,,,,,
6,2026-03-21__TSC_vs_NEOFC_2017_Blue,tsc,D:\Projects\soccer-video\out\masters\2026-03-21__TSC_vs_NEOFC_2017_Blue\MASTER.mp4,502,518,"Pressure, Dribble & Goal",,,,,,,,,
7,2026-03-21__TSC_vs_NEOFC_2017_Blue,tsc,D:\Projects\soccer-video\out\masters\2026-03-21__TSC_vs_NEOFC_2017_Blue\MASTER.mp4,561,580,"Pressure, Build & Goal",,,,,,,,,
8,2026-03-21__TSC_vs_NEOFC_2017_Blue,tsc,D:\Projects\soccer-video\out\masters\2026-03-21__TSC_vs_NEOFC_2017_Blue\MASTER.mp4,603,614,Pressure & Shot,,,,,,,,,
9,2026-03-21__TSC_vs_NEOFC_2017_Blue,tsc,D:\Projects\soccer-video\out\masters\2026-03-21__TSC_vs_NEOFC_2017_Blue\MASTER.mp4,723,731,"Pressure, Dribbling & Shot",,,,,,,,,
10,2026-03-21__TSC_vs_NEOFC_2017_Blue,tsc,D:\Projects\soccer-video\out\masters\2026-03-21__TSC_vs_NEOFC_2017_Blue\MASTER.mp4,826,841,"Pressure, Cross & Goal",,,,,,,,,
11,2026-03-21__TSC_vs_NEOFC_2017_Blue,tsc,D:\Projects\soccer-video\out\masters\2026-03-21__TSC_vs_NEOFC_2017_Blue\MASTER.mp4,959,975,"Pressure, Cross & Goal",,,,,,,,,
12,2026-03-21__TSC_vs_NEOFC_2017_Blue,tsc,D:\Projects\soccer-video\out\masters\2026-03-21__TSC_vs_NEOFC_2017_Blue\MASTER.mp4,1229,1238,Shot,,,,,,,,,
13,2026-03-21__TSC_vs_NEOFC_2017_Blue,tsc,D:\Projects\soccer-video\out\masters\2026-03-21__TSC_vs_NEOFC_2017_Blue\MASTER.mp4,1299,1314,"Pressure, Dribbling & Goal",,,,,,,,,
14,2026-03-21__TSC_vs_NEOFC_2017_Blue,tsc,D:\Projects\soccer-video\out\masters\2026-03-21__TSC_vs_NEOFC_2017_Blue\MASTER.mp4,1319,1337,Pressure & Cross,,,,,,,,,
15,2026-03-21__TSC_vs_NEOFC_2017_Blue,tsc,D:\Projects\soccer-video\out\masters\2026-03-21__TSC_vs_NEOFC_2017_Blue\MASTER.mp4,1876,1889,"Pressure, Dribble, Cross & Goal",,,,,,,,,
16,2026-03-21__TSC_vs_NEOFC_2017_Blue,tsc,D:\Projects\soccer-video\out\masters\2026-03-21__TSC_vs_NEOFC_2017_Blue\MASTER.mp4,2126,2151,"Defense, Build, Cross & Goal",,,,,,,,,
17,2026-03-21__TSC_vs_NEOFC_2017_Blue,tsc,D:\Projects\soccer-video\out\masters\2026-03-21__TSC_vs_NEOFC_2017_Blue\MASTER.mp4,2227,2242,Build & Shot,,,,,,,,,
18,2026-03-21__TSC_vs_NEOFC_2017_Blue,tsc,D:\Projects\soccer-video\out\masters\2026-03-21__TSC_vs_NEOFC_2017_Blue\MASTER.mp4,2262,2272,Pressure & Goal,,,,,,,,,
19,2026-03-21__TSC_vs_NEOFC_2017_Blue,tsc,D:\Projects\soccer-video\out\masters\2026-03-21__TSC_vs_NEOFC_2017_Blue\MASTER.mp4,2575,2588,"Defense, Dribble & Shots",,,,,,,,,


