id,game_label,brand,master_path,master_start,master_end,playtag,phase,side,formation,notes,tag_right_left,score_impact,player,assist,src_hint
001,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,551.43,567.97,Free Kick & Goal,,,,,,,,,
002,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,751.47,763.77,Goal,,,,,,,,,
003,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,971.5,989.5,Build Up & Shot,,,,,,,,,
004,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,1573.5,1586.53,Dribbling & Skill,,,,,,,,,
005,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,1624.73,1650.67,"Corner, Shot & Goal",,,,,,,,,
006,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,1740.5,1748.37,Cross & Shot,,,,,,,,,
007,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,1780.87,1802.2,"Defense, Build, Cross & Shot",,,,,,,,,
008,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,1839.63,1848.5,Free Kick,,,,,,,,,
009,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,1929.17,1951.37,Defense & Build,,,,,,,,,
010,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,2007.87,2023.9,Pressure & Goal,,,,,,,,,
011,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,2050.8,2068.47,Defense & Build,,,,,,,,,
012,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,2139.2,2155.9,Pressure & Shot,,,,,,,,,
013,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,2334.13,2352.27,"Build, Dribble",,,,,,,,,
014,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,2410.93,2422.9,Free Kick & Goal,,,,,,,,,
015,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,2448.5,2501.37,"Defense, Pressure & Build",,,,,,,,,
016,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,2573.5,2592.4,Skill & Shot,,,,,,,,,
017,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,2735.87,2747.27,Corner & Own Goal,,,,,,,,,
018,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,2807.57,2824.8,"Defense, Cross & Shot",,,,,,,,,
019,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,2845.33,2853.4,Defense & Shot,,,,,,,,,
020,2026-02-21__TSC_vs_Greenwood,tsc,D:\Projects\soccer-video\out\masters\2026-02-21__TSC_vs_Greenwood\2026-02-21__TSC_vs_Greenwood__master.mp4,3020.83,3038.03,Defense & Goal,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
